,Soort misdrijf,Perioden,Regio's,Geregistreerde misdrijven (aantal),Aangiften (aantal)
0,1.1.1 Diefstal/inbraak woning,2012,Nederland,91595.0,90236.0
1,1.1.1 Diefstal/inbraak woning,2013,Nederland,87455.0,86685.0
2,1.1.1 Diefstal/inbraak woning,2014,Nederland,71143.0,70524.0
3,1.1.1 Diefstal/inbraak woning,2015,Nederland,64676.0,64098.0
4,1.1.1 Diefstal/inbraak woning,2016,Nederland,55495.0,54920.0
5,1.1.1 Diefstal/inbraak woning,2017,Nederland,49209.0,48762.0
6,1.1.1 Diefstal/inbraak woning,2018,Nederland,42887.0,42398.0
7,1.1.1 Diefstal/inbraak woning,2019,Nederland,39474.0,38972.0
8,1.1.1 Diefstal/inbraak woning,2020,Nederland,30571.0,30070.0
9,1.1.1 Diefstal/inbraak woning,2021,Nederland,23525.0,23015.0
10,1.1.1 Diefstal/inbraak woning,2022,Nederland,24414.0,23910.0
11,1.1.1 Diefstal/inbraak woning,2023,Nederland,22760.0,22215.0
12,1.1.1 Diefstal/inbraak woning,2012,Aa en Hunze,108.0,103.0
13,1.1.1 Diefstal/inbraak woning,2013,Aa en Hunze,106.0,103.0
14,1.1.1 Diefstal/inbraak woning,2014,Aa en Hunze,44.0,45.0
15,1.1.1 Diefstal/inbraak woning,2015,Aa en Hunze,82.0,81.0
16,1.1.1 Diefstal/inbraak woning,2016,Aa en Hunze,56.0,54.0
17,1.1.1 Diefstal/inbraak woning,2017,Aa en Hunze,49.0,46.0
18,1.1.1 Diefstal/inbraak woning,2018,Aa en Hunze,56.0,54.0
19,1.1.1 Diefstal/inbraak woning,2019,Aa en Hunze,54.0,52.0
20,1.1.1 Diefstal/inbraak woning,2020,Aa en Hunze,35.0,35.0
21,1.1.1 Diefstal/inbraak woning,2021,Aa en Hunze,23.0,21.0
22,1.1.1 Diefstal/inbraak woning,2022,Aa en Hunze,43.0,45.0
23,1.1.1 Diefstal/inbraak woning,2023,Aa en Hunze,34.0,34.0
24,1.1.1 Diefstal/inbraak woning,2012,Aalsmeer,148.0,147.0
25,1.1.1 Diefstal/inbraak woning,2013,Aalsmeer,103.0,103.0
26,1.1.1 Diefstal/inbraak woning,2014,Aalsmeer,81.0,84.0
27,1.1.1 Diefstal/inbraak woning,2015,Aalsmeer,64.0,64.0
28,1.1.1 Diefstal/inbraak woning,2016,Aalsmeer,80.0,81.0
29,1.1.1 Diefstal/inbraak woning,2017,Aalsmeer,86.0,84.0
30,1.1.1 Diefstal/inbraak woning,2018,Aalsmeer,54.0,51.0
31,1.1.1 Diefstal/inbraak woning,2019,Aalsmeer,47.0,47.0
32,1.1.1 Diefstal/inbraak woning,2020,Aalsmeer,41.0,38.0
33,1.1.1 Diefstal/inbraak woning,2021,Aalsmeer,35.0,31.0
34,1.1.1 Diefstal/inbraak woning,2022,Aalsmeer,25.0,25.0
35,1.1.1 Diefstal/inbraak woning,2023,Aalsmeer,34.0,32.0
36,1.1.1 Diefstal/inbraak woning,2012,Aalten,28.0,26.0
37,1.1.1 Diefstal/inbraak woning,2013,Aalten,34.0,34.0
38,1.1.1 Diefstal/inbraak woning,2014,Aalten,52.0,52.0
39,1.1.1 Diefstal/inbraak woning,2015,Aalten,24.0,23.0
40,1.1.1 Diefstal/inbraak woning,2016,Aalten,36.0,35.0
41,1.1.1 Diefstal/inbraak woning,2017,Aalten,37.0,35.0
42,1.1.1 Diefstal/inbraak woning,2018,Aalten,27.0,26.0
43,1.1.1 Diefstal/inbraak woning,2019,Aalten,40.0,39.0
44,1.1.1 Diefstal/inbraak woning,2020,Aalten,24.0,23.0
45,1.1.1 Diefstal/inbraak woning,2021,Aalten,15.0,15.0
46,1.1.1 Diefstal/inbraak woning,2022,Aalten,10.0,10.0
47,1.1.1 Diefstal/inbraak woning,2023,Aalten,12.0,12.0
48,1.1.1 Diefstal/inbraak woning,2012,Achtkarspelen,33.0,33.0
49,1.1.1 Diefstal/inbraak woning,2013,Achtkarspelen,38.0,36.0
50,1.1.1 Diefstal/inbraak woning,2014,Achtkarspelen,40.0,39.0
51,1.1.1 Diefstal/inbraak woning,2015,Achtkarspelen,33.0,31.0
52,1.1.1 Diefstal/inbraak woning,2016,Achtkarspelen,29.0,27.0
53,1.1.1 Diefstal/inbraak woning,2017,Achtkarspelen,19.0,18.0
54,1.1.1 Diefstal/inbraak woning,2018,Achtkarspelen,28.0,28.0
55,1.1.1 Diefstal/inbraak woning,2019,Achtkarspelen,34.0,35.0
56,1.1.1 Diefstal/inbraak woning,2020,Achtkarspelen,23.0,22.0
57,1.1.1 Diefstal/inbraak woning,2021,Achtkarspelen,8.0,9.0
58,1.1.1 Diefstal/inbraak woning,2022,Achtkarspelen,24.0,24.0
59,1.1.1 Diefstal/inbraak woning,2023,Achtkarspelen,30.0,28.0
60,1.1.1 Diefstal/inbraak woning,2012,Alblasserdam,35.0,31.0
61,1.1.1 Diefstal/inbraak woning,2013,Alblasserdam,55.0,55.0
62,1.1.1 Diefstal/inbraak woning,2014,Alblasserdam,39.0,36.0
63,1.1.1 Diefstal/inbraak woning,2015,Alblasserdam,67.0,67.0
64,1.1.1 Diefstal/inbraak woning,2016,Alblasserdam,35.0,33.0
65,1.1.1 Diefstal/inbraak woning,2017,Alblasserdam,38.0,35.0
66,1.1.1 Diefstal/inbraak woning,2018,Alblasserdam,32.0,30.0
67,1.1.1 Diefstal/inbraak woning,2019,Alblasserdam,28.0,29.0
68,1.1.1 Diefstal/inbraak woning,2020,Alblasserdam,25.0,23.0
69,1.1.1 Diefstal/inbraak woning,2021,Alblasserdam,16.0,16.0
70,1.1.1 Diefstal/inbraak woning,2022,Alblasserdam,11.0,11.0
71,1.1.1 Diefstal/inbraak woning,2023,Alblasserdam,5.0,5.0
72,1.1.1 Diefstal/inbraak woning,2012,Albrandswaard,114.0,114.0
73,1.1.1 Diefstal/inbraak woning,2013,Albrandswaard,140.0,137.0
74,1.1.1 Diefstal/inbraak woning,2014,Albrandswaard,129.0,129.0
75,1.1.1 Diefstal/inbraak woning,2015,Albrandswaard,99.0,97.0
76,1.1.1 Diefstal/inbraak woning,2016,Albrandswaard,83.0,80.0
77,1.1.1 Diefstal/inbraak woning,2017,Albrandswaard,76.0,77.0
78,1.1.1 Diefstal/inbraak woning,2018,Albrandswaard,80.0,78.0
79,1.1.1 Diefstal/inbraak woning,2019,Albrandswaard,82.0,78.0
80,1.1.1 Diefstal/inbraak woning,2020,Albrandswaard,40.0,39.0
