,Soort misdrijf,Perioden,Regio's,Geregistreerde misdrijven (aantal),Aangiften (aantal)
0,3.1.1 Drugshandel,2012,Nederland,15144.0,311.0
1,3.1.1 Drugshandel,2013,Nederland,15413.0,316.0
2,3.1.1 Drugshandel,2014,Nederland,14587.0,274.0
3,3.1.1 Drugshandel,2015,Nederland,13297.0,236.0
4,3.1.1 Drugshandel,2016,Nederland,12317.0,199.0
5,3.1.1 Drugshandel,2017,Nederland,11622.0,183.0
6,3.1.1 Drugshandel,2018,Nederland,12357.0,159.0
7,3.1.1 Drugshandel,2019,Nederland,13784.0,190.0
8,3.1.1 Drugshandel,2020,Nederland,12647.0,185.0
9,3.1.1 Drugshandel,2021,Nederland,11467.0,132.0
10,3.1.1 Drugshandel,2022,Nederland,11613.0,88.0
11,3.1.1 Drugshandel,2023,Nederland,13521.0,93.0
12,3.1.1 Drugshandel,2012,Aa en Hunze,5.0,
13,3.1.1 Drugshandel,2013,Aa en Hunze,4.0,1.0
14,3.1.1 Drugshandel,2014,Aa en Hunze,3.0,
15,3.1.1 Drugshandel,2015,Aa en Hunze,4.0,
16,3.1.1 Drugshandel,2016,Aa en Hunze,2.0,
17,3.1.1 Drugshandel,2017,Aa en Hunze,5.0,
18,3.1.1 Drugshandel,2018,Aa en Hunze,4.0,1.0
19,3.1.1 Drugshandel,2019,Aa en Hunze,6.0,1.0
20,3.1.1 Drugshandel,2020,Aa en Hunze,4.0,1.0
21,3.1.1 Drugshandel,2021,Aa en Hunze,2.0,1.0
22,3.1.1 Drugshandel,2022,Aa en Hunze,1.0,
23,3.1.1 Drugshandel,2023,Aa en Hunze,4.0,
24,3.1.1 Drugshandel,2012,Aalsmeer,4.0,
25,3.1.1 Drugshandel,2013,Aalsmeer,10.0,
26,3.1.1 Drugshandel,2014,Aalsmeer,19.0,1.0
27,3.1.1 Drugshandel,2015,Aalsmeer,21.0,1.0
28,3.1.1 Drugshandel,2016,Aalsmeer,12.0,
29,3.1.1 Drugshandel,2017,Aalsmeer,12.0,
30,3.1.1 Drugshandel,2018,Aalsmeer,4.0,
31,3.1.1 Drugshandel,2019,Aalsmeer,11.0,
32,3.1.1 Drugshandel,2020,Aalsmeer,9.0,1.0
33,3.1.1 Drugshandel,2021,Aalsmeer,15.0,
34,3.1.1 Drugshandel,2022,Aalsmeer,8.0,
35,3.1.1 Drugshandel,2023,Aalsmeer,10.0,
36,3.1.1 Drugshandel,2012,Aalten,5.0,1.0
37,3.1.1 Drugshandel,2013,Aalten,6.0,1.0
38,3.1.1 Drugshandel,2014,Aalten,4.0,1.0
39,3.1.1 Drugshandel,2015,Aalten,5.0,
40,3.1.1 Drugshandel,2016,Aalten,7.0,1.0
41,3.1.1 Drugshandel,2017,Aalten,9.0,
42,3.1.1 Drugshandel,2018,Aalten,11.0,
43,3.1.1 Drugshandel,2019,Aalten,10.0,
44,3.1.1 Drugshandel,2020,Aalten,16.0,1.0
45,3.1.1 Drugshandel,2021,Aalten,4.0,
46,3.1.1 Drugshandel,2022,Aalten,7.0,
47,3.1.1 Drugshandel,2023,Aalten,6.0,
