"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.3.1 Ongevallen (weg)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"7";"5";"7";"7";"7";"7";"5";"5";"0";"2";"4";"7"
"Weteringbuurt";"7";"10";"12";"11";"12";"12";"11";"6";"5";"7";"9";"11"
"Utrechtsebuurt-Zuid";"4";"10";"2";"4";"7";"5";"6";"5";"5";"5";"6";"5"
"Leidsebuurt-Zuidwest";"3";"11";"2";"3";"1";"4";"6";"5";"9";"1";"9";"12"
"Leidsebuurt-Zuidoost";"3";"5";"5";"3";"5";"10";"9";"5";"5";"7";"8";"5"
"Den Texbuurt";"5";"9";"5";"7";"7";"11";"10";"5";"5";"5";"2";"12"
"Frederikspleinbuurt";"4";"11";"10";"8";"11";"10";"19";"12";"7";"9";"4";"4"
"Weesperbuurt/Plantage";"44";"40";"32";"31";"34";"36";"46";"36";"31";"43";"35";"33"
"Weesperbuurt";"13";"13";"12";"6";"11";"8";"14";"12";"7";"10";"7";"7"
"Plantage";"11";"11";"10";"8";"9";"12";"10";"13";"15";"7";"7";"14"
"Sarphatistrook";"17";"15";"9";"14";"13";"16";"19";"9";"6";"24";"18";"10"
"Alexanderplein e.o.";"3";"1";"1";"3";"1";"0";"3";"2";"3";"2";"3";"2"
"Oostelijke Eilanden/Kadijken";"35";"50";"38";"38";"53";"53";"64";"45";"38";"53";"44";"51"
"Marine-Etablissement";"4";"4";"3";"6";"7";"7";"8";"5";"2";"9";"4";"10"
"Kattenburg";"1";"5";"2";"1";"7";"9";"6";"5";"5";"7";"3";"4"
"Wittenburg";"3";"6";"8";"6";"9";"3";"14";"2";"5";"6";"3";"9"
"Oostenburg";"2";"5";"9";"4";"7";"3";"5";"6";"1";"9";"7";"5"
"Czaar Peterbuurt";"6";"12";"6";"7";"4";"16";"12";"6";"13";"11";"14";"12"
"Het Funen";"2";"4";"0";"4";"2";"4";"8";"2";"3";"2";"2";"1"
"Kadijken";"14";"11";"8";"10";"15";"11";"8";"15";"7";"6";"10";"6"
"Kazernebuurt";"3";"3";"2";"0";"2";"0";"3";"4";"2";"3";"1";"4"
"Havens-West";"25";"27";"22";"27";"35";"52";"46";"56";"57";"60";"61";"56"
"Afrikahaven";"1";"3";"1";"3";"5";"12";"7";"12";"23";"11";"10";"8"
"Amerikahaven";"4";"3";"6";"7";"8";"19";"12";"15";"9";"22";"21";"22"
"Westhaven-Noord";"4";"6";"6";"1";"6";"4";"11";"11";"8";"6";"9";"11"
"Petroleumhaven";"3";"6";"3";"6";"4";"3";"4";"5";"6";"6";"2";"1"
"Vervoerscentrum";"3";"3";"2";"5";"4";"9";"7";"6";"5";"7";"8";"7"
"Westhaven-Zuid";"10";"6";"4";"5";"8";"5";"5";"7";"6";"8";"11";"7"
"Coenhaven/Minervahaven";"9";"10";"11";"13";"15";"16";"20";"20";"17";"25";"26";"31"
"Coenhaven";"0";"1";"1";"1";"3";"1";"0";"4";"4";"7";"6";"6"
"Vlothaven";"4";"2";"2";"3";"2";"4";"5";"4";"2";"5";"7";"8"
"Minervahaven-Noordoost";"0";"2";"2";"2";"4";"0";"2";"3";"0";"2";"2";"2"
"Minervahaven-Noordwest";"1";"3";"2";"3";"0";"4";"5";"5";"5";"5";"4";"1"
"Minervahaven-Zuidwest";"0";"2";"1";"1";"0";"2";"2";"0";"1";"1";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"1";"1";"3";"2";"0";"2";"3";"2";"2";"5"
"Alfa-driehoek";"3";"0";"1";"1";"2";"2";"3";"2";"2";"3";"4";"7"
"Hemknoop-Noord";"1";"0";"1";"1";"1";"1";"3";"0";"0";"0";"1";"2"
"Sloterdijk-West";"21";"18";"19";"21";"23";"18";"30";"38";"20";"21";"22";"21"
"Isolatorbuurt";"13";"11";"12";"9";"11";"9";"11";"18";"9";"13";"13";"16"
"Contactbuurt";"6";"3";"3";"5";"5";"4";"12";"9";"8";"7";"3";"3"
"Woon- en Groengebied Sloterdijk";"2";"4";"4";"7";"7";"5";"7";"11";"3";"1";"6";"2"
"Spaarndammerbuurt/Zeeheldenbuurt";"28";"38";"30";"35";"22";"39";"35";"41";"33";"35";"63";"45"
"Hemknoop-Zuid";"0";"0";"0";"0";"1";"1";"1";"0";"2";"2";"2";"3"
"Overbraker Binnenpolder";"0";"0";"2";"2";"0";"1";"1";"1";"3";"2";"1";"0"
"Zaanstraat emplacement";"2";"2";"0";"0";"2";"1";"0";"1";"2";"0";"1";"7"
"Spaarndammerbuurt-Noordwest";"4";"7";"4";"8";"3";"2";"4";"8";"0";"5";"9";"3"
"Spaarndammerbuurt-Midden";"2";"7";"6";"3";"1";"2";"5";"3";"6";"6";"4";"1"
"Spaarndammerbuurt-Zuidwest";"3";"5";"3";"8";"3";"4";"7";"4";"3";"4";"5";"2"
"Spaarndammerbuurt-Noordoost";"3";"5";"5";"5";"6";"8";"5";"6";"5";"5";"10";"11"
"Zeeheldenbuurt";"6";"7";"5";"5";"3";"7";"3";"7";"6";"7";"10";"5"
"Westergasfabriek";"1";"3";"2";"1";"2";"12";"5";"6";"1";"3";"5";"10"
"Spaarndammerbuurt-Zuidoost";"7";"2";"3";"3";"1";"1";"4";"5";"5";"1";"16";"3"
"Houthavens";"3";"2";"2";"2";"2";"1";"4";"3";"2";"6";"3";"8"
"Houthavens-West";"3";"2";"1";"1";"1";"0";"3";"3";"2";"6";"3";"7"
