"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.1 Zedenmisdrijf"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Kazernebuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Havens-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Afrikahaven";".";".";".";".";".";".";".";".";".";".";".";"."
"Amerikahaven";".";".";".";".";".";".";".";".";".";".";".";"."
"Westhaven-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Petroleumhaven";".";".";".";".";".";".";".";".";".";".";".";"."
"Vervoerscentrum";".";".";".";".";".";".";".";".";".";".";".";"."
"Westhaven-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Coenhaven/Minervahaven";".";".";".";".";".";".";".";".";".";".";".";"."
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";".";".";".";".";".";".";".";".";".";".";".";"."
"Minervahaven-Noordoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Minervahaven-Noordwest";".";".";".";".";".";".";".";".";".";".";".";"."
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Alfa-driehoek";".";".";".";".";".";".";".";".";".";".";".";"."
"Hemknoop-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterdijk-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Isolatorbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Contactbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Woon- en Groengebied Sloterdijk";".";".";".";".";".";".";".";".";".";".";".";"."
"Spaarndammerbuurt/Zeeheldenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Hemknoop-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Overbraker Binnenpolder";".";".";".";".";".";".";".";".";".";".";".";"."
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";".";".";".";".";".";".";".";".";".";".";".";"."
"Spaarndammerbuurt-Midden";".";".";".";".";".";".";".";".";".";".";".";"."
"Spaarndammerbuurt-Zuidwest";".";".";".";".";".";".";".";".";".";".";".";"."
"Spaarndammerbuurt-Noordoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Zeeheldenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Westergasfabriek";".";".";".";".";".";".";".";".";".";".";".";"."
"Spaarndammerbuurt-Zuidoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Houthavens";".";".";".";".";".";".";".";".";".";".";".";"."
"Houthavens-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Houthavens-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"De Kolenkit";".";".";".";".";".";".";".";".";".";".";".";"."
"Kolenkitbuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Kolenkitbuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Laan van Spartaan";".";".";".";".";".";".";".";".";".";".";".";"."
"Robert Scottbuurt-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Landlust";".";".";".";".";".";".";".";".";".";".";".";"."
"Bosleeuw";".";".";".";".";".";".";".";".";".";".";".";"."
"Gibraltarbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Bedrijventerrein Landlust";".";".";".";".";".";".";".";".";".";".";".";"."
"Landlust-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Erasmusparkbuurt-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Landlust-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Erasmuspark";".";".";".";".";".";".";".";".";".";".";".";"."
"Robert Scottbuurt-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Erasmusparkbuurt-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Centrale Markt";".";".";".";".";".";".";".";".";".";".";".";"."
"Bedrijvencentrum Westerkwartier";".";".";".";".";".";".";".";".";".";".";".";"."
"GWL-terrein";".";".";".";".";".";".";".";".";".";".";".";"."
"Markthallen";".";".";".";".";".";".";".";".";".";".";".";"."
"Marcanti";".";".";".";".";".";".";".";".";".";".";".";"."
"Staatsliedenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Westerstaatsman";".";".";".";".";".";".";".";".";".";".";".";"."
"Fannius Scholtenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Staatsliedenbuurt-Noordoost";".";".";".";".";".";".";".";".";".";".";".";"."
"De Wittenbuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"De Wittenbuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Buyskade e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Frederik Hendrikbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Frederik Hendrikbuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Frederik Hendrikbuurt-Zuidwest";".";".";".";".";".";".";".";".";".";".";".";"."
"Frederik Hendrikbuurt-Zuidoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Van Galenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Mercatorpark";".";".";".";".";".";".";".";".";".";".";".";"."
"Orteliusbuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Jan Maijenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"John Franklinbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Geuzenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Pieter van der Doesbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Trompbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Geuzenhofbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Hoofdweg e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Orteliusbuurt-Midden";".";".";".";".";".";".";".";".";".";".";".";"."
"Balboaplein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Orteliusbuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Columbusplein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Chassébuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Filips van Almondekwartier";".";".";".";".";".";".";".";".";".";".";".";"."
"Kortenaerkwartier";".";".";".";".";".";".";".";".";".";".";".";"."
"Van Brakelkwartier";".";".";".";".";".";".";".";".";".";".";".";"."
"De Wester Quartier";".";".";".";".";".";".";".";".";".";".";".";"."
"Bellamybuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Bellamybuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Bellamybuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Da Costabuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Da Costabuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
