"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.5 Mishandeling"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"123";"112";"106";"123";"115";"99";"99";"79";"41";"32";"92";"77"
"Weteringbuurt";"15";"11";"5";"11";"7";"6";"6";"7";"7";"10";"15";"9"
"Utrechtsebuurt-Zuid";"2";"3";"3";"2";"2";"4";"4";"1";"2";"6";"2";"3"
"Leidsebuurt-Zuidwest";"39";"30";"33";"26";"33";"12";"27";"30";"10";"5";"31";"28"
"Leidsebuurt-Zuidoost";"27";"25";"23";"30";"27";"18";"16";"18";"8";"9";"14";"27"
"Den Texbuurt";"7";"8";"10";"2";"4";"2";"8";"8";"1";"9";"5";"9"
"Frederikspleinbuurt";"3";"4";"10";"5";"3";"8";"4";"4";"3";"8";"4";"5"
"Weesperbuurt/Plantage";"25";"32";"26";"37";"28";"29";"33";"23";"34";"26";"21";"26"
"Weesperbuurt";"9";"10";"6";"12";"4";"7";"8";"9";"4";"2";"7";"4"
"Plantage";"6";"5";"4";"8";"8";"6";"9";"6";"9";"8";"7";"6"
"Sarphatistrook";"10";"15";"16";"17";"15";"16";"13";"8";"19";"15";"7";"13"
"Alexanderplein e.o.";"0";"2";"0";"0";"1";"0";"3";"0";"2";"1";"0";"3"
"Oostelijke Eilanden/Kadijken";"49";"46";"40";"46";"48";"44";"34";"32";"41";"37";"43";"36"
"Marine-Etablissement";"2";"1";"1";"2";"0";"3";"0";"1";"2";"2";"5";"4"
"Kattenburg";"3";"9";"1";"5";"5";"4";"5";"3";"2";"2";"1";"5"
"Wittenburg";"9";"8";"5";"9";"7";"12";"7";"8";"5";"11";"9";"2"
"Oostenburg";"6";"9";"7";"8";"8";"3";"3";"9";"6";"4";"11";"6"
"Czaar Peterbuurt";"9";"9";"9";"9";"13";"10";"8";"2";"12";"11";"5";"9"
"Het Funen";"3";"0";"4";"6";"5";"2";"2";"0";"1";"3";"2";"0"
"Kadijken";"10";"5";"6";"4";"8";"3";"4";"6";"9";"1";"6";"5"
"Kazernebuurt";"7";"5";"7";"3";"2";"7";"5";"3";"4";"3";"4";"5"
"Havens-West";"8";"4";"4";"14";"10";"20";"10";"14";"9";"13";"7";"4"
"Afrikahaven";"0";"1";"1";"3";"1";"2";"3";"1";"1";"5";"3";"1"
"Amerikahaven";"3";"2";"2";"3";"5";"8";"5";"8";"4";"3";"1";"2"
"Westhaven-Noord";"4";"1";"0";"3";"2";"4";"2";"2";"2";"1";"0";"0"
"Petroleumhaven";"0";"0";"0";"3";"1";"1";"0";"1";"0";"2";"1";"0"
"Vervoerscentrum";"1";"0";"1";"2";"1";"1";"0";"1";"2";"1";"1";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"1";"1"
"Coenhaven/Minervahaven";"7";"2";"8";"9";"7";"10";"13";"8";"7";"9";"18";"16"
"Coenhaven";"1";"0";"1";"0";"0";"1";"1";"0";"2";"0";"2";"8"
"Vlothaven";"1";"0";"2";"2";"2";"1";"0";"1";"0";"0";"1";"2"
"Minervahaven-Noordoost";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"2"
"Minervahaven-Noordwest";"1";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Minervahaven-Zuidoost";"1";"0";"2";"1";"0";"2";"0";"0";"0";"0";"5";"1"
"Alfa-driehoek";"3";"1";"1";"5";"2";"4";"2";"1";"1";"2";"2";"1"
"Hemknoop-Noord";"0";"0";"0";"1";"1";"1";"6";"6";"4";"7";"6";"2"
"Sloterdijk-West";"7";"7";"7";"8";"6";"15";"11";"18";"7";"10";"14";"23"
"Isolatorbuurt";"3";"5";"5";"6";"5";"6";"8";"13";"6";"4";"9";"12"
"Contactbuurt";"1";"1";"0";"2";"0";"5";"3";"2";"0";"1";"2";"4"
"Woon- en Groengebied Sloterdijk";"3";"1";"2";"0";"1";"4";"0";"3";"1";"5";"3";"7"
"Spaarndammerbuurt/Zeeheldenbuurt";"70";"47";"53";"49";"49";"44";"56";"59";"57";"52";"50";"59"
"Hemknoop-Zuid";"2";"0";"2";"0";"1";"1";"5";"9";"8";"9";"2";"7"
"Overbraker Binnenpolder";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Zaanstraat emplacement";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"2"
"Spaarndammerbuurt-Noordwest";"9";"5";"10";"6";"4";"5";"5";"4";"6";"8";"4";"3"
"Spaarndammerbuurt-Midden";"8";"9";"8";"12";"13";"4";"3";"8";"11";"10";"5";"10"
"Spaarndammerbuurt-Zuidwest";"7";"2";"6";"3";"4";"5";"5";"9";"3";"2";"2";"5"
"Spaarndammerbuurt-Noordoost";"14";"11";"9";"8";"9";"7";"13";"9";"8";"9";"11";"11"
"Zeeheldenbuurt";"13";"6";"7";"8";"4";"4";"7";"6";"4";"2";"9";"3"
"Westergasfabriek";"14";"9";"5";"9";"9";"14";"17";"11";"12";"9";"16";"15"
"Spaarndammerbuurt-Zuidoost";"2";"3";"4";"3";"4";"4";"0";"2";"4";"3";"0";"3"
"Houthavens";"7";"1";"0";"2";"3";"5";"2";"5";"4";"2";"3";"6"
"Houthavens-West";"5";"1";"0";"1";"2";"2";"1";"2";"4";"1";"2";"6"
"Houthavens-Oost";"2";"0";"0";"1";"1";"3";"1";"3";"0";"1";"1";"0"
"De Kolenkit";"29";"38";"32";"39";"27";"37";"32";"43";"44";"26";"28";"38"
"Kolenkitbuurt-Noord";"14";"20";"14";"12";"8";"22";"14";"17";"17";"14";"9";"13"
"Kolenkitbuurt-Zuid";"7";"8";"5";"12";"8";"2";"1";"8";"9";"6";"3";"8"
"Laan van Spartaan";"4";"5";"8";"6";"5";"8";"7";"11";"4";"2";"9";"13"
"Robert Scottbuurt-West";"4";"5";"5";"9";"6";"5";"10";"7";"14";"4";"7";"4"
"Landlust";"79";"64";"76";"81";"61";"59";"60";"79";"72";"59";"71";"50"
"Bosleeuw";"21";"24";"19";"30";"27";"22";"23";"20";"33";"22";"22";"17"
"Gibraltarbuurt";"20";"12";"30";"15";"16";"13";"10";"26";"18";"16";"15";"11"
"Bedrijventerrein Landlust";"1";"1";"1";"4";"0";"3";"3";"3";"1";"3";"5";"2"
"Landlust-Noord";"11";"11";"7";"12";"4";"8";"8";"11";"4";"1";"8";"5"
"Erasmusparkbuurt-Oost";"8";"3";"7";"4";"5";"4";"5";"3";"5";"3";"8";"2"
"Landlust-Zuid";"18";"13";"12";"16";"9";"9";"11";"16";"11";"14";"13";"13"
"Erasmuspark";"27";"16";"21";"15";"20";"19";"11";"16";"19";"10";"13";"15"
"Robert Scottbuurt-Oost";"5";"3";"11";"2";"1";"3";"1";"2";"3";"1";"3";"4"
"Erasmusparkbuurt-West";"22";"13";"10";"13";"19";"16";"10";"14";"16";"9";"10";"11"
"Centrale Markt";"16";"6";"10";"17";"14";"23";"11";"12";"7";"12";"10";"7"
"Bedrijvencentrum Westerkwartier";"3";"1";"1";"3";"1";"7";"2";"4";"4";"1";"1";"1"
"GWL-terrein";"2";"3";"0";"3";"1";"4";"0";"4";"0";"6";"4";"5"
"Markthallen";"4";"2";"4";"5";"6";"9";"7";"1";"1";"0";"4";"0"
"Marcanti";"7";"0";"5";"6";"6";"3";"2";"3";"2";"5";"1";"1"
"Staatsliedenbuurt";"38";"19";"37";"29";"34";"33";"36";"26";"31";"35";"51";"32"
"Westerstaatsman";"9";"4";"8";"7";"16";"10";"11";"5";"9";"7";"10";"10"
"Fannius Scholtenbuurt";"7";"4";"12";"5";"5";"6";"9";"9";"12";"16";"17";"10"
"Staatsliedenbuurt-Noordoost";"7";"4";"4";"4";"5";"6";"4";"1";"3";"3";"2";"2"
"De Wittenbuurt-Noord";"4";"6";"4";"2";"3";"5";"1";"6";"2";"3";"3";"5"
"De Wittenbuurt-Zuid";"9";"1";"3";"6";"2";"2";"4";"4";"1";"2";"8";"2"
"Buyskade e.o.";"2";"0";"6";"5";"3";"4";"7";"1";"4";"4";"11";"3"
"Frederik Hendrikbuurt";"33";"28";"25";"21";"21";"23";"25";"29";"22";"25";"15";"25"
"Frederik Hendrikbuurt-Noord";"8";"8";"12";"9";"5";"11";"14";"14";"6";"8";"5";"9"
"Frederik Hendrikbuurt-Zuidwest";"4";"6";"5";"3";"4";"2";"3";"3";"2";"2";"2";"1"
"Frederik Hendrikbuurt-Zuidoost";"21";"14";"8";"9";"12";"10";"8";"12";"14";"15";"8";"15"
"Van Galenbuurt";"19";"22";"25";"25";"18";"26";"21";"16";"20";"18";"22";"24"
"Mercatorpark";"3";"4";"3";"4";"8";"4";"5";"6";"2";"0";"2";"6"
"Orteliusbuurt-Noord";"4";"3";"7";"2";"4";"4";"4";"1";"8";"2";"2";"1"
"Jan Maijenbuurt";"7";"5";"11";"7";"2";"7";"7";"6";"8";"8";"9";"13"
"John Franklinbuurt";"5";"10";"4";"12";"4";"11";"5";"3";"2";"8";"9";"4"
"Geuzenbuurt";"23";"19";"19";"19";"15";"18";"14";"28";"25";"15";"22";"20"
"Pieter van der Doesbuurt";"7";"4";"9";"10";"8";"7";"7";"17";"10";"3";"7";"8"
"Trompbuurt";"13";"13";"9";"8";"6";"10";"7";"8";"14";"10";"11";"7"
"Geuzenhofbuurt";"3";"2";"1";"1";"1";"1";"0";"3";"1";"2";"4";"5"
"Hoofdweg e.o.";"55";"55";"42";"57";"39";"36";"37";"32";"34";"40";"48";"39"
"Orteliusbuurt-Midden";"7";"9";"6";"9";"6";"5";"3";"3";"7";"5";"6";"6"
"Balboaplein e.o.";"22";"26";"21";"28";"12";"16";"17";"16";"19";"21";"25";"17"
"Orteliusbuurt-Zuid";"7";"5";"5";"4";"2";"7";"3";"2";"2";"4";"10";"2"
"Columbusplein e.o.";"19";"15";"10";"16";"19";"8";"14";"11";"6";"10";"7";"14"
"Chassébuurt";"15";"21";"24";"23";"23";"13";"15";"25";"9";"11";"11";"1"
"Filips van Almondekwartier";"1";"5";"3";"8";"8";"1";"2";"3";"1";"4";"1";"0"
"Kortenaerkwartier";"7";"6";"7";"2";"5";"5";"4";"11";"3";"4";"4";"1"
"Van Brakelkwartier";"5";"2";"4";"6";"5";"4";"5";"4";"5";"0";"2";"0"
"De Wester Quartier";"2";"8";"10";"7";"5";"3";"4";"7";"0";"3";"4";"0"
"Bellamybuurt";"24";"10";"28";"17";"31";"16";"16";"22";"26";"13";"15";"15"
"Bellamybuurt-Noord";"10";"1";"13";"8";"10";"4";"3";"8";"7";"3";"5";"4"
"Bellamybuurt-Zuid";"14";"9";"15";"9";"21";"12";"13";"14";"19";"10";"10";"11"
"Da Costabuurt";"17";"21";"18";"17";"21";"18";"11";"14";"22";"24";"15";"20"
"Da Costabuurt-Noord";"17";"21";"18";"17";"21";"18";"11";"14";"22";"24";"15";"20"
"Westindische Buurt";"9";"19";"14";"19";"19";"15";"15";"20";"19";"17";"6";"11"
"Postjeskade e.o.";"4";"9";"8";"11";"3";"5";"8";"12";"8";"4";"3";"6"
"Paramariboplein e.o.";"5";"10";"6";"8";"16";"10";"7";"8";"11";"13";"3";"5"
"Van Lennepbuurt";"25";"26";"32";"28";"26";"34";"25";"25";"27";"22";"26";"24"
"Lootsbuurt";"7";"6";"8";"6";"4";"7";"6";"4";"6";"3";"4";"6"
"Borgerbuurt";"9";"12";"18";"14";"13";"18";"14";"16";"13";"14";"14";"11"
"Da Costabuurt-Zuid";"9";"8";"6";"8";"9";"9";"5";"5";"8";"5";"8";"7"
"Overtoomse Sluis";"19";"17";"13";"16";"15";"17";"15";"10";"8";"9";"17";"11"
"Cremerbuurt-West";"14";"15";"7";"10";"9";"13";"9";"8";"6";"9";"14";"8"
"Vondelparkbuurt-West";"5";"2";"6";"6";"6";"4";"6";"2";"2";"0";"3";"3"
