"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.5 Diefstal af/uit/van ov. voertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"2";"5";"8";"8";"5";"5";"10";"1";"8";"3";"8";"11"
"Weteringbuurt";"11";"4";"6";"6";"4";"3";"7";"1";"11";"13";"11";"12"
"Utrechtsebuurt-Zuid";"1";"2";"1";"6";"4";"0";"1";"2";"3";"2";"6";"7"
"Leidsebuurt-Zuidwest";"2";"3";"7";"2";"7";"1";"1";"1";"3";"3";"6";"7"
"Leidsebuurt-Zuidoost";"3";"4";"4";"6";"7";"3";"10";"7";"14";"10";"10";"14"
"Den Texbuurt";"2";"2";"4";"2";"5";"2";"2";"4";"2";"7";"12";"9"
"Frederikspleinbuurt";"3";"7";"2";"3";"1";"3";"3";"1";"3";"6";"8";"9"
"Weesperbuurt/Plantage";"17";"18";"36";"28";"19";"18";"16";"17";"27";"60";"96";"75"
"Weesperbuurt";"2";"7";"11";"7";"7";"7";"5";"6";"7";"10";"40";"24"
"Plantage";"7";"8";"10";"7";"6";"2";"7";"5";"12";"33";"30";"29"
"Sarphatistrook";"7";"3";"15";"12";"5";"6";"2";"5";"7";"16";"24";"20"
"Alexanderplein e.o.";"1";"0";"0";"2";"1";"3";"2";"1";"1";"1";"2";"2"
"Oostelijke Eilanden/Kadijken";"30";"41";"34";"34";"21";"25";"18";"20";"33";"25";"50";"64"
"Marine-Etablissement";"3";"1";"6";"1";"1";"1";"1";"1";"0";"2";"4";"1"
"Kattenburg";"4";"2";"2";"1";"1";"4";"0";"1";"1";"2";"2";"8"
"Wittenburg";"3";"4";"6";"3";"5";"3";"2";"2";"4";"6";"6";"7"
"Oostenburg";"1";"6";"4";"9";"2";"2";"4";"1";"5";"2";"12";"18"
"Czaar Peterbuurt";"10";"12";"7";"7";"3";"5";"4";"6";"11";"6";"5";"9"
"Het Funen";"1";"2";"3";"0";"6";"1";"2";"1";"5";"1";"8";"6"
"Kadijken";"5";"11";"4";"10";"3";"7";"4";"6";"4";"2";"9";"7"
"Kazernebuurt";"3";"3";"2";"3";"0";"2";"1";"2";"3";"4";"4";"8"
"Havens-West";"8";"10";"8";"9";"7";"5";"7";"8";"17";"9";"12";"18"
"Afrikahaven";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"4";"3"
"Amerikahaven";"2";"4";"3";"3";"2";"1";"4";"2";"1";"2";"1";"5"
