"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.4 Bedreiging"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"30";"24";"16";"24";"17";"23";"14";"16";"6";"6";"13";"6"
"Weteringbuurt";"7";"5";"4";"4";"4";"6";"6";"3";"7";"3";"9";"6"
"Utrechtsebuurt-Zuid";"2";"1";"1";"6";"7";"3";"4";"3";"4";"4";"2";"1"
"Leidsebuurt-Zuidwest";"6";"4";"4";"7";"5";"2";"2";"2";"1";"4";"11";"1"
"Leidsebuurt-Zuidoost";"10";"9";"5";"3";"5";"2";"3";"4";"4";"5";"5";"3"
"Den Texbuurt";"2";"3";"1";"9";"6";"2";"3";"3";"11";"2";"2";"2"
"Frederikspleinbuurt";"7";"14";"7";"8";"9";"15";"5";"4";"5";"2";"4";"2"
"Weesperbuurt/Plantage";"26";"27";"31";"33";"25";"18";"17";"17";"30";"25";"17";"16"
"Weesperbuurt";"11";"9";"11";"10";"10";"6";"6";"0";"9";"4";"4";"3"
"Plantage";"3";"2";"1";"1";"1";"2";"4";"5";"6";"8";"4";"4"
"Sarphatistrook";"12";"14";"16";"22";"12";"10";"7";"11";"13";"12";"9";"8"
"Alexanderplein e.o.";"0";"2";"3";"0";"2";"0";"0";"1";"2";"1";"0";"1"
"Oostelijke Eilanden/Kadijken";"50";"39";"28";"45";"26";"30";"33";"42";"39";"33";"29";"35"
"Marine-Etablissement";"0";"1";"0";"0";"0";"0";"1";"0";"0";"3";"1";"1"
"Kattenburg";"1";"3";"0";"7";"1";"2";"6";"6";"2";"1";"1";"7"
"Wittenburg";"10";"7";"4";"9";"8";"7";"11";"5";"9";"6";"6";"4"
"Oostenburg";"6";"6";"5";"10";"7";"4";"1";"11";"2";"1";"8";"5"
"Czaar Peterbuurt";"13";"5";"4";"4";"2";"6";"4";"7";"9";"9";"5";"8"
"Het Funen";"5";"5";"2";"1";"1";"1";"4";"1";"1";"2";"4";"1"
"Kadijken";"11";"8";"11";"8";"5";"6";"3";"8";"10";"9";"1";"4"
"Kazernebuurt";"4";"4";"2";"6";"2";"4";"3";"4";"6";"2";"3";"5"
"Havens-West";"5";"11";"5";"10";"3";"7";"5";"6";"8";"7";"13";"4"
"Afrikahaven";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4";"0"
"Amerikahaven";"1";"4";"1";"1";"1";"3";"2";"2";"0";"3";"1";"1"
"Westhaven-Noord";"1";"1";"1";"3";"0";"0";"1";"2";"0";"1";"0";"0"
"Petroleumhaven";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0"
"Vervoerscentrum";"0";"4";"2";"1";"0";"0";"1";"1";"2";"1";"2";"0"
"Westhaven-Zuid";"2";"2";"1";"3";"2";"2";"1";"1";"6";"1";"5";"3"
"Coenhaven/Minervahaven";"3";"2";"5";"1";"4";"2";"1";"4";"2";"5";"7";"16"
"Coenhaven";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"11"
"Vlothaven";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2"
"Minervahaven-Noordwest";"0";"0";"1";"0";"2";"0";"1";"0";"1";"1";"1";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Alfa-driehoek";"0";"1";"3";"0";"2";"1";"0";"1";"0";"1";"2";"2"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"1"
"Sloterdijk-West";"3";"8";"7";"6";"10";"9";"10";"19";"12";"2";"6";"9"
"Isolatorbuurt";"2";"5";"4";"5";"8";"8";"8";"11";"5";"1";"5";"5"
"Contactbuurt";"1";"2";"3";"0";"2";"1";"1";"4";"3";"1";"1";"3"
"Woon- en Groengebied Sloterdijk";"0";"1";"0";"1";"0";"0";"1";"4";"4";"0";"0";"1"
"Spaarndammerbuurt/Zeeheldenbuurt";"47";"39";"43";"50";"27";"46";"66";"47";"42";"39";"38";"52"
"Hemknoop-Zuid";"0";"1";"3";"0";"0";"0";"27";"11";"12";"7";"8";"8"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"1";"1";"0";"0";"1";"0";"1";"2";"0";"2";"0";"1"
"Spaarndammerbuurt-Noordwest";"4";"6";"3";"7";"3";"4";"3";"2";"7";"7";"5";"2"
"Spaarndammerbuurt-Midden";"9";"5";"1";"6";"2";"4";"1";"5";"7";"8";"3";"5"
"Spaarndammerbuurt-Zuidwest";"6";"7";"9";"7";"2";"7";"4";"4";"1";"0";"5";"3"
"Spaarndammerbuurt-Noordoost";"12";"7";"11";"11";"7";"14";"12";"8";"7";"6";"8";"14"
"Zeeheldenbuurt";"9";"6";"6";"13";"8";"7";"9";"6";"5";"4";"1";"13"
"Westergasfabriek";"3";"3";"5";"3";"1";"7";"7";"8";"2";"3";"6";"3"
"Spaarndammerbuurt-Zuidoost";"3";"3";"5";"3";"3";"2";"2";"1";"1";"2";"2";"3"
"Houthavens";"2";"2";"2";"1";"1";"4";"2";"4";"6";"5";"3";"4"
"Houthavens-West";"2";"1";"2";"1";"1";"2";"0";"3";"6";"4";"3";"4"
"Houthavens-Oost";"0";"1";"0";"0";"0";"2";"2";"1";"0";"1";"0";"0"
"De Kolenkit";"38";"43";"30";"22";"33";"36";"20";"36";"36";"29";"29";"23"
"Kolenkitbuurt-Noord";"20";"19";"10";"9";"16";"14";"1";"11";"12";"8";"7";"2"
"Kolenkitbuurt-Zuid";"5";"6";"10";"5";"4";"8";"5";"7";"8";"3";"5";"5"
"Laan van Spartaan";"4";"5";"1";"2";"6";"10";"4";"10";"2";"6";"6";"7"
"Robert Scottbuurt-West";"9";"13";"9";"6";"7";"4";"10";"8";"14";"12";"11";"9"
