"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.4 Zakkenrollerij"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"528";"739";"560";"409";"304";"286";"162";"149";"42";"19";"86";"127"
"Weteringbuurt";"16";"20";"20";"18";"22";"14";"20";"19";"5";"3";"12";"15"
"Utrechtsebuurt-Zuid";"18";"28";"10";"8";"7";"8";"7";"5";"5";"0";"3";"3"
"Leidsebuurt-Zuidwest";"300";"352";"236";"200";"131";"131";"72";"73";"24";"7";"50";"56"
"Leidsebuurt-Zuidoost";"102";"99";"77";"69";"43";"45";"31";"21";"9";"3";"11";"32"
"Den Texbuurt";"22";"15";"12";"14";"19";"16";"4";"13";"5";"3";"3";"11"
"Frederikspleinbuurt";"1";"7";"12";"9";"5";"3";"5";"2";"0";"4";"0";"4"
"Weesperbuurt/Plantage";"58";"79";"56";"52";"54";"48";"42";"32";"20";"12";"20";"38"
"Weesperbuurt";"16";"23";"8";"10";"14";"10";"10";"5";"5";"1";"6";"7"
"Plantage";"18";"24";"15";"15";"10";"14";"7";"4";"6";"4";"3";"2"
"Sarphatistrook";"23";"31";"32";"26";"28";"21";"25";"21";"9";"6";"11";"27"
"Alexanderplein e.o.";"1";"1";"1";"1";"2";"3";"0";"2";"0";"1";"0";"2"
"Oostelijke Eilanden/Kadijken";"20";"28";"25";"25";"20";"20";"18";"5";"9";"4";"6";"9"
"Marine-Etablissement";"2";"5";"5";"7";"3";"4";"7";"2";"2";"2";"1";"3"
"Kattenburg";"0";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Wittenburg";"2";"3";"2";"2";"3";"1";"0";"0";"0";"0";"1";"0"
"Oostenburg";"2";"5";"3";"2";"6";"4";"2";"1";"1";"0";"0";"0"
"Czaar Peterbuurt";"8";"11";"6";"9";"2";"3";"3";"0";"3";"0";"1";"2"
"Het Funen";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0"
"Kadijken";"5";"1";"1";"2";"4";"5";"4";"1";"1";"1";"1";"2"
"Kazernebuurt";"0";"2";"6";"1";"2";"2";"2";"0";"1";"1";"1";"2"
"Havens-West";"12";"10";"11";"9";"7";"7";"5";"5";"0";"1";"3";"4"
"Afrikahaven";"5";"8";"8";"8";"3";"5";"4";"4";"0";"0";"2";"4"
"Amerikahaven";"4";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"Westhaven-Noord";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0"
"Westhaven-Zuid";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"2";"16";"10";"9";"17";"4";"19";"23";"1";"10";"9";"10"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"7";"6";"4";"9";"2";"6";"4";"0";"9";"1";"3"
"Minervahaven-Noordwest";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"8";"0";"0";"2";"0";"1";"0";"0";"0";"0";"2"
"Alfa-driehoek";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"2";"4";"6";"2";"12";"19";"1";"1";"8";"5"
"Sloterdijk-West";"5";"10";"9";"12";"14";"16";"12";"18";"4";"0";"0";"3"
"Isolatorbuurt";"3";"3";"3";"10";"10";"15";"10";"11";"3";"0";"0";"2"
"Contactbuurt";"1";"4";"2";"0";"2";"0";"1";"3";"1";"0";"0";"1"
"Woon- en Groengebied Sloterdijk";"1";"3";"4";"2";"2";"1";"1";"4";"0";"0";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"87";"98";"110";"69";"74";"49";"49";"49";"14";"20";"45";"29"
"Hemknoop-Zuid";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"1";"2";"2";"1";"2";"2";"1";"2";"1";"0";"1";"0"
"Spaarndammerbuurt-Midden";"5";"4";"1";"3";"1";"0";"1";"1";"1";"2";"1";"1"
"Spaarndammerbuurt-Zuidwest";"3";"3";"1";"2";"4";"1";"0";"3";"0";"0";"0";"1"
"Spaarndammerbuurt-Noordoost";"2";"1";"4";"2";"2";"1";"4";"7";"2";"0";"1";"1"
"Zeeheldenbuurt";"1";"2";"2";"3";"1";"1";"2";"0";"1";"0";"1";"1"
"Westergasfabriek";"75";"83";"98";"57";"59";"43";"38";"35";"7";"18";"39";"24"
"Spaarndammerbuurt-Zuidoost";"0";"2";"0";"1";"4";"0";"2";"1";"2";"0";"2";"1"
"Houthavens";"3";"3";"1";"1";"1";"0";"0";"0";"1";"0";"0";"3"
"Houthavens-West";"3";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2"
"Houthavens-Oost";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
"De Kolenkit";"11";"9";"13";"8";"11";"2";"7";"2";"2";"3";"2";"0"
