"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.3 Diefstal van brom-, snor-, fietsen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"90";"72";"106";"126";"98";"91";"112";"70";"44";"26";"58";"69"
"Weteringbuurt";"59";"79";"80";"48";"71";"37";"61";"54";"39";"26";"42";"53"
"Utrechtsebuurt-Zuid";"34";"29";"30";"26";"16";"18";"26";"21";"15";"6";"15";"20"
"Leidsebuurt-Zuidwest";"67";"79";"79";"83";"43";"33";"40";"37";"24";"10";"34";"36"
"Leidsebuurt-Zuidoost";"72";"52";"78";"96";"60";"67";"91";"124";"57";"22";"70";"79"
"Den Texbuurt";"50";"38";"53";"38";"29";"23";"26";"34";"30";"20";"27";"35"
"Frederikspleinbuurt";"36";"24";"30";"28";"24";"20";"21";"22";"20";"24";"15";"25"
"Weesperbuurt/Plantage";"190";"169";"232";"193";"169";"203";"225";"265";"188";"139";"231";"190"
"Weesperbuurt";"66";"52";"81";"55";"51";"74";"84";"96";"61";"55";"51";"60"
"Plantage";"54";"47";"60";"58";"42";"61";"46";"64";"54";"38";"97";"62"
"Sarphatistrook";"65";"65";"88";"74";"74";"66";"84";"99";"62";"36";"73";"61"
"Alexanderplein e.o.";"5";"5";"3";"6";"2";"2";"11";"6";"11";"10";"10";"7"
"Oostelijke Eilanden/Kadijken";"147";"190";"153";"196";"200";"177";"169";"182";"159";"104";"199";"222"
"Marine-Etablissement";"7";"5";"6";"8";"6";"8";"6";"10";"5";"5";"9";"4"
"Kattenburg";"10";"14";"10";"11";"18";"9";"11";"11";"13";"7";"17";"13"
"Wittenburg";"13";"29";"19";"22";"25";"24";"13";"17";"10";"11";"12";"15"
"Oostenburg";"24";"14";"19";"19";"21";"15";"31";"29";"20";"17";"45";"91"
"Czaar Peterbuurt";"25";"40";"30";"41";"46";"48";"39";"46";"44";"23";"35";"41"
"Het Funen";"17";"24";"16";"29";"29";"22";"17";"23";"21";"9";"21";"18"
"Kadijken";"34";"46";"30";"48";"32";"28";"31";"24";"31";"21";"35";"24"
"Kazernebuurt";"17";"18";"23";"18";"23";"23";"21";"22";"15";"11";"25";"16"
"Havens-West";"5";"2";"6";"10";"9";"2";"7";"5";"3";"7";"12";"31"
"Afrikahaven";"0";"1";"0";"2";"1";"0";"1";"0";"0";"2";"3";"2"
"Amerikahaven";"1";"1";"0";"4";"1";"0";"0";"2";"1";"1";"1";"2"
"Westhaven-Noord";"2";"0";"1";"1";"2";"2";"2";"1";"1";"3";"2";"3"
"Petroleumhaven";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Vervoerscentrum";"1";"0";"2";"2";"2";"0";"4";"2";"1";"1";"6";"22"
"Westhaven-Zuid";"0";"0";"3";"1";"2";"0";"0";"0";"0";"0";"0";"1"
"Coenhaven/Minervahaven";"7";"5";"4";"2";"4";"4";"4";"10";"5";"22";"21";"21"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Vlothaven";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Minervahaven-Noordoost";"0";"1";"1";"1";"2";"2";"1";"5";"4";"19";"13";"8"
"Minervahaven-Noordwest";"2";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"2"
"Minervahaven-Zuidoost";"0";"2";"1";"0";"0";"1";"1";"1";"1";"1";"6";"5"
"Alfa-driehoek";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1"
"Hemknoop-Noord";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"3"
