"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.7.4 Cybercrime"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"1";"0";"0";"0";"0";"0";"0";"5";"4";"4";"3";"4"
"Weteringbuurt";"0";"0";"4";"1";"1";"1";"0";"1";"4";"6";"6";"5"
"Utrechtsebuurt-Zuid";"0";"0";"0";"0";"1";"0";"1";"1";"4";"1";"1";"1"
"Leidsebuurt-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Leidsebuurt-Zuidoost";"0";"0";"1";"0";"0";"0";"1";"2";"3";"0";"0";"2"
"Den Texbuurt";"0";"0";"0";"0";"0";"0";"1";"2";"3";"1";"1";"3"
"Frederikspleinbuurt";"0";"1";"0";"0";"1";"0";"1";"0";"1";"6";"0";"0"
"Weesperbuurt/Plantage";"0";"0";"0";"2";"3";"2";"2";"11";"13";"23";"13";"13"
"Weesperbuurt";"0";"0";"0";"1";"2";"0";"0";"7";"2";"9";"4";"6"
"Plantage";"0";"0";"0";"0";"1";"2";"2";"2";"7";"7";"8";"3"
"Sarphatistrook";"0";"0";"0";"0";"0";"0";"0";"2";"4";"5";"1";"3"
"Alexanderplein e.o.";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1"
"Oostelijke Eilanden/Kadijken";"2";"1";"3";"3";"5";"4";"7";"7";"20";"31";"37";"20"
"Marine-Etablissement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Kattenburg";"0";"0";"0";"0";"1";"1";"0";"0";"4";"5";"3";"3"
"Wittenburg";"1";"0";"0";"0";"0";"0";"1";"0";"4";"4";"5";"1"
"Oostenburg";"0";"0";"1";"1";"0";"0";"2";"2";"1";"4";"4";"3"
"Czaar Peterbuurt";"0";"0";"1";"0";"0";"2";"2";"2";"3";"6";"4";"5"
"Het Funen";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"2";"4"
"Kadijken";"0";"1";"1";"1";"4";"1";"1";"0";"4";"10";"13";"1"
"Kazernebuurt";"1";"0";"0";"1";"0";"0";"1";"1";"1";"2";"5";"3"
"Havens-West";"2";"1";"2";"1";"1";"0";"1";"2";"2";"1";"1";"0"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0"
"Westhaven-Noord";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Westhaven-Zuid";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Coenhaven/Minervahaven";"1";"0";"2";"0";"1";"1";"3";"1";"0";"0";"1";"3"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"2"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Alfa-driehoek";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sloterdijk-West";"1";"1";"0";"0";"0";"1";"0";"1";"2";"2";"7";"1"
"Isolatorbuurt";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Contactbuurt";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1"
"Woon- en Groengebied Sloterdijk";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"5";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"2";"0";"0";"1";"1";"3";"2";"1";"5";"11";"14";"8"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1"
"Spaarndammerbuurt-Midden";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"3";"0"
"Spaarndammerbuurt-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"3"
"Spaarndammerbuurt-Noordoost";"0";"0";"0";"0";"0";"0";"0";"0";"5";"3";"3";"2"
"Zeeheldenbuurt";"2";"0";"0";"0";"0";"3";"0";"0";"0";"3";"1";"0"
"Westergasfabriek";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"Houthavens";"0";"0";"1";"0";"1";"1";"1";"0";"4";"6";"4";"8"
"Houthavens-West";"0";"0";"1";"0";"0";"1";"0";"0";"3";"3";"2";"7"
"Houthavens-Oost";"0";"0";"0";"0";"1";"0";"1";"0";"1";"3";"2";"1"
"De Kolenkit";"1";"0";"0";"0";"2";"1";"4";"2";"3";"8";"7";"5"
"Kolenkitbuurt-Noord";"0";"0";"0";"0";"1";"0";"2";"1";"2";"2";"0";"1"
"Kolenkitbuurt-Zuid";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"1";"1"
"Laan van Spartaan";"1";"0";"0";"0";"1";"0";"1";"0";"1";"4";"3";"2"
"Robert Scottbuurt-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1"
"Landlust";"0";"0";"0";"0";"6";"4";"6";"3";"10";"21";"14";"14"
"Bosleeuw";"0";"0";"0";"0";"0";"1";"2";"0";"3";"7";"1";"1"
"Gibraltarbuurt";"0";"0";"0";"0";"3";"3";"0";"2";"3";"6";"2";"5"
"Bedrijventerrein Landlust";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"Landlust-Noord";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"2"
"Erasmusparkbuurt-Oost";"0";"0";"0";"0";"0";"0";"2";"0";"1";"5";"3";"1"
"Landlust-Zuid";"0";"0";"0";"0";"1";"0";"2";"0";"3";"1";"6";"4"
"Erasmuspark";"0";"0";"0";"0";"2";"3";"1";"0";"5";"1";"5";"4"
"Robert Scottbuurt-Oost";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2"
"Erasmusparkbuurt-West";"0";"0";"0";"0";"2";"2";"1";"0";"4";"1";"4";"2"
"Centrale Markt";"0";"0";"0";"1";"0";"1";"1";"1";"2";"3";"5";"1"
"Bedrijvencentrum Westerkwartier";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
