"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.9.1 Horizontale fraude"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"4";"9";"4";"9";"7";"17";"25";"23";"14";"13";"11";"4"
"Weteringbuurt";"3";"1";"1";"9";"10";"18";"9";"17";"13";"11";"16";"10"
"Utrechtsebuurt-Zuid";"9";"0";"1";"6";"3";"5";"5";"12";"6";"8";"2";"3"
"Leidsebuurt-Zuidwest";"3";"5";"2";"4";"3";"4";"4";"7";"1";"3";"2";"2"
"Leidsebuurt-Zuidoost";"0";"9";"1";"15";"10";"11";"4";"14";"4";"5";"3";"0"
"Den Texbuurt";"1";"4";"1";"2";"2";"6";"9";"10";"10";"10";"2";"3"
"Frederikspleinbuurt";"0";"1";"4";"7";"9";"8";"6";"8";"8";"8";"3";"10"
"Weesperbuurt/Plantage";"18";"6";"11";"28";"42";"54";"45";"40";"64";"53";"41";"45"
"Weesperbuurt";"11";"3";"4";"15";"17";"17";"21";"18";"15";"23";"17";"23"
"Plantage";"3";"0";"6";"5";"8";"9";"10";"10";"14";"14";"12";"17"
"Sarphatistrook";"4";"3";"1";"7";"14";"24";"11";"12";"31";"12";"10";"3"
"Alexanderplein e.o.";"0";"0";"0";"1";"3";"4";"3";"0";"4";"4";"2";"2"
"Oostelijke Eilanden/Kadijken";"17";"9";"4";"45";"62";"76";"64";"45";"108";"87";"62";"87"
"Marine-Etablissement";"0";"0";"0";"0";"0";"2";"1";"0";"2";"1";"3";"1"
"Kattenburg";"0";"3";"1";"4";"10";"14";"5";"5";"7";"11";"3";"6"
"Wittenburg";"3";"0";"0";"11";"7";"6";"10";"4";"21";"18";"18";"17"
"Oostenburg";"2";"1";"0";"4";"9";"8";"11";"4";"17";"7";"11";"16"
"Czaar Peterbuurt";"2";"2";"0";"5";"8";"10";"11";"7";"12";"14";"7";"17"
"Het Funen";"1";"0";"0";"5";"7";"5";"5";"5";"13";"5";"6";"4"
"Kadijken";"6";"3";"2";"11";"15";"16";"12";"15";"32";"23";"7";"22"
"Kazernebuurt";"3";"0";"1";"5";"6";"15";"9";"5";"4";"8";"7";"4"
"Havens-West";"4";"1";"4";"4";"8";"10";"10";"11";"9";"8";"7";"6"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Amerikahaven";"3";"1";"3";"1";"2";"2";"3";"6";"2";"1";"1";"1"
"Westhaven-Noord";"0";"0";"0";"1";"0";"1";"2";"3";"2";"2";"2";"2"
"Petroleumhaven";"0";"0";"0";"1";"2";"0";"1";"0";"1";"0";"1";"0"
"Vervoerscentrum";"1";"0";"0";"0";"2";"2";"3";"0";"0";"5";"0";"2"
"Westhaven-Zuid";"0";"0";"1";"1";"2";"5";"1";"2";"2";"0";"3";"1"
"Coenhaven/Minervahaven";"2";"1";"0";"5";"8";"10";"7";"11";"10";"11";"24";"12"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"4"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"2";"2";"1";"1";"0";"2";"7";"4"
"Minervahaven-Noordwest";"1";"1";"0";"1";"0";"1";"0";"0";"1";"2";"3";"1"
"Minervahaven-Zuidwest";"0";"0";"0";"1";"2";"0";"0";"1";"0";"2";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"2";"3";"3";"6";"2";"9";"0"
"Alfa-driehoek";"0";"0";"0";"3";"4";"5";"3";"3";"1";"2";"2";"2"
"Hemknoop-Noord";"1";"0";"0";"0";"0";"0";"0";"3";"0";"1";"1";"1"
"Sloterdijk-West";"5";"0";"1";"4";"12";"5";"16";"22";"11";"7";"20";"14"
"Isolatorbuurt";"3";"0";"1";"1";"3";"3";"8";"13";"3";"5";"3";"6"
"Contactbuurt";"2";"0";"0";"1";"6";"2";"4";"4";"0";"0";"4";"3"
"Woon- en Groengebied Sloterdijk";"0";"0";"0";"2";"3";"0";"4";"5";"8";"2";"13";"5"
"Spaarndammerbuurt/Zeeheldenbuurt";"20";"4";"7";"32";"57";"51";"66";"52";"89";"84";"67";"46"
"Hemknoop-Zuid";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Spaarndammerbuurt-Noordwest";"2";"0";"2";"6";"14";"17";"6";"11";"8";"8";"16";"5"
"Spaarndammerbuurt-Midden";"2";"0";"0";"6";"7";"6";"7";"5";"12";"16";"5";"3"
"Spaarndammerbuurt-Zuidwest";"2";"0";"0";"4";"7";"10";"14";"12";"12";"14";"18";"9"
"Spaarndammerbuurt-Noordoost";"7";"2";"1";"11";"15";"10";"19";"15";"28";"21";"8";"12"
"Zeeheldenbuurt";"3";"1";"4";"5";"6";"3";"10";"4";"15";"14";"13";"15"
"Westergasfabriek";"0";"0";"0";"0";"2";"1";"3";"1";"2";"1";"2";"1"
"Spaarndammerbuurt-Zuidoost";"2";"0";"0";"0";"6";"4";"7";"3";"9";"9";"5";"1"
"Houthavens";"0";"2";"0";"5";"10";"5";"4";"16";"37";"23";"13";"20"
"Houthavens-West";"0";"1";"0";"1";"0";"0";"3";"12";"32";"17";"11";"17"
"Houthavens-Oost";"0";"1";"0";"4";"10";"5";"1";"4";"5";"6";"2";"3"
"De Kolenkit";"2";"2";"3";"32";"57";"42";"59";"63";"89";"65";"62";"58"
"Kolenkitbuurt-Noord";"2";"0";"1";"5";"15";"11";"18";"24";"25";"22";"28";"19"
"Kolenkitbuurt-Zuid";"0";"0";"0";"7";"14";"8";"12";"8";"15";"20";"11";"15"
"Laan van Spartaan";"0";"1";"2";"10";"11";"9";"16";"17";"17";"10";"11";"9"
"Robert Scottbuurt-West";"0";"1";"0";"10";"17";"14";"13";"14";"32";"13";"12";"15"
"Landlust";"15";"17";"10";"63";"101";"89";"100";"114";"139";"117";"110";"91"
"Bosleeuw";"6";"9";"6";"15";"36";"26";"40";"38";"50";"37";"23";"33"
"Gibraltarbuurt";"1";"1";"0";"15";"22";"13";"20";"26";"26";"24";"27";"26"
"Bedrijventerrein Landlust";"2";"1";"0";"4";"1";"3";"3";"9";"5";"10";"9";"5"
"Landlust-Noord";"2";"1";"0";"8";"6";"10";"15";"8";"11";"6";"18";"10"
"Erasmusparkbuurt-Oost";"1";"5";"3";"9";"11";"10";"6";"9";"20";"14";"11";"7"
"Landlust-Zuid";"3";"0";"1";"12";"25";"27";"16";"24";"27";"26";"22";"10"
"Erasmuspark";"5";"3";"3";"17";"28";"35";"44";"28";"49";"35";"28";"18"
"Robert Scottbuurt-Oost";"1";"1";"0";"5";"7";"13";"10";"10";"7";"6";"7";"7"
"Erasmusparkbuurt-West";"4";"2";"3";"12";"21";"22";"34";"18";"42";"29";"21";"11"
"Centrale Markt";"9";"1";"1";"8";"10";"20";"11";"22";"21";"19";"17";"25"
"Bedrijvencentrum Westerkwartier";"6";"0";"0";"0";"1";"2";"1";"1";"4";"2";"3";"3"
"GWL-terrein";"1";"1";"0";"4";"4";"13";"6";"7";"9";"13";"7";"13"
"Markthallen";"1";"0";"1";"0";"1";"1";"0";"5";"0";"0";"0";"2"
"Marcanti";"1";"0";"0";"4";"4";"4";"4";"9";"8";"4";"7";"7"
"Staatsliedenbuurt";"16";"8";"6";"44";"50";"64";"67";"57";"96";"80";"64";"83"
"Westerstaatsman";"4";"1";"1";"15";"14";"11";"16";"14";"18";"16";"15";"12"
"Fannius Scholtenbuurt";"2";"2";"1";"14";"11";"15";"18";"18";"28";"20";"15";"28"
"Staatsliedenbuurt-Noordoost";"3";"0";"0";"5";"4";"7";"7";"6";"11";"9";"4";"5"
"De Wittenbuurt-Noord";"1";"2";"0";"1";"5";"9";"10";"4";"10";"7";"6";"11"
"De Wittenbuurt-Zuid";"1";"1";"1";"3";"2";"6";"5";"5";"6";"9";"2";"11"
"Buyskade e.o.";"5";"2";"3";"6";"14";"16";"11";"10";"23";"19";"22";"16"
"Frederik Hendrikbuurt";"4";"2";"2";"16";"33";"44";"35";"43";"68";"46";"37";"40"
"Frederik Hendrikbuurt-Noord";"3";"0";"1";"7";"14";"26";"18";"18";"21";"23";"18";"18"
"Frederik Hendrikbuurt-Zuidwest";"0";"1";"0";"3";"2";"2";"2";"6";"12";"8";"6";"7"
"Frederik Hendrikbuurt-Zuidoost";"1";"1";"1";"6";"17";"16";"15";"19";"35";"15";"13";"15"
"Van Galenbuurt";"7";"5";"3";"13";"43";"33";"26";"37";"34";"47";"41";"36"
"Mercatorpark";"0";"2";"1";"2";"6";"7";"6";"5";"10";"16";"11";"19"
"Orteliusbuurt-Noord";"3";"0";"0";"3";"11";"9";"2";"2";"5";"12";"11";"3"
"Jan Maijenbuurt";"2";"3";"1";"7";"16";"10";"10";"13";"14";"11";"10";"7"
"John Franklinbuurt";"2";"0";"1";"1";"10";"7";"8";"17";"5";"8";"9";"7"
"Geuzenbuurt";"7";"4";"3";"20";"35";"43";"35";"49";"44";"35";"36";"35"
"Pieter van der Doesbuurt";"1";"2";"0";"7";"7";"15";"10";"8";"8";"9";"11";"9"
"Trompbuurt";"4";"2";"1";"10";"14";"22";"17";"27";"22";"16";"14";"18"
"Geuzenhofbuurt";"2";"0";"2";"3";"14";"6";"8";"14";"14";"10";"11";"8"
"Hoofdweg e.o.";"16";"10";"10";"44";"49";"47";"51";"65";"84";"90";"66";"52"
"Orteliusbuurt-Midden";"2";"3";"0";"11";"9";"15";"8";"15";"29";"25";"10";"7"
"Balboaplein e.o.";"4";"3";"2";"16";"18";"9";"20";"26";"32";"31";"15";"21"
"Orteliusbuurt-Zuid";"0";"2";"2";"3";"6";"10";"7";"6";"7";"13";"13";"11"
