"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.1 Diefstal uit/vanaf motorvoertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"11";"8";"9";"10";"7";"10";"13";"2";"7";"1";"9";"3"
"Weteringbuurt";"17";"22";"26";"13";"10";"12";"13";"9";"9";"13";"6";"16"
"Utrechtsebuurt-Zuid";"13";"11";"25";"10";"10";"21";"15";"8";"7";"6";"3";"5"
"Leidsebuurt-Zuidwest";"21";"19";"15";"22";"16";"44";"11";"2";"6";"3";"4";"10"
"Leidsebuurt-Zuidoost";"9";"9";"14";"18";"8";"5";"5";"4";"3";"2";"2";"1"
"Den Texbuurt";"19";"21";"32";"22";"24";"22";"15";"13";"13";"4";"8";"6"
"Frederikspleinbuurt";"32";"35";"53";"43";"31";"32";"28";"21";"20";"15";"11";"17"
"Weesperbuurt/Plantage";"134";"110";"179";"155";"138";"115";"171";"116";"77";"82";"90";"77"
"Weesperbuurt";"28";"32";"46";"35";"51";"32";"64";"33";"20";"34";"32";"26"
"Plantage";"49";"40";"81";"72";"43";"49";"69";"55";"28";"21";"33";"27"
"Sarphatistrook";"46";"36";"45";"42";"38";"31";"33";"27";"28";"24";"20";"21"
"Alexanderplein e.o.";"11";"2";"7";"6";"6";"3";"5";"1";"1";"3";"5";"3"
"Oostelijke Eilanden/Kadijken";"130";"90";"189";"215";"137";"106";"70";"51";"38";"30";"58";"75"
"Marine-Etablissement";"9";"15";"51";"55";"12";"16";"10";"9";"3";"1";"8";"29"
"Kattenburg";"8";"7";"13";"23";"11";"22";"9";"5";"1";"0";"3";"9"
"Wittenburg";"9";"10";"17";"20";"22";"12";"5";"2";"8";"4";"5";"4"
"Oostenburg";"8";"16";"32";"22";"34";"11";"5";"6";"4";"6";"5";"9"
"Czaar Peterbuurt";"29";"13";"19";"30";"13";"14";"25";"9";"4";"4";"9";"7"
"Het Funen";"15";"6";"11";"14";"18";"9";"3";"5";"8";"2";"11";"4"
"Kadijken";"38";"17";"28";"34";"14";"17";"10";"11";"9";"10";"12";"10"
"Kazernebuurt";"14";"6";"18";"17";"13";"5";"3";"4";"1";"3";"5";"3"
"Havens-West";"20";"28";"27";"17";"26";"24";"10";"8";"10";"4";"10";"12"
"Afrikahaven";"0";"3";"11";"4";"1";"1";"1";"1";"1";"0";"0";"1"
"Amerikahaven";"2";"0";"1";"6";"3";"2";"4";"1";"1";"2";"0";"0"
"Westhaven-Noord";"7";"3";"5";"1";"5";"0";"0";"0";"3";"0";"0";"0"
"Petroleumhaven";"2";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0"
"Vervoerscentrum";"1";"6";"0";"2";"3";"3";"0";"3";"2";"0";"3";"2"
"Westhaven-Zuid";"8";"16";"10";"3";"13";"17";"5";"2";"2";"2";"7";"9"
"Coenhaven/Minervahaven";"39";"23";"22";"20";"33";"11";"14";"23";"13";"5";"10";"20"
"Coenhaven";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Vlothaven";"5";"1";"2";"0";"1";"2";"0";"1";"5";"0";"1";"0"
"Minervahaven-Noordoost";"3";"2";"3";"3";"10";"5";"2";"11";"0";"0";"0";"3"
"Minervahaven-Noordwest";"6";"8";"6";"2";"0";"0";"1";"3";"6";"1";"0";"0"
"Minervahaven-Zuidwest";"7";"0";"1";"1";"2";"0";"0";"1";"2";"0";"0";"0"
"Minervahaven-Zuidoost";"15";"10";"2";"7";"14";"4";"4";"0";"0";"0";"1";"7"
"Alfa-driehoek";"3";"2";"8";"3";"2";"0";"4";"2";"0";"1";"2";"5"
"Hemknoop-Noord";"0";"0";"0";"4";"2";"0";"3";"5";"0";"3";"5";"5"
"Sloterdijk-West";"45";"58";"37";"71";"55";"61";"39";"50";"12";"61";"87";"130"
"Isolatorbuurt";"22";"22";"13";"45";"40";"38";"24";"22";"8";"34";"58";"104"
"Contactbuurt";"12";"23";"8";"12";"9";"13";"9";"12";"1";"21";"22";"17"
"Woon- en Groengebied Sloterdijk";"11";"13";"16";"14";"6";"10";"6";"16";"3";"6";"7";"9"
"Spaarndammerbuurt/Zeeheldenbuurt";"89";"73";"54";"102";"40";"48";"29";"29";"32";"39";"24";"40"
"Hemknoop-Zuid";"1";"1";"1";"1";"1";"3";"6";"0";"1";"1";"2";"4"
