"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.5.2 Diefstallen (water)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"2";"0";"0";"0";"4";"1";"0";"0";"1";"0";"1";"1"
"Weteringbuurt";"4";"3";"2";"1";"1";"2";"4";"0";"1";"0";"0";"0"
"Utrechtsebuurt-Zuid";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Leidsebuurt-Zuidwest";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidoost";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Den Texbuurt";"0";"1";"1";"3";"2";"1";"1";"0";"0";"0";"0";"1"
"Frederikspleinbuurt";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Weesperbuurt/Plantage";"6";"8";"4";"10";"3";"2";"4";"4";"1";"0";"2";"2"
"Weesperbuurt";"3";"4";"0";"2";"1";"0";"1";"0";"1";"0";"1";"1"
"Plantage";"2";"2";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Sarphatistrook";"1";"2";"2";"2";"2";"1";"1";"1";"0";"0";"1";"1"
"Alexanderplein e.o.";"0";"0";"1";"3";"0";"1";"2";"3";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"6";"7";"7";"7";"1";"4";"4";"2";"0";"8";"6";"6"
"Marine-Etablissement";"2";"1";"2";"1";"0";"0";"0";"0";"0";"1";"1";"0"
"Kattenburg";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Wittenburg";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1"
"Oostenburg";"1";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0"
"Czaar Peterbuurt";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Het Funen";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Kadijken";"1";"2";"1";"3";"0";"1";"3";"1";"0";"5";"5";"4"
"Kazernebuurt";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Havens-West";"2";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Petroleumhaven";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"2";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0"
"Coenhaven";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Vlothaven";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sloterdijk-West";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Isolatorbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Contactbuurt";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Woon- en Groengebied Sloterdijk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"0";"5";"1";"5";"0";"3";"2";"2";"0";"0";"0";"0"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordoost";"0";"1";"0";"3";"0";"2";"1";"1";"0";"0";"0";"0"
"Zeeheldenbuurt";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Westergasfabriek";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidoost";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
