Crime_Type,Total_Registered_Crimes
Other property crimes,93904.0
"Theft of mopeds, scooters",91582.0
Destruction cq. property damage,81682.0
Road Accident,78787.0
Theft of/from motor vehicles,63759.0
Theft/burglary home,49209.0
Abuse,44085.0
Shoplifting,37610.0
Threat,27783.0
Under the influence (road),25426.0
