Crime_Type,Total_Registered_Crimes
Other property crimes,88448.0
Road Accident,83072.0
"Theft of mopeds, scooters",81997.0
Destruction cq. property damage,76909.0
Theft of/from motor vehicles,48514.0
Abuse,41787.0
Theft/burglary home,39474.0
Shoplifting,39229.0
Under the influence (road),32541.0
Threat,28286.0
