"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.1.1 Diefstal/inbraak woning"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"11";"6";"4";"8";"3";"7";"1";"0";"2";"2";"1";"3"
"Weteringbuurt";"27";"19";"8";"15";"17";"18";"9";"15";"3";"3";"7";"7"
"Utrechtsebuurt-Zuid";"8";"8";"4";"8";"7";"8";"8";"5";"7";"1";"2";"2"
"Leidsebuurt-Zuidwest";"0";"0";"0";"3";"5";"2";"3";"1";"1";"0";"0";"2"
"Leidsebuurt-Zuidoost";"1";"2";"4";"1";"6";"7";"1";"4";"1";"0";"1";"3"
"Den Texbuurt";"11";"6";"7";"6";"12";"10";"3";"5";"4";"2";"3";"1"
"Frederikspleinbuurt";"6";"7";"11";"7";"6";"8";"4";"11";"9";"1";"1";"5"
"Weesperbuurt/Plantage";"67";"28";"45";"45";"39";"40";"45";"40";"19";"23";"17";"16"
"Weesperbuurt";"29";"15";"16";"17";"10";"16";"14";"15";"4";"9";"6";"5"
"Plantage";"25";"10";"11";"13";"8";"9";"14";"9";"7";"4";"6";"5"
"Sarphatistrook";"11";"2";"14";"12";"17";"11";"10";"12";"5";"9";"5";"5"
"Alexanderplein e.o.";"2";"1";"4";"3";"4";"4";"7";"4";"3";"1";"0";"1"
"Oostelijke Eilanden/Kadijken";"106";"67";"64";"60";"52";"61";"35";"35";"34";"25";"30";"28"
"Marine-Etablissement";"1";"1";"1";"1";"1";"1";"1";"3";"2";"1";"4";"5"
"Kattenburg";"12";"14";"8";"10";"4";"9";"2";"5";"2";"0";"3";"5"
"Wittenburg";"17";"14";"8";"10";"22";"9";"9";"1";"6";"4";"4";"5"
"Oostenburg";"18";"7";"6";"8";"3";"11";"6";"4";"3";"2";"4";"3"
"Czaar Peterbuurt";"8";"7";"10";"5";"6";"11";"8";"5";"6";"6";"0";"1"
"Het Funen";"21";"9";"6";"5";"5";"4";"1";"4";"2";"5";"3";"2"
"Kadijken";"21";"13";"17";"14";"5";"10";"4";"9";"6";"5";"10";"7"
"Kazernebuurt";"8";"2";"8";"7";"6";"6";"4";"4";"7";"2";"2";"0"
"Havens-West";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0"
"Afrikahaven";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Amerikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
