"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.6 Straatroof"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"19";"21";"14";"20";"18";"12";"9";"4";"2";"2";"6";"5"
"Weteringbuurt";"9";"5";"11";"6";"2";"4";"5";"3";"3";"0";"2";"6"
"Utrechtsebuurt-Zuid";"1";"2";"2";"2";"2";"1";"3";"2";"0";"0";"2";"1"
"Leidsebuurt-Zuidwest";"11";"5";"6";"9";"9";"7";"3";"2";"0";"1";"3";"2"
"Leidsebuurt-Zuidoost";"3";"10";"8";"10";"5";"8";"3";"10";"1";"2";"2";"1"
"Den Texbuurt";"8";"13";"2";"4";"3";"4";"3";"3";"0";"0";"2";"0"
"Frederikspleinbuurt";"9";"6";"10";"3";"3";"3";"3";"2";"0";"1";"5";"0"
"Weesperbuurt/Plantage";"53";"56";"28";"29";"19";"14";"14";"11";"7";"7";"4";"5"
"Weesperbuurt";"23";"23";"7";"9";"6";"6";"6";"2";"1";"0";"1";"1"
"Plantage";"14";"10";"10";"8";"2";"3";"4";"7";"2";"2";"0";"2"
"Sarphatistrook";"14";"16";"10";"11";"11";"5";"4";"0";"4";"4";"3";"1"
"Alexanderplein e.o.";"2";"7";"1";"1";"0";"0";"0";"2";"0";"1";"0";"1"
"Oostelijke Eilanden/Kadijken";"16";"26";"17";"18";"8";"5";"7";"6";"6";"7";"3";"5"
"Marine-Etablissement";"2";"1";"3";"3";"0";"0";"0";"0";"1";"1";"1";"0"
"Kattenburg";"1";"2";"1";"0";"2";"0";"1";"0";"0";"2";"0";"0"
"Wittenburg";"3";"1";"2";"2";"3";"2";"1";"0";"1";"0";"1";"1"
"Oostenburg";"1";"5";"2";"4";"1";"1";"2";"0";"0";"0";"0";"0"
"Czaar Peterbuurt";"2";"7";"1";"2";"0";"1";"1";"1";"3";"2";"0";"1"
"Het Funen";"1";"2";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0"
"Kadijken";"2";"7";"2";"4";"1";"1";"1";"2";"0";"2";"1";"1"
"Kazernebuurt";"4";"1";"5";"2";"0";"0";"0";"2";"1";"0";"0";"2"
"Havens-West";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"0";"0";"1";"0";"1";"2";"1";"2";"1";"0";"1";"1"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Minervahaven-Noordoost";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Sloterdijk-West";"0";"4";"4";"5";"2";"4";"4";"6";"2";"0";"2";"0"
"Isolatorbuurt";"0";"0";"0";"2";"2";"2";"2";"0";"0";"0";"0";"0"
"Contactbuurt";"0";"1";"0";"2";"0";"0";"1";"2";"0";"0";"1";"0"
"Woon- en Groengebied Sloterdijk";"0";"3";"4";"1";"0";"2";"1";"4";"2";"0";"1";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"13";"15";"11";"6";"9";"13";"8";"10";"11";"2";"7";"2"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Spaarndammerbuurt-Noordwest";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Midden";"0";"2";"1";"0";"1";"0";"0";"1";"2";"0";"2";"0"
"Spaarndammerbuurt-Zuidwest";"1";"2";"1";"0";"3";"1";"0";"1";"2";"0";"0";"0"
"Spaarndammerbuurt-Noordoost";"2";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0"
"Zeeheldenbuurt";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0"
"Westergasfabriek";"7";"9";"8";"5";"2";"7";"6";"6";"5";"1";"2";"2"
"Spaarndammerbuurt-Zuidoost";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0"
"Houthavens";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1"
"Houthavens-West";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"Houthavens-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"De Kolenkit";"9";"5";"7";"6";"4";"4";"10";"8";"8";"7";"7";"3"
"Kolenkitbuurt-Noord";"2";"1";"4";"2";"3";"0";"4";"6";"2";"2";"2";"0"
"Kolenkitbuurt-Zuid";"1";"1";"2";"3";"1";"1";"3";"0";"4";"1";"1";"0"
"Laan van Spartaan";"0";"0";"0";"0";"0";"1";"1";"2";"0";"1";"1";"2"
"Robert Scottbuurt-West";"6";"3";"1";"1";"0";"2";"2";"0";"2";"3";"3";"1"
"Landlust";"13";"25";"17";"15";"14";"23";"13";"12";"9";"4";"6";"7"
"Bosleeuw";"4";"11";"10";"7";"5";"7";"4";"7";"2";"1";"2";"3"
"Gibraltarbuurt";"1";"4";"1";"1";"6";"7";"1";"1";"2";"2";"0";"3"
"Bedrijventerrein Landlust";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Landlust-Noord";"1";"3";"1";"1";"0";"1";"0";"0";"1";"0";"3";"0"
"Erasmusparkbuurt-Oost";"2";"2";"1";"2";"1";"3";"4";"2";"2";"1";"1";"1"
"Landlust-Zuid";"4";"5";"4";"4";"2";"5";"4";"1";"1";"0";"0";"0"
"Erasmuspark";"12";"4";"10";"4";"7";"7";"2";"4";"1";"3";"1";"3"
"Robert Scottbuurt-Oost";"2";"1";"4";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Erasmusparkbuurt-West";"10";"3";"6";"4";"6";"7";"2";"4";"1";"3";"1";"2"
"Centrale Markt";"2";"3";"2";"0";"3";"2";"4";"5";"0";"1";"4";"1"
"Bedrijvencentrum Westerkwartier";"2";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1"
"GWL-terrein";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0"
"Markthallen";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Marcanti";"0";"1";"2";"0";"3";"2";"2";"3";"0";"0";"2";"0"
"Staatsliedenbuurt";"12";"8";"4";"13";"3";"7";"9";"14";"3";"6";"2";"6"
"Westerstaatsman";"4";"2";"1";"3";"0";"1";"2";"7";"0";"2";"0";"2"
"Fannius Scholtenbuurt";"3";"1";"0";"3";"0";"0";"1";"2";"1";"3";"0";"1"
"Staatsliedenbuurt-Noordoost";"2";"1";"0";"2";"0";"3";"2";"1";"1";"0";"2";"1"
"De Wittenbuurt-Noord";"0";"2";"1";"2";"1";"0";"1";"1";"0";"1";"0";"1"
"De Wittenbuurt-Zuid";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0"
"Buyskade e.o.";"2";"2";"2";"1";"0";"3";"3";"3";"1";"0";"0";"1"
"Frederik Hendrikbuurt";"15";"7";"13";"6";"3";"5";"2";"3";"4";"2";"3";"1"
"Frederik Hendrikbuurt-Noord";"6";"0";"6";"3";"0";"2";"2";"2";"2";"2";"0";"1"
"Frederik Hendrikbuurt-Zuidwest";"1";"3";"1";"2";"1";"1";"0";"0";"2";"0";"1";"0"
"Frederik Hendrikbuurt-Zuidoost";"8";"4";"6";"1";"2";"2";"0";"1";"0";"0";"2";"0"
"Van Galenbuurt";"11";"5";"9";"3";"5";"6";"3";"3";"4";"3";"1";"0"
"Mercatorpark";"2";"0";"0";"0";"0";"2";"1";"0";"2";"0";"0";"0"
"Orteliusbuurt-Noord";"2";"1";"0";"2";"1";"0";"1";"0";"1";"0";"0";"0"
"Jan Maijenbuurt";"4";"3";"6";"0";"3";"1";"0";"1";"0";"1";"0";"0"
"John Franklinbuurt";"3";"1";"3";"1";"1";"3";"1";"2";"1";"2";"1";"0"
"Geuzenbuurt";"10";"6";"3";"2";"8";"6";"6";"5";"2";"3";"0";"1"
"Pieter van der Doesbuurt";"3";"4";"1";"1";"2";"2";"3";"1";"1";"0";"0";"0"
"Trompbuurt";"6";"1";"2";"1";"5";"3";"2";"4";"1";"2";"0";"1"
"Geuzenhofbuurt";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0"
"Hoofdweg e.o.";"14";"21";"12";"12";"17";"14";"8";"7";"5";"6";"1";"1"
"Orteliusbuurt-Midden";"5";"5";"3";"4";"4";"6";"3";"1";"1";"1";"0";"1"
"Balboaplein e.o.";"5";"4";"5";"4";"8";"5";"3";"4";"1";"4";"0";"0"
"Orteliusbuurt-Zuid";"1";"4";"0";"3";"1";"1";"1";"2";"1";"0";"0";"0"
"Columbusplein e.o.";"3";"8";"4";"1";"4";"2";"1";"0";"2";"1";"1";"0"
"Chassébuurt";"14";"6";"5";"2";"5";"7";"10";"8";"4";"3";"1";"1"
"Filips van Almondekwartier";"2";"0";"2";"0";"1";"1";"1";"2";"0";"0";"0";"0"
"Kortenaerkwartier";"6";"2";"1";"1";"2";"1";"4";"4";"1";"1";"0";"0"
"Van Brakelkwartier";"4";"1";"2";"0";"2";"0";"4";"1";"1";"0";"0";"0"
"De Wester Quartier";"2";"3";"0";"1";"0";"5";"1";"1";"2";"2";"1";"1"
"Bellamybuurt";"9";"13";"7";"2";"1";"4";"9";"6";"3";"5";"2";"1"
"Bellamybuurt-Noord";"6";"5";"3";"0";"1";"2";"3";"3";"0";"1";"1";"0"
"Bellamybuurt-Zuid";"3";"8";"4";"2";"0";"2";"6";"3";"3";"4";"1";"1"
"Da Costabuurt";"13";"6";"8";"6";"8";"5";"9";"1";"2";"0";"2";"0"
"Da Costabuurt-Noord";"13";"6";"8";"6";"8";"5";"9";"1";"2";"0";"2";"0"
"Westindische Buurt";"5";"6";"3";"1";"1";"4";"1";"6";"1";"0";"1";"1"
"Postjeskade e.o.";"4";"2";"1";"1";"1";"2";"0";"3";"1";"0";"1";"0"
"Paramariboplein e.o.";"1";"4";"2";"0";"0";"2";"1";"3";"0";"0";"0";"1"
"Van Lennepbuurt";"9";"15";"11";"4";"5";"9";"11";"5";"5";"1";"3";"2"
"Lootsbuurt";"1";"2";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1"
"Borgerbuurt";"5";"9";"6";"2";"5";"5";"6";"4";"3";"1";"1";"1"
"Da Costabuurt-Zuid";"3";"4";"4";"1";"0";"3";"5";"1";"1";"0";"2";"0"
"Overtoomse Sluis";"6";"2";"4";"2";"1";"2";"3";"3";"1";"1";"4";"1"
"Cremerbuurt-West";"5";"1";"4";"1";"0";"2";"1";"2";"1";"1";"4";"1"
"Vondelparkbuurt-West";"1";"1";"0";"1";"1";"0";"2";"1";"0";"0";"0";"0"
"Helmersbuurt";"10";"13";"6";"7";"4";"6";"5";"7";"5";"2";"4";"3"
"Cremerbuurt-Oost";"1";"3";"2";"2";"1";"1";"0";"2";"1";"1";"1";"3"
"WG-terrein";"4";"6";"3";"2";"0";"2";"2";"1";"1";"1";"1";"0"
"Helmersbuurt-Oost";"5";"4";"1";"3";"3";"3";"3";"4";"3";"0";"2";"0"
"Vondelparkbuurt";"6";"9";"14";"9";"6";"4";"16";"16";"5";"3";"2";"3"
