Crime_Type,Total_Registered_Crimes
Other property crimes,146240.0
"Theft of mopeds, scooters",122796.0
Destruction cq. property damage,118126.0
Theft of/from motor vehicles,96121.0
Theft/burglary home,87455.0
Road Accident,87326.0
Abuse,51940.0
Shoplifting,43100.0
Pickpocketing,41980.0
"Theft/burglary companies, etc.",36276.0
