Crime_Type,Total_Registered_Crimes
"Theft of mopeds, scooters",110864.0
Other property crimes,108943.0
Destruction cq. property damage,94731.0
Road Accident,81047.0
Theft of/from motor vehicles,77412.0
Theft/burglary home,55495.0
Abuse,46248.0
Shoplifting,39095.0
Threat,30408.0
"Theft/burglary companies, etc.",26752.0
