"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.5.2 Winkeldiefstal"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"7";"2";"8";"5";"8";"1";"6";"8";"1";"2";"1";"0"
"Weteringbuurt";"4";"2";"2";"1";"3";"2";"4";"2";"0";"0";"3";"3"
"Utrechtsebuurt-Zuid";"13";"8";"4";"1";"2";"2";"3";"6";"3";"4";"6";"5"
"Leidsebuurt-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Leidsebuurt-Zuidoost";"3";"7";"6";"2";"2";"2";"4";"3";"13";"7";"6";"10"
"Den Texbuurt";"0";"2";"2";"2";"11";"11";"10";"10";"9";"6";"21";"17"
"Frederikspleinbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Weesperbuurt/Plantage";"22";"14";"11";"21";"25";"24";"42";"34";"15";"24";"13";"33"
"Weesperbuurt";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1"
"Plantage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sarphatistrook";"22";"14";"10";"20";"25";"24";"42";"34";"13";"24";"13";"32"
"Alexanderplein e.o.";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"53";"23";"34";"34";"28";"57";"54";"24";"22";"52";"27";"48"
"Marine-Etablissement";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Kattenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Wittenburg";"17";"12";"6";"4";"7";"28";"25";"8";"6";"9";"1";"1"
"Oostenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
