Crime_Type,Total_Registered_Crimes
Destruction cq. property damage,78420.0
Other property crimes,77472.0
"Theft of mopeds, scooters",76291.0
Road Accident,75133.0
Theft of/from motor vehicles,45250.0
Abuse,37582.0
Shoplifting,34343.0
Theft/burglary home,30571.0
Threat,29589.0
Under the influence (road),29285.0
