Crime_Type,Total_Registered_Crimes
"Theft of mopeds, scooters",92173.0
Other property crimes,82918.0
Road Accident,82834.0
Destruction cq. property damage,71057.0
Under the influence (road),43388.0
Theft of/from motor vehicles,43210.0
Abuse,40591.0
Shoplifting,40142.0
Threat,25350.0
Theft from/of public transport. vehicles,24431.0
