"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.5.5 Weg (overig)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"0";"0";"0";"2";"0";"1";"2";"1";"0";"2";"0";"0"
"Weteringbuurt";"1";"0";"2";"0";"0";"1";"0";"1";"2";"0";"0";"0"
"Utrechtsebuurt-Zuid";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
"Leidsebuurt-Zuidwest";"0";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Leidsebuurt-Zuidoost";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0"
"Den Texbuurt";"0";"1";"0";"0";"2";"1";"2";"0";"1";"0";"2";"2"
"Frederikspleinbuurt";"2";"0";"0";"2";"2";"2";"2";"2";"0";"0";"2";"4"
"Weesperbuurt/Plantage";"3";"0";"4";"2";"2";"3";"3";"5";"7";"8";"11";"13"
"Weesperbuurt";"1";"0";"3";"1";"1";"1";"0";"2";"3";"4";"6";"3"
"Plantage";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"1";"7"
"Sarphatistrook";"2";"0";"1";"0";"1";"1";"1";"2";"3";"3";"4";"3"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"5";"4";"2";"1";"3";"2";"2";"4";"9";"7";"9";"14"
"Marine-Etablissement";"0";"0";"1";"0";"1";"1";"0";"0";"2";"3";"4";"1"
"Kattenburg";"2";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1"
"Wittenburg";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"2";"0"
"Oostenburg";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"2";"4"
"Czaar Peterbuurt";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"5"
"Het Funen";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Kadijken";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"2"
"Kazernebuurt";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1"
"Havens-West";"11";"8";"8";"2";"4";"7";"8";"15";"12";"12";"10";"12"
"Afrikahaven";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"Amerikahaven";"3";"2";"2";"1";"0";"2";"2";"5";"4";"5";"5";"2"
"Westhaven-Noord";"1";"3";"2";"0";"1";"2";"2";"4";"1";"1";"1";"2"
"Petroleumhaven";"1";"1";"1";"0";"1";"2";"1";"2";"1";"2";"1";"1"
"Vervoerscentrum";"0";"1";"2";"0";"1";"1";"1";"0";"0";"1";"0";"0"
"Westhaven-Zuid";"5";"0";"1";"1";"1";"0";"2";"4";"6";"3";"2";"5"
"Coenhaven/Minervahaven";"3";"5";"10";"4";"1";"5";"3";"2";"5";"6";"2";"4"
"Coenhaven";"1";"0";"2";"0";"0";"2";"2";"0";"2";"1";"1";"1"
"Vlothaven";"1";"5";"8";"4";"1";"3";"1";"1";"2";"3";"1";"1"
"Minervahaven-Noordoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1"
"Sloterdijk-West";"4";"0";"2";"2";"0";"2";"0";"4";"5";"2";"2";"5"
"Isolatorbuurt";"2";"0";"2";"1";"0";"1";"0";"2";"4";"2";"1";"3"
"Contactbuurt";"2";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"2"
"Woon- en Groengebied Sloterdijk";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"8";"4";"4";"4";"3";"4";"6";"3";"5";"1";"3";"4"
"Hemknoop-Zuid";"1";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0"
"Overbraker Binnenpolder";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"Spaarndammerbuurt-Noordwest";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Spaarndammerbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Spaarndammerbuurt-Zuidwest";"1";"0";"0";"0";"0";"1";"3";"0";"2";"0";"0";"0"
"Spaarndammerbuurt-Noordoost";"1";"2";"1";"2";"1";"0";"3";"0";"1";"0";"1";"0"
"Zeeheldenbuurt";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"2"
"Westergasfabriek";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidoost";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Houthavens";"0";"1";"0";"0";"1";"0";"0";"2";"1";"2";"1";"3"
"Houthavens-West";"0";"1";"0";"0";"0";"0";"0";"2";"1";"2";"1";"3"
"Houthavens-Oost";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"De Kolenkit";"9";"6";"4";"3";"4";"6";"0";"2";"4";"5";"11";"3"
"Kolenkitbuurt-Noord";"3";"3";"2";"1";"1";"3";"0";"2";"2";"2";"3";"1"
"Kolenkitbuurt-Zuid";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1"
"Laan van Spartaan";"0";"0";"0";"0";"1";"2";"0";"0";"2";"1";"3";"0"
"Robert Scottbuurt-West";"6";"3";"2";"2";"1";"1";"0";"0";"0";"1";"5";"1"
"Landlust";"11";"18";"14";"6";"7";"12";"11";"12";"9";"8";"11";"10"
"Bosleeuw";"7";"10";"8";"3";"2";"8";"8";"4";"5";"5";"8";"4"
"Gibraltarbuurt";"2";"2";"1";"1";"2";"0";"1";"0";"0";"1";"1";"1"
"Bedrijventerrein Landlust";"1";"3";"1";"1";"1";"1";"1";"2";"1";"1";"0";"1"
"Landlust-Noord";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Erasmusparkbuurt-Oost";"0";"0";"1";"1";"0";"0";"0";"3";"1";"1";"2";"4"
"Landlust-Zuid";"1";"3";"3";"0";"2";"3";"1";"2";"2";"0";"0";"0"
"Erasmuspark";"7";"7";"9";"4";"6";"6";"2";"4";"7";"6";"10";"2"
"Robert Scottbuurt-Oost";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1"
"Erasmusparkbuurt-West";"7";"6";"8";"4";"6";"5";"1";"4";"6";"6";"9";"1"
"Centrale Markt";"2";"0";"4";"1";"0";"0";"1";"1";"2";"2";"3";"2"
"Bedrijvencentrum Westerkwartier";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"2"
"GWL-terrein";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Markthallen";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0"
"Marcanti";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Staatsliedenbuurt";"1";"2";"2";"1";"4";"5";"2";"0";"1";"5";"3";"4"
"Westerstaatsman";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1"
"Fannius Scholtenbuurt";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Staatsliedenbuurt-Noordoost";"0";"0";"0";"0";"1";"2";"1";"0";"0";"2";"0";"1"
"De Wittenbuurt-Noord";"0";"1";"0";"0";"1";"2";"0";"0";"1";"0";"1";"0"
"De Wittenbuurt-Zuid";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Buyskade e.o.";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"2";"1"
"Frederik Hendrikbuurt";"0";"0";"3";"3";"3";"1";"3";"2";"5";"5";"2";"6"
"Frederik Hendrikbuurt-Noord";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1"
"Frederik Hendrikbuurt-Zuidwest";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Frederik Hendrikbuurt-Zuidoost";"0";"0";"1";"2";"2";"1";"2";"0";"4";"3";"2";"5"
"Van Galenbuurt";"5";"1";"2";"1";"4";"5";"5";"2";"4";"4";"9";"3"
"Mercatorpark";"1";"0";"0";"1";"1";"3";"3";"0";"2";"3";"3";"0"
"Orteliusbuurt-Noord";"2";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"0"
"Jan Maijenbuurt";"1";"0";"2";"0";"2";"0";"2";"1";"0";"1";"0";"2"
"John Franklinbuurt";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"5";"1"
"Geuzenbuurt";"0";"1";"1";"2";"1";"4";"0";"1";"0";"0";"0";"0"
"Pieter van der Doesbuurt";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0"
"Trompbuurt";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0"
"Geuzenhofbuurt";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Hoofdweg e.o.";"4";"6";"11";"2";"7";"6";"5";"4";"3";"5";"12";"7"
"Orteliusbuurt-Midden";"1";"4";"4";"1";"3";"2";"2";"2";"1";"3";"5";"3"
"Balboaplein e.o.";"1";"0";"4";"1";"2";"2";"1";"0";"2";"1";"3";"2"
"Orteliusbuurt-Zuid";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
"Columbusplein e.o.";"2";"2";"3";"0";"1";"1";"2";"2";"0";"1";"3";"2"
"Chassébuurt";"1";"1";"0";"1";"0";"1";"1";"2";"2";"1";"3";"2"
"Filips van Almondekwartier";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"Kortenaerkwartier";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1"
"Van Brakelkwartier";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"De Wester Quartier";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"0"
"Bellamybuurt";"3";"0";"3";"4";"3";"2";"0";"0";"3";"1";"3";"0"
"Bellamybuurt-Noord";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"3";"0"
"Bellamybuurt-Zuid";"3";"0";"3";"3";"2";"0";"0";"0";"3";"1";"0";"0"
"Da Costabuurt";"1";"3";"5";"7";"4";"1";"1";"4";"6";"1";"5";"4"
"Da Costabuurt-Noord";"1";"3";"5";"7";"4";"1";"1";"4";"6";"1";"5";"4"
"Westindische Buurt";"2";"4";"5";"6";"5";"6";"1";"5";"2";"3";"3";"3"
"Postjeskade e.o.";"1";"2";"4";"5";"4";"4";"1";"3";"0";"2";"1";"2"
"Paramariboplein e.o.";"1";"2";"1";"1";"1";"2";"0";"2";"2";"1";"2";"1"
"Van Lennepbuurt";"4";"4";"1";"3";"1";"3";"2";"5";"2";"2";"2";"1"
"Lootsbuurt";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Borgerbuurt";"2";"2";"1";"3";"1";"1";"1";"4";"0";"0";"0";"1"
"Da Costabuurt-Zuid";"2";"2";"0";"0";"0";"1";"0";"1";"2";"2";"2";"0"
"Overtoomse Sluis";"1";"1";"1";"2";"3";"1";"1";"1";"0";"0";"1";"1"
"Cremerbuurt-West";"1";"0";"1";"0";"2";"0";"1";"1";"0";"0";"1";"1"
"Vondelparkbuurt-West";"0";"1";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0"
"Helmersbuurt";"4";"3";"8";"2";"4";"4";"6";"3";"5";"6";"7";"6"
