"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.9.3 Fraude (overig)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"17";"5";"20";"19";"6";"2";"1";"2";"0";"2";"0";"1"
"Weteringbuurt";"11";"4";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Utrechtsebuurt-Zuid";"0";"1";"6";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidwest";"1";"6";"10";"4";"3";"0";"2";"4";"0";"0";"0";"3"
"Leidsebuurt-Zuidoost";"12";"18";"17";"11";"2";"0";"1";"0";"1";"0";"0";"0"
"Den Texbuurt";"3";"5";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Frederikspleinbuurt";"4";"4";"6";"3";"0";"1";"0";"0";"0";"0";"0";"0"
"Weesperbuurt/Plantage";"36";"17";"14";"11";"0";"0";"0";"0";"0";"0";"0";"0"
"Weesperbuurt";"12";"4";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Plantage";"8";"5";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Sarphatistrook";"14";"8";"7";"7";"0";"0";"0";"0";"0";"0";"0";"0"
"Alexanderplein e.o.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"32";"24";"20";"17";"1";"0";"2";"0";"0";"1";"0";"0"
"Marine-Etablissement";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Kattenburg";"4";"2";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Wittenburg";"6";"4";"5";"3";"0";"0";"1";"0";"0";"0";"0";"0"
"Oostenburg";"4";"6";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Czaar Peterbuurt";"2";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Het Funen";"3";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Kadijken";"10";"6";"4";"6";"0";"0";"1";"0";"0";"0";"0";"0"
"Kazernebuurt";"3";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Havens-West";"6";"10";"7";"3";"1";"0";"0";"0";"0";"1";"0";"0"
"Afrikahaven";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"0";"6";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Noord";"3";"3";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0"
