"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.5.1 Diefstal/inbraak bedrijven enz."
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"19";"30";"39";"22";"13";"11";"9";"14";"8";"3";"4";"5"
"Weteringbuurt";"19";"20";"23";"27";"16";"8";"8";"18";"13";"6";"1";"2"
"Utrechtsebuurt-Zuid";"9";"7";"8";"9";"3";"4";"7";"9";"4";"5";"6";"4"
"Leidsebuurt-Zuidwest";"11";"22";"19";"21";"9";"8";"3";"12";"3";"2";"4";"1"
"Leidsebuurt-Zuidoost";"6";"10";"8";"1";"6";"2";"3";"8";"4";"0";"1";"3"
"Den Texbuurt";"10";"14";"19";"11";"9";"6";"7";"4";"3";"1";"7";"7"
"Frederikspleinbuurt";"8";"16";"11";"11";"15";"8";"17";"10";"2";"2";"4";"4"
"Weesperbuurt/Plantage";"58";"47";"49";"68";"49";"66";"63";"57";"46";"25";"32";"34"
"Weesperbuurt";"26";"15";"14";"25";"23";"27";"25";"15";"17";"8";"14";"11"
"Plantage";"14";"9";"14";"17";"12";"22";"13";"22";"7";"8";"5";"10"
"Sarphatistrook";"16";"20";"21";"26";"12";"13";"25";"20";"21";"9";"13";"13"
"Alexanderplein e.o.";"2";"3";"0";"0";"2";"4";"0";"0";"1";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"54";"37";"31";"46";"40";"45";"26";"51";"34";"25";"20";"16"
"Marine-Etablissement";"4";"1";"2";"1";"3";"4";"2";"6";"5";"4";"6";"8"
"Kattenburg";"1";"3";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0"
"Wittenburg";"3";"3";"0";"2";"1";"2";"1";"1";"4";"1";"0";"2"
"Oostenburg";"1";"3";"11";"5";"4";"10";"7";"17";"2";"3";"7";"2"
"Czaar Peterbuurt";"19";"11";"11";"25";"12";"8";"4";"10";"8";"9";"2";"0"
"Het Funen";"10";"4";"2";"5";"3";"2";"5";"4";"2";"0";"0";"0"
"Kadijken";"13";"11";"2";"6";"11";"5";"4";"8";"10";"4";"3";"3"
"Kazernebuurt";"3";"1";"2";"2";"6";"12";"3";"5";"3";"3";"2";"1"
