Crime_Type,Total_Registered_Crimes
Road Accident,76068.0
Destruction cq. property damage,72041.0
"Theft of mopeds, scooters",71439.0
Other property crimes,68667.0
Theft of/from motor vehicles,38642.0
Abuse,35759.0
Under the influence (road),31584.0
Shoplifting,30714.0
Threat,26994.0
Theft/burglary home,23525.0
