Crime_Type,Total_Registered_Crimes
Other property crimes,151644.0
Destruction cq. property damage,134122.0
"Theft of mopeds, scooters",123742.0
Theft of/from motor vehicles,99450.0
Theft/burglary home,91595.0
Road Accident,88006.0
Abuse,56458.0
Shoplifting,42342.0
Under the influence (road),40275.0
Threat,38186.0
