"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.7.1 Discriminatie"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Weteringbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Utrechtsebuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidwest";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidoost";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0"
"Den Texbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Frederikspleinbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Weesperbuurt/Plantage";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"2"
"Weesperbuurt";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Plantage";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sarphatistrook";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Marine-Etablissement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kattenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Wittenburg";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Oostenburg";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Czaar Peterbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Het Funen";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Kadijken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kazernebuurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Havens-West";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
