Crime_Type,Total_Registered_Crimes
Other property crimes,133377.0
"Theft of mopeds, scooters",127392.0
Destruction cq. property damage,110271.0
Theft of/from motor vehicles,84717.0
Road Accident,82362.0
Theft/burglary home,71143.0
Abuse,49756.0
Shoplifting,41840.0
Threat,34507.0
Pickpocketing,33327.0
