"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.1.3 Wapenhandel"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"3";"5";"4";"4";"1";"3";"6";"9";"2";"0";"1";"3"
"Weteringbuurt";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Utrechtsebuurt-Zuid";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1"
"Leidsebuurt-Zuidwest";"0";"5";"12";"6";"2";"1";"0";"2";"0";"2";"2";"6"
"Leidsebuurt-Zuidoost";"13";"8";"1";"2";"1";"0";"0";"1";"1";"0";"1";"1"
"Den Texbuurt";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"Frederikspleinbuurt";"1";"1";"2";"2";"0";"1";"2";"1";"1";"1";"2";"0"
"Weesperbuurt/Plantage";"4";"2";"3";"1";"0";"0";"3";"4";"1";"3";"2";"2"
"Weesperbuurt";"2";"1";"2";"1";"0";"0";"2";"2";"0";"1";"1";"0"
"Plantage";"2";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0"
"Sarphatistrook";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Oostelijke Eilanden/Kadijken";"4";"2";"2";"2";"2";"3";"2";"4";"7";"13";"7";"2"
"Marine-Etablissement";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"Kattenburg";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"2";"0"
"Wittenburg";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"1"
"Oostenburg";"0";"0";"1";"1";"1";"1";"0";"1";"0";"2";"1";"0"
"Czaar Peterbuurt";"1";"1";"0";"1";"0";"0";"1";"2";"3";"3";"0";"0"
"Het Funen";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Kadijken";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0"
"Kazernebuurt";"1";"1";"0";"0";"0";"0";"1";"0";"0";"3";"2";"0"
"Havens-West";"337";"62";"33";"74";"166";"107";"34";"13";"2";"4";"2";"0"
"Afrikahaven";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"0";"0";"2";"0";"0";"0";"0";"1";"1";"2";"2";"0"
"Westhaven-Noord";"5";"0";"0";"0";"2";"0";"0";"4";"1";"2";"0";"0"
"Petroleumhaven";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"331";"60";"30";"74";"163";"107";"34";"7";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"2";"0";"1";"0";"4";"0";"1";"1";"1";"1";"0";"2"
"Coenhaven";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Sloterdijk-West";"3";"3";"2";"4";"5";"3";"4";"8";"5";"9";"6";"1"
"Isolatorbuurt";"1";"2";"1";"1";"2";"0";"2";"1";"1";"1";"1";"1"
"Contactbuurt";"2";"1";"1";"3";"3";"1";"2";"6";"3";"7";"5";"0"
"Woon- en Groengebied Sloterdijk";"0";"0";"0";"0";"0";"2";"0";"1";"1";"1";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"2";"2";"4";"3";"3";"6";"6";"2";"4";"8";"7";"5"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1"
"Spaarndammerbuurt-Midden";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1"
"Spaarndammerbuurt-Zuidwest";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Spaarndammerbuurt-Noordoost";"0";"0";"0";"1";"0";"1";"0";"0";"1";"3";"0";"1"
"Zeeheldenbuurt";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"2";"0"
"Westergasfabriek";"0";"1";"0";"0";"2";"3";"4";"0";"1";"2";"2";"2"
"Spaarndammerbuurt-Zuidoost";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Houthavens";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"1"
"Houthavens-West";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1"
"Houthavens-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"De Kolenkit";"3";"4";"5";"5";"6";"4";"1";"1";"3";"1";"2";"0"
"Kolenkitbuurt-Noord";"1";"2";"2";"2";"3";"3";"0";"1";"2";"1";"0";"0"
"Kolenkitbuurt-Zuid";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Laan van Spartaan";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Robert Scottbuurt-West";"2";"1";"1";"1";"2";"1";"1";"0";"1";"0";"1";"0"
"Landlust";"5";"7";"10";"8";"4";"3";"10";"3";"7";"7";"5";"4"
"Bosleeuw";"3";"2";"2";"3";"1";"2";"3";"0";"2";"3";"3";"0"
