"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.6.4 Aantasting openbare orde"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Leidsebuurt-Noordoost";"22";"19";"15";"10";"17";"26";"33";"25";"14";"6";"18";"21"
"Weteringbuurt";"2";"2";"0";"0";"0";"0";"0";"1";"1";"3";"1";"1"
"Utrechtsebuurt-Zuid";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidwest";"2";"8";"3";"2";"4";"7";"3";"13";"4";"2";"11";"8"
"Leidsebuurt-Zuidoost";"4";"4";"1";"1";"0";"9";"15";"12";"3";"2";"2";"2"
"Den Texbuurt";"0";"0";"1";"0";"2";"0";"0";"0";"2";"25";"2";"0"
"Frederikspleinbuurt";"2";"0";"1";"0";"1";"1";"1";"1";"2";"0";"1";"0"
"Weesperbuurt/Plantage";"9";"3";"3";"4";"2";"9";"10";"6";"3";"5";"6";"2"
"Weesperbuurt";"5";"1";"1";"1";"0";"3";"8";"5";"0";"0";"2";"2"
"Plantage";"1";"0";"0";"0";"2";"0";"0";"0";"1";"1";"2";"0"
"Sarphatistrook";"3";"2";"2";"3";"0";"6";"2";"0";"1";"4";"2";"0"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"5";"5";"1";"3";"1";"3";"8";"2";"4";"7";"7";"9"
"Marine-Etablissement";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"Kattenburg";"1";"1";"0";"0";"0";"0";"0";"1";"2";"1";"1";"2"
"Wittenburg";"0";"1";"0";"1";"0";"2";"5";"0";"1";"0";"1";"1"
"Oostenburg";"0";"0";"1";"0";"0";"1";"2";"0";"0";"1";"2";"1"
"Czaar Peterbuurt";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"1";"0"
"Het Funen";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Kadijken";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3"
"Kazernebuurt";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2"
"Havens-West";"0";"4";"1";"2";"1";"1";"1";"3";"2";"0";"12";"8"
"Afrikahaven";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"2"
"Amerikahaven";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"6";"2"
"Westhaven-Noord";"0";"1";"1";"2";"1";"0";"0";"1";"2";"0";"2";"4"
"Petroleumhaven";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Coenhaven/Minervahaven";"0";"0";"0";"2";"0";"0";"2";"2";"0";"1";"1";"0"
"Coenhaven";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"Sloterdijk-West";"2";"0";"0";"0";"0";"4";"1";"5";"2";"0";"2";"7"
"Isolatorbuurt";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"6"
"Contactbuurt";"1";"0";"0";"0";"0";"2";"1";"2";"1";"0";"1";"0"
"Woon- en Groengebied Sloterdijk";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1"
"Spaarndammerbuurt/Zeeheldenbuurt";"8";"6";"7";"4";"4";"4";"4";"3";"6";"17";"6";"10"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Overbraker Binnenpolder";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Spaarndammerbuurt-Noordwest";"0";"1";"1";"1";"1";"0";"0";"0";"1";"2";"0";"1"
"Spaarndammerbuurt-Midden";"0";"1";"1";"0";"0";"0";"1";"0";"2";"2";"0";"2"
"Spaarndammerbuurt-Zuidwest";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1"
"Spaarndammerbuurt-Noordoost";"2";"1";"1";"0";"1";"2";"0";"1";"1";"1";"2";"4"
"Zeeheldenbuurt";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0"
"Westergasfabriek";"4";"3";"1";"1";"2";"2";"3";"2";"0";"4";"4";"1"
"Spaarndammerbuurt-Zuidoost";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Houthavens";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Houthavens-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Houthavens-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"De Kolenkit";"3";"7";"2";"3";"4";"3";"3";"4";"6";"4";"4";"2"
"Kolenkitbuurt-Noord";"2";"2";"0";"2";"0";"1";"1";"1";"3";"1";"1";"0"
"Kolenkitbuurt-Zuid";"0";"1";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0"
"Laan van Spartaan";"0";"1";"1";"1";"0";"0";"0";"0";"2";"0";"1";"2"
"Robert Scottbuurt-West";"1";"3";"1";"0";"3";"0";"2";"2";"1";"3";"2";"0"
"Landlust";"11";"7";"10";"9";"8";"2";"4";"2";"8";"8";"8";"8"
"Bosleeuw";"6";"4";"4";"5";"7";"0";"2";"2";"7";"1";"3";"4"
"Gibraltarbuurt";"1";"0";"2";"0";"0";"1";"0";"0";"1";"1";"1";"0"
"Bedrijventerrein Landlust";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Landlust-Noord";"1";"0";"1";"1";"0";"1";"0";"0";"0";"2";"1";"1"
"Erasmusparkbuurt-Oost";"2";"1";"2";"0";"1";"0";"1";"0";"0";"3";"0";"1"
"Landlust-Zuid";"0";"2";"1";"3";"0";"0";"0";"0";"0";"1";"2";"2"
"Erasmuspark";"3";"2";"3";"1";"2";"1";"1";"4";"3";"1";"1";"2"
"Robert Scottbuurt-Oost";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0"
"Erasmusparkbuurt-West";"3";"2";"3";"1";"1";"1";"0";"3";"3";"1";"1";"2"
"Centrale Markt";"2";"0";"1";"2";"0";"2";"0";"2";"0";"0";"3";"0"
"Bedrijvencentrum Westerkwartier";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"GWL-terrein";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0"
"Markthallen";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
"Marcanti";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Staatsliedenbuurt";"4";"8";"3";"3";"1";"3";"1";"3";"5";"3";"5";"6"
"Westerstaatsman";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1"
"Fannius Scholtenbuurt";"0";"3";"1";"2";"0";"1";"1";"0";"2";"1";"2";"1"
"Staatsliedenbuurt-Noordoost";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0"
"De Wittenbuurt-Noord";"1";"2";"0";"0";"1";"1";"0";"1";"1";"1";"0";"1"
"De Wittenbuurt-Zuid";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Buyskade e.o.";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"2";"3"
"Frederik Hendrikbuurt";"1";"4";"3";"0";"1";"0";"4";"2";"0";"1";"1";"2"
"Frederik Hendrikbuurt-Noord";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Frederik Hendrikbuurt-Zuidwest";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Frederik Hendrikbuurt-Zuidoost";"0";"2";"1";"0";"1";"0";"3";"2";"0";"1";"1";"0"
"Van Galenbuurt";"3";"3";"3";"1";"3";"6";"1";"0";"0";"1";"11";"2"
"Mercatorpark";"1";"0";"1";"0";"2";"2";"0";"0";"0";"0";"2";"0"
"Orteliusbuurt-Noord";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Jan Maijenbuurt";"2";"1";"1";"0";"0";"2";"0";"0";"0";"0";"2";"2"
"John Franklinbuurt";"0";"2";"1";"1";"0";"2";"1";"0";"0";"1";"6";"0"
"Geuzenbuurt";"2";"3";"2";"2";"0";"1";"0";"1";"2";"4";"2";"0"
"Pieter van der Doesbuurt";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0"
"Trompbuurt";"1";"2";"2";"1";"0";"0";"0";"0";"2";"3";"1";"0"
"Geuzenhofbuurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
