Crime_Type,Total_Registered_Crimes
"Theft of mopeds, scooters",123438.0
Other property crimes,118278.0
Destruction cq. property damage,102046.0
Theft of/from motor vehicles,82098.0
Road Accident,80796.0
Theft/burglary home,64676.0
Abuse,47471.0
Shoplifting,40239.0
Threat,31820.0
"Theft/burglary companies, etc.",29390.0
