"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.2 Diefstal van motorvoertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Leidsebuurt-Noordoost";"1";"1";"2";"0";"0";"0";"0";"2";"0";"0";"1";"1"
"Weteringbuurt";"3";"1";"5";"3";"2";"0";"3";"2";"2";"1";"0";"2"
"Utrechtsebuurt-Zuid";"1";"2";"2";"0";"1";"1";"0";"2";"1";"1";"2";"0"
"Leidsebuurt-Zuidwest";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Leidsebuurt-Zuidoost";"3";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0"
"Den Texbuurt";"3";"3";"6";"2";"4";"4";"3";"3";"3";"2";"1";"1"
"Frederikspleinbuurt";"1";"2";"4";"4";"3";"5";"3";"3";"2";"3";"1";"1"
"Weesperbuurt/Plantage";"6";"12";"17";"8";"8";"6";"5";"14";"5";"10";"2";"6"
"Weesperbuurt";"2";"7";"4";"4";"3";"2";"2";"3";"1";"4";"0";"1"
"Plantage";"1";"3";"6";"1";"4";"2";"2";"4";"1";"2";"1";"2"
"Sarphatistrook";"1";"2";"6";"3";"0";"0";"1";"5";"3";"4";"1";"3"
"Alexanderplein e.o.";"2";"0";"1";"0";"1";"2";"0";"2";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"20";"16";"23";"8";"15";"5";"7";"24";"13";"7";"8";"20"
"Marine-Etablissement";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"3"
"Kattenburg";"1";"0";"0";"0";"1";"0";"1";"3";"2";"2";"0";"0"
"Wittenburg";"5";"3";"3";"3";"2";"1";"0";"5";"2";"1";"0";"3"
"Oostenburg";"4";"1";"0";"3";"0";"0";"2";"3";"3";"1";"1";"4"
"Czaar Peterbuurt";"4";"3";"7";"1";"5";"1";"3";"4";"3";"1";"1";"3"
"Het Funen";"2";"1";"0";"1";"4";"1";"0";"3";"1";"0";"2";"2"
"Kadijken";"3";"5";"10";"0";"2";"1";"1";"4";"2";"2";"3";"3"
"Kazernebuurt";"1";"3";"3";"0";"0";"0";"0";"1";"0";"0";"1";"2"
"Havens-West";"7";"5";"10";"5";"4";"3";"2";"5";"3";"4";"1";"6"
"Afrikahaven";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Amerikahaven";"1";"2";"5";"1";"1";"0";"0";"2";"0";"1";"0";"1"
"Westhaven-Noord";"2";"1";"3";"1";"0";"1";"0";"0";"1";"2";"0";"1"
"Petroleumhaven";"2";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"1";"0";"1";"3";"1";"1";"2";"0";"1";"0";"1";"2"
"Westhaven-Zuid";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"2"
"Coenhaven/Minervahaven";"4";"3";"3";"1";"0";"1";"8";"2";"0";"1";"1";"2"
"Coenhaven";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Minervahaven-Noordwest";"3";"2";"1";"0";"0";"1";"3";"1";"0";"0";"0";"1"
"Minervahaven-Zuidwest";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1"
"Hemknoop-Noord";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Sloterdijk-West";"4";"4";"3";"0";"6";"10";"6";"10";"9";"4";"7";"6"
"Isolatorbuurt";"2";"1";"2";"0";"2";"4";"6";"10";"8";"3";"6";"3"
"Contactbuurt";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"Woon- en Groengebied Sloterdijk";"1";"3";"0";"0";"3";"5";"0";"0";"1";"0";"1";"3"
"Spaarndammerbuurt/Zeeheldenbuurt";"13";"18";"28";"13";"11";"7";"12";"17";"16";"23";"12";"7"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"Overbraker Binnenpolder";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"3";"3";"6";"2";"3";"0";"3";"4";"2";"2";"2";"1"
"Spaarndammerbuurt-Midden";"2";"0";"1";"1";"1";"2";"2";"1";"5";"3";"1";"0"
"Spaarndammerbuurt-Zuidwest";"1";"2";"2";"3";"1";"0";"0";"4";"1";"5";"2";"2"
"Spaarndammerbuurt-Noordoost";"1";"4";"5";"3";"2";"1";"2";"2";"4";"5";"2";"0"
"Zeeheldenbuurt";"3";"4";"7";"2";"3";"4";"3";"4";"3";"7";"4";"4"
"Westergasfabriek";"1";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidoost";"1";"5";"4";"2";"1";"0";"1";"1";"1";"0";"0";"0"
"Houthavens";"2";"2";"0";"1";"2";"3";"0";"2";"6";"9";"8";"4"
"Houthavens-West";"1";"1";"0";"0";"1";"2";"0";"2";"6";"9";"8";"4"
"Houthavens-Oost";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"De Kolenkit";"23";"16";"10";"21";"9";"31";"23";"31";"24";"23";"19";"16"
"Kolenkitbuurt-Noord";"10";"7";"3";"11";"6";"14";"8";"18";"8";"14";"5";"9"
"Kolenkitbuurt-Zuid";"6";"2";"4";"7";"1";"4";"7";"5";"6";"0";"3";"1"
"Laan van Spartaan";"3";"4";"2";"1";"2";"6";"3";"4";"8";"7";"7";"2"
"Robert Scottbuurt-West";"4";"3";"1";"2";"0";"7";"5";"4";"2";"2";"4";"4"
"Landlust";"55";"50";"36";"49";"46";"50";"38";"33";"22";"27";"20";"20"
"Bosleeuw";"21";"17";"23";"22";"19";"32";"15";"12";"8";"12";"6";"9"
"Gibraltarbuurt";"15";"12";"3";"11";"12";"8";"8";"6";"3";"6";"5";"3"
"Bedrijventerrein Landlust";"1";"1";"0";"1";"0";"3";"1";"4";"0";"1";"1";"1"
"Landlust-Noord";"4";"0";"0";"5";"3";"2";"1";"3";"2";"2";"1";"2"
"Erasmusparkbuurt-Oost";"11";"7";"7";"3";"4";"2";"6";"4";"2";"3";"2";"1"
"Landlust-Zuid";"3";"13";"3";"7";"8";"3";"7";"4";"7";"3";"5";"4"
"Erasmuspark";"16";"10";"14";"10";"5";"9";"7";"12";"4";"6";"4";"9"
"Robert Scottbuurt-Oost";"2";"2";"3";"2";"3";"3";"5";"2";"1";"3";"0";"4"
"Erasmusparkbuurt-West";"14";"8";"11";"8";"2";"6";"2";"10";"3";"3";"4";"5"
"Centrale Markt";"4";"6";"7";"7";"1";"8";"5";"7";"2";"3";"2";"4"
"Bedrijvencentrum Westerkwartier";"0";"1";"0";"3";"1";"4";"3";"1";"0";"0";"1";"2"
"GWL-terrein";"1";"4";"4";"1";"0";"1";"2";"3";"0";"1";"0";"1"
"Markthallen";"1";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Marcanti";"2";"1";"1";"3";"0";"1";"0";"3";"2";"2";"1";"1"
"Staatsliedenbuurt";"17";"11";"18";"15";"28";"15";"18";"19";"21";"12";"10";"8"
"Westerstaatsman";"3";"3";"4";"3";"5";"4";"2";"5";"5";"2";"2";"1"
"Fannius Scholtenbuurt";"4";"1";"5";"5";"5";"1";"2";"4";"6";"1";"2";"0"
"Staatsliedenbuurt-Noordoost";"3";"2";"1";"0";"1";"3";"0";"1";"2";"2";"3";"0"
"De Wittenbuurt-Noord";"4";"1";"2";"4";"1";"3";"3";"1";"1";"2";"1";"2"
"De Wittenbuurt-Zuid";"0";"0";"1";"1";"5";"1";"1";"2";"1";"1";"0";"2"
