"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.4.4 Bedreiging";"2012";"Nederland";38188;32644
"1.4.4 Bedreiging";"2013";"Nederland";36275;31623
"1.4.4 Bedreiging";"2014";"Nederland";34508;30707
"1.4.4 Bedreiging";"2015";"Nederland";31820;28592
"1.4.4 Bedreiging";"2016";"Nederland";30408;26989
"1.4.4 Bedreiging";"2017";"Nederland";27783;24683
"1.4.4 Bedreiging";"2018";"Nederland";26788;23058
"1.4.4 Bedreiging";"2019";"Nederland";28286;23170
"1.4.4 Bedreiging";"2020";"Nederland";29590;24229
"1.4.4 Bedreiging";"2021";"Nederland";26994;22663
"1.4.4 Bedreiging";"2022";"Nederland";25350;20966
"1.4.4 Bedreiging";"2023";"Nederland";23361;19301
"1.4.4 Bedreiging";"2012";"Aa en Hunze";34;24
"1.4.4 Bedreiging";"2013";"Aa en Hunze";23;18
"1.4.4 Bedreiging";"2014";"Aa en Hunze";27;27
"1.4.4 Bedreiging";"2015";"Aa en Hunze";16;13
"1.4.4 Bedreiging";"2016";"Aa en Hunze";20;17
"1.4.4 Bedreiging";"2017";"Aa en Hunze";21;18
"1.4.4 Bedreiging";"2018";"Aa en Hunze";22;18
"1.4.4 Bedreiging";"2019";"Aa en Hunze";25;23
"1.4.4 Bedreiging";"2020";"Aa en Hunze";17;13
"1.4.4 Bedreiging";"2021";"Aa en Hunze";18;18
"1.4.4 Bedreiging";"2022";"Aa en Hunze";17;15
"1.4.4 Bedreiging";"2023";"Aa en Hunze";20;16
"1.4.4 Bedreiging";"2012";"Aalsmeer";32;30
"1.4.4 Bedreiging";"2013";"Aalsmeer";54;51
"1.4.4 Bedreiging";"2014";"Aalsmeer";57;52
"1.4.4 Bedreiging";"2015";"Aalsmeer";50;47
"1.4.4 Bedreiging";"2016";"Aalsmeer";48;38
"1.4.4 Bedreiging";"2017";"Aalsmeer";40;36
"1.4.4 Bedreiging";"2018";"Aalsmeer";43;40
"1.4.4 Bedreiging";"2019";"Aalsmeer";38;32
"1.4.4 Bedreiging";"2020";"Aalsmeer";50;35
"1.4.4 Bedreiging";"2021";"Aalsmeer";38;29
"1.4.4 Bedreiging";"2022";"Aalsmeer";34;23
"1.4.4 Bedreiging";"2023";"Aalsmeer";23;11
"1.4.4 Bedreiging";"2012";"Aalten";21;18
"1.4.4 Bedreiging";"2013";"Aalten";15;10
"1.4.4 Bedreiging";"2014";"Aalten";17;17
"1.4.4 Bedreiging";"2015";"Aalten";7;6
"1.4.4 Bedreiging";"2016";"Aalten";37;32
"1.4.4 Bedreiging";"2017";"Aalten";15;13
"1.4.4 Bedreiging";"2018";"Aalten";14;11
"1.4.4 Bedreiging";"2019";"Aalten";15;13
"1.4.4 Bedreiging";"2020";"Aalten";14;10
"1.4.4 Bedreiging";"2021";"Aalten";13;10
"1.4.4 Bedreiging";"2022";"Aalten";16;15
"1.4.4 Bedreiging";"2023";"Aalten";22;19
"1.4.4 Bedreiging";"2012";"Achtkarspelen";28;24
"1.4.4 Bedreiging";"2013";"Achtkarspelen";35;31
"1.4.4 Bedreiging";"2014";"Achtkarspelen";47;46
"1.4.4 Bedreiging";"2015";"Achtkarspelen";31;27
"1.4.4 Bedreiging";"2016";"Achtkarspelen";31;27
"1.4.4 Bedreiging";"2017";"Achtkarspelen";29;28
"1.4.4 Bedreiging";"2018";"Achtkarspelen";37;33
"1.4.4 Bedreiging";"2019";"Achtkarspelen";25;24
"1.4.4 Bedreiging";"2020";"Achtkarspelen";39;31
"1.4.4 Bedreiging";"2021";"Achtkarspelen";30;26
"1.4.4 Bedreiging";"2022";"Achtkarspelen";18;17
"1.4.4 Bedreiging";"2023";"Achtkarspelen";26;23
"1.4.4 Bedreiging";"2012";"Alblasserdam";35;20
"1.4.4 Bedreiging";"2013";"Alblasserdam";30;22
"1.4.4 Bedreiging";"2014";"Alblasserdam";17;12
"1.4.4 Bedreiging";"2015";"Alblasserdam";19;15
"1.4.4 Bedreiging";"2016";"Alblasserdam";31;25
"1.4.4 Bedreiging";"2017";"Alblasserdam";15;13
"1.4.4 Bedreiging";"2018";"Alblasserdam";12;10
"1.4.4 Bedreiging";"2019";"Alblasserdam";13;6
"1.4.4 Bedreiging";"2020";"Alblasserdam";17;15
"1.4.4 Bedreiging";"2021";"Alblasserdam";21;18
"1.4.4 Bedreiging";"2022";"Alblasserdam";11;10
"1.4.4 Bedreiging";"2023";"Alblasserdam";7;8
"1.4.4 Bedreiging";"2012";"Albrandswaard";36;31
"1.4.4 Bedreiging";"2013";"Albrandswaard";44;41
"1.4.4 Bedreiging";"2014";"Albrandswaard";52;44
"1.4.4 Bedreiging";"2015";"Albrandswaard";43;36
"1.4.4 Bedreiging";"2016";"Albrandswaard";49;45
"1.4.4 Bedreiging";"2017";"Albrandswaard";66;64
"1.4.4 Bedreiging";"2018";"Albrandswaard";67;57
"1.4.4 Bedreiging";"2019";"Albrandswaard";55;48
"1.4.4 Bedreiging";"2020";"Albrandswaard";58;50
"1.4.4 Bedreiging";"2021";"Albrandswaard";42;39
"1.4.4 Bedreiging";"2022";"Albrandswaard";69;63
"1.4.4 Bedreiging";"2023";"Albrandswaard";71;58
"1.4.4 Bedreiging";"2012";"Alkmaar";287;262
"1.4.4 Bedreiging";"2013";"Alkmaar";280;256
"1.4.4 Bedreiging";"2014";"Alkmaar";288;270
"1.4.4 Bedreiging";"2015";"Alkmaar";219;202
"1.4.4 Bedreiging";"2016";"Alkmaar";218;203
"1.4.4 Bedreiging";"2017";"Alkmaar";183;172
"1.4.4 Bedreiging";"2018";"Alkmaar";166;149
"1.4.4 Bedreiging";"2019";"Alkmaar";161;151
"1.4.4 Bedreiging";"2020";"Alkmaar";182;167
"1.4.4 Bedreiging";"2021";"Alkmaar";178;160
"1.4.4 Bedreiging";"2022";"Alkmaar";187;170
"1.4.4 Bedreiging";"2023";"Alkmaar";157;139
"1.4.4 Bedreiging";"2012";"Almelo";259;217
"1.4.4 Bedreiging";"2013";"Almelo";231;187
"1.4.4 Bedreiging";"2014";"Almelo";202;179
"1.4.4 Bedreiging";"2015";"Almelo";155;129
"1.4.4 Bedreiging";"2016";"Almelo";194;169
"1.4.4 Bedreiging";"2017";"Almelo";161;143
"1.4.4 Bedreiging";"2018";"Almelo";186;159
"1.4.4 Bedreiging";"2019";"Almelo";179;149
"1.4.4 Bedreiging";"2020";"Almelo";149;124
"1.4.4 Bedreiging";"2021";"Almelo";137;111
"1.4.4 Bedreiging";"2022";"Almelo";133;115
"1.4.4 Bedreiging";"2023";"Almelo";131;108
"1.4.4 Bedreiging";"2012";"Almere";576;524
"1.4.4 Bedreiging";"2013";"Almere";583;557
"1.4.4 Bedreiging";"2014";"Almere";516;499
"1.4.4 Bedreiging";"2015";"Almere";482;467
"1.4.4 Bedreiging";"2016";"Almere";447;431
"1.4.4 Bedreiging";"2017";"Almere";421;390
"1.4.4 Bedreiging";"2018";"Almere";384;333
"1.4.4 Bedreiging";"2019";"Almere";439;370
"1.4.4 Bedreiging";"2020";"Almere";475;372
"1.4.4 Bedreiging";"2021";"Almere";353;300
"1.4.4 Bedreiging";"2022";"Almere";292;246
"1.4.4 Bedreiging";"2023";"Almere";283;245
"1.4.4 Bedreiging";"2012";"Alphen aan den Rijn";213;183
"1.4.4 Bedreiging";"2013";"Alphen aan den Rijn";197;171
"1.4.4 Bedreiging";"2014";"Alphen aan den Rijn";190;180
"1.4.4 Bedreiging";"2015";"Alphen aan den Rijn";160;147
"1.4.4 Bedreiging";"2016";"Alphen aan den Rijn";163;155
"1.4.4 Bedreiging";"2017";"Alphen aan den Rijn";155;137
"1.4.4 Bedreiging";"2018";"Alphen aan den Rijn";144;125
"1.4.4 Bedreiging";"2019";"Alphen aan den Rijn";122;108
"1.4.4 Bedreiging";"2020";"Alphen aan den Rijn";185;151
"1.4.4 Bedreiging";"2021";"Alphen aan den Rijn";194;170
"1.4.4 Bedreiging";"2022";"Alphen aan den Rijn";134;108
"1.4.4 Bedreiging";"2023";"Alphen aan den Rijn";150;129
"1.4.4 Bedreiging";"2012";"Alphen-Chaam";17;14
"1.4.4 Bedreiging";"2013";"Alphen-Chaam";11;11
"1.4.4 Bedreiging";"2014";"Alphen-Chaam";8;5
"1.4.4 Bedreiging";"2015";"Alphen-Chaam";12;13
"1.4.4 Bedreiging";"2016";"Alphen-Chaam";11;10
"1.4.4 Bedreiging";"2017";"Alphen-Chaam";6;5
"1.4.4 Bedreiging";"2018";"Alphen-Chaam";8;7
"1.4.4 Bedreiging";"2019";"Alphen-Chaam";9;10
"1.4.4 Bedreiging";"2020";"Alphen-Chaam";9;7
"1.4.4 Bedreiging";"2021";"Alphen-Chaam";8;7
"1.4.4 Bedreiging";"2022";"Alphen-Chaam";1;1
"1.4.4 Bedreiging";"2023";"Alphen-Chaam";11;11
"1.4.4 Bedreiging";"2012";"Altena";67;53
"1.4.4 Bedreiging";"2013";"Altena";47;39
"1.4.4 Bedreiging";"2014";"Altena";59;54
"1.4.4 Bedreiging";"2015";"Altena";41;35
"1.4.4 Bedreiging";"2016";"Altena";47;41
"1.4.4 Bedreiging";"2017";"Altena";33;26
"1.4.4 Bedreiging";"2018";"Altena";50;39
"1.4.4 Bedreiging";"2019";"Altena";40;32
"1.4.4 Bedreiging";"2020";"Altena";53;40
