"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.2.2 Diefstal van motorvoertuigen";"2012";"Nederland";16120;15560
"1.2.2 Diefstal van motorvoertuigen";"2013";"Nederland";16890;16422
"1.2.2 Diefstal van motorvoertuigen";"2014";"Nederland";15475;15065
"1.2.2 Diefstal van motorvoertuigen";"2015";"Nederland";14778;14461
"1.2.2 Diefstal van motorvoertuigen";"2016";"Nederland";13225;12927
"1.2.2 Diefstal van motorvoertuigen";"2017";"Nederland";11615;11356
"1.2.2 Diefstal van motorvoertuigen";"2018";"Nederland";10707;10418
"1.2.2 Diefstal van motorvoertuigen";"2019";"Nederland";9995;9674
"1.2.2 Diefstal van motorvoertuigen";"2020";"Nederland";9678;9304
"1.2.2 Diefstal van motorvoertuigen";"2021";"Nederland";7990;7413
"1.2.2 Diefstal van motorvoertuigen";"2022";"Nederland";9017;8739
"1.2.2 Diefstal van motorvoertuigen";"2023";"Nederland";9309;9007
"1.2.2 Diefstal van motorvoertuigen";"2012";"Aa en Hunze";;
"1.2.2 Diefstal van motorvoertuigen";"2013";"Aa en Hunze";3;3
"1.2.2 Diefstal van motorvoertuigen";"2014";"Aa en Hunze";1;1
"1.2.2 Diefstal van motorvoertuigen";"2015";"Aa en Hunze";3;3
"1.2.2 Diefstal van motorvoertuigen";"2016";"Aa en Hunze";3;3
"1.2.2 Diefstal van motorvoertuigen";"2017";"Aa en Hunze";1;
"1.2.2 Diefstal van motorvoertuigen";"2018";"Aa en Hunze";2;2
"1.2.2 Diefstal van motorvoertuigen";"2019";"Aa en Hunze";2;2
"1.2.2 Diefstal van motorvoertuigen";"2020";"Aa en Hunze";3;3
"1.2.2 Diefstal van motorvoertuigen";"2021";"Aa en Hunze";3;3
"1.2.2 Diefstal van motorvoertuigen";"2022";"Aa en Hunze";1;1
"1.2.2 Diefstal van motorvoertuigen";"2023";"Aa en Hunze";3;3
"1.2.2 Diefstal van motorvoertuigen";"2012";"Aalsmeer";11;11
"1.2.2 Diefstal van motorvoertuigen";"2013";"Aalsmeer";17;17
"1.2.2 Diefstal van motorvoertuigen";"2014";"Aalsmeer";8;8
"1.2.2 Diefstal van motorvoertuigen";"2015";"Aalsmeer";6;6
"1.2.2 Diefstal van motorvoertuigen";"2016";"Aalsmeer";14;13
"1.2.2 Diefstal van motorvoertuigen";"2017";"Aalsmeer";13;13
"1.2.2 Diefstal van motorvoertuigen";"2018";"Aalsmeer";6;6
"1.2.2 Diefstal van motorvoertuigen";"2019";"Aalsmeer";12;12
"1.2.2 Diefstal van motorvoertuigen";"2020";"Aalsmeer";8;7
"1.2.2 Diefstal van motorvoertuigen";"2021";"Aalsmeer";10;9
"1.2.2 Diefstal van motorvoertuigen";"2022";"Aalsmeer";17;17
"1.2.2 Diefstal van motorvoertuigen";"2023";"Aalsmeer";15;14
"1.2.2 Diefstal van motorvoertuigen";"2012";"Aalten";4;4
"1.2.2 Diefstal van motorvoertuigen";"2013";"Aalten";5;5
"1.2.2 Diefstal van motorvoertuigen";"2014";"Aalten";5;3
"1.2.2 Diefstal van motorvoertuigen";"2015";"Aalten";5;6
"1.2.2 Diefstal van motorvoertuigen";"2016";"Aalten";7;7
"1.2.2 Diefstal van motorvoertuigen";"2017";"Aalten";5;5
"1.2.2 Diefstal van motorvoertuigen";"2018";"Aalten";2;2
"1.2.2 Diefstal van motorvoertuigen";"2019";"Aalten";2;1
"1.2.2 Diefstal van motorvoertuigen";"2020";"Aalten";2;2
"1.2.2 Diefstal van motorvoertuigen";"2021";"Aalten";1;1
"1.2.2 Diefstal van motorvoertuigen";"2022";"Aalten";3;3
"1.2.2 Diefstal van motorvoertuigen";"2023";"Aalten";1;1
"1.2.2 Diefstal van motorvoertuigen";"2012";"Achtkarspelen";6;6
"1.2.2 Diefstal van motorvoertuigen";"2013";"Achtkarspelen";4;4
