"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"3.6.4 Aantasting openbare orde";"2012";"Nederland";6923;666
"3.6.4 Aantasting openbare orde";"2013";"Nederland";5387;526
"3.6.4 Aantasting openbare orde";"2014";"Nederland";5636;511
"3.6.4 Aantasting openbare orde";"2015";"Nederland";4825;469
"3.6.4 Aantasting openbare orde";"2016";"Nederland";5436;516
"3.6.4 Aantasting openbare orde";"2017";"Nederland";5227;481
"3.6.4 Aantasting openbare orde";"2018";"Nederland";5673;525
"3.6.4 Aantasting openbare orde";"2019";"Nederland";7002;511
"3.6.4 Aantasting openbare orde";"2020";"Nederland";6525;459
"3.6.4 Aantasting openbare orde";"2021";"Nederland";7508;536
"3.6.4 Aantasting openbare orde";"2022";"Nederland";7526;466
"3.6.4 Aantasting openbare orde";"2023";"Nederland";7945;651
"3.6.4 Aantasting openbare orde";"2012";"Aa en Hunze";3;1
"3.6.4 Aantasting openbare orde";"2013";"Aa en Hunze";3;
"3.6.4 Aantasting openbare orde";"2014";"Aa en Hunze";2;
"3.6.4 Aantasting openbare orde";"2015";"Aa en Hunze";1;1
"3.6.4 Aantasting openbare orde";"2016";"Aa en Hunze";;
"3.6.4 Aantasting openbare orde";"2017";"Aa en Hunze";1;
"3.6.4 Aantasting openbare orde";"2018";"Aa en Hunze";1;1
"3.6.4 Aantasting openbare orde";"2019";"Aa en Hunze";;
"3.6.4 Aantasting openbare orde";"2020";"Aa en Hunze";2;
"3.6.4 Aantasting openbare orde";"2021";"Aa en Hunze";1;
"3.6.4 Aantasting openbare orde";"2022";"Aa en Hunze";2;
"3.6.4 Aantasting openbare orde";"2023";"Aa en Hunze";1;
"3.6.4 Aantasting openbare orde";"2012";"Aalsmeer";;
"3.6.4 Aantasting openbare orde";"2013";"Aalsmeer";2;
"3.6.4 Aantasting openbare orde";"2014";"Aalsmeer";3;
"3.6.4 Aantasting openbare orde";"2015";"Aalsmeer";3;
"3.6.4 Aantasting openbare orde";"2016";"Aalsmeer";;
"3.6.4 Aantasting openbare orde";"2017";"Aalsmeer";2;2
"3.6.4 Aantasting openbare orde";"2018";"Aalsmeer";;
"3.6.4 Aantasting openbare orde";"2019";"Aalsmeer";1;
"3.6.4 Aantasting openbare orde";"2020";"Aalsmeer";1;
"3.6.4 Aantasting openbare orde";"2021";"Aalsmeer";8;
"3.6.4 Aantasting openbare orde";"2022";"Aalsmeer";;
"3.6.4 Aantasting openbare orde";"2023";"Aalsmeer";1;
"3.6.4 Aantasting openbare orde";"2012";"Aalten";1;1
"3.6.4 Aantasting openbare orde";"2013";"Aalten";3;
"3.6.4 Aantasting openbare orde";"2014";"Aalten";2;
"3.6.4 Aantasting openbare orde";"2015";"Aalten";4;
"3.6.4 Aantasting openbare orde";"2016";"Aalten";;
"3.6.4 Aantasting openbare orde";"2017";"Aalten";2;
"3.6.4 Aantasting openbare orde";"2018";"Aalten";3;
"3.6.4 Aantasting openbare orde";"2019";"Aalten";3;
"3.6.4 Aantasting openbare orde";"2020";"Aalten";5;
"3.6.4 Aantasting openbare orde";"2021";"Aalten";4;
"3.6.4 Aantasting openbare orde";"2022";"Aalten";3;1
"3.6.4 Aantasting openbare orde";"2023";"Aalten";2;1
"3.6.4 Aantasting openbare orde";"2012";"Achtkarspelen";5;
"3.6.4 Aantasting openbare orde";"2013";"Achtkarspelen";3;1
"3.6.4 Aantasting openbare orde";"2014";"Achtkarspelen";4;1
"3.6.4 Aantasting openbare orde";"2015";"Achtkarspelen";3;
"3.6.4 Aantasting openbare orde";"2016";"Achtkarspelen";6;
"3.6.4 Aantasting openbare orde";"2017";"Achtkarspelen";1;
"3.6.4 Aantasting openbare orde";"2018";"Achtkarspelen";1;
"3.6.4 Aantasting openbare orde";"2019";"Achtkarspelen";9;4
"3.6.4 Aantasting openbare orde";"2020";"Achtkarspelen";5;
"3.6.4 Aantasting openbare orde";"2021";"Achtkarspelen";2;
"3.6.4 Aantasting openbare orde";"2022";"Achtkarspelen";4;
"3.6.4 Aantasting openbare orde";"2023";"Achtkarspelen";3;1
"3.6.4 Aantasting openbare orde";"2012";"Alblasserdam";4;
"3.6.4 Aantasting openbare orde";"2013";"Alblasserdam";1;
"3.6.4 Aantasting openbare orde";"2014";"Alblasserdam";2;
"3.6.4 Aantasting openbare orde";"2015";"Alblasserdam";3;
"3.6.4 Aantasting openbare orde";"2016";"Alblasserdam";2;
"3.6.4 Aantasting openbare orde";"2017";"Alblasserdam";1;
"3.6.4 Aantasting openbare orde";"2018";"Alblasserdam";1;
"3.6.4 Aantasting openbare orde";"2019";"Alblasserdam";2;1
"3.6.4 Aantasting openbare orde";"2020";"Alblasserdam";3;
"3.6.4 Aantasting openbare orde";"2021";"Alblasserdam";1;
"3.6.4 Aantasting openbare orde";"2022";"Alblasserdam";1;
"3.6.4 Aantasting openbare orde";"2023";"Alblasserdam";;
"3.6.4 Aantasting openbare orde";"2012";"Albrandswaard";1;
"3.6.4 Aantasting openbare orde";"2013";"Albrandswaard";;
"3.6.4 Aantasting openbare orde";"2014";"Albrandswaard";3;
"3.6.4 Aantasting openbare orde";"2015";"Albrandswaard";6;6
"3.6.4 Aantasting openbare orde";"2016";"Albrandswaard";2;2
"3.6.4 Aantasting openbare orde";"2017";"Albrandswaard";2;1
"3.6.4 Aantasting openbare orde";"2018";"Albrandswaard";1;
"3.6.4 Aantasting openbare orde";"2019";"Albrandswaard";3;
"3.6.4 Aantasting openbare orde";"2020";"Albrandswaard";1;
"3.6.4 Aantasting openbare orde";"2021";"Albrandswaard";4;1
"3.6.4 Aantasting openbare orde";"2022";"Albrandswaard";5;1
"3.6.4 Aantasting openbare orde";"2023";"Albrandswaard";6;
"3.6.4 Aantasting openbare orde";"2012";"Alkmaar";93;7
"3.6.4 Aantasting openbare orde";"2013";"Alkmaar";42;4
"3.6.4 Aantasting openbare orde";"2014";"Alkmaar";42;2
"3.6.4 Aantasting openbare orde";"2015";"Alkmaar";58;3
"3.6.4 Aantasting openbare orde";"2016";"Alkmaar";52;1
"3.6.4 Aantasting openbare orde";"2017";"Alkmaar";30;2
"3.6.4 Aantasting openbare orde";"2018";"Alkmaar";49;1
"3.6.4 Aantasting openbare orde";"2019";"Alkmaar";50;2
"3.6.4 Aantasting openbare orde";"2020";"Alkmaar";49;3
"3.6.4 Aantasting openbare orde";"2021";"Alkmaar";47;
"3.6.4 Aantasting openbare orde";"2022";"Alkmaar";74;
"3.6.4 Aantasting openbare orde";"2023";"Alkmaar";56;1
"3.6.4 Aantasting openbare orde";"2012";"Almelo";41;
"3.6.4 Aantasting openbare orde";"2013";"Almelo";25;2
"3.6.4 Aantasting openbare orde";"2014";"Almelo";23;3
"3.6.4 Aantasting openbare orde";"2015";"Almelo";10;1
"3.6.4 Aantasting openbare orde";"2016";"Almelo";25;2
"3.6.4 Aantasting openbare orde";"2017";"Almelo";23;3
"3.6.4 Aantasting openbare orde";"2018";"Almelo";14;
"3.6.4 Aantasting openbare orde";"2019";"Almelo";22;2
"3.6.4 Aantasting openbare orde";"2020";"Almelo";28;2
"3.6.4 Aantasting openbare orde";"2021";"Almelo";23;
"3.6.4 Aantasting openbare orde";"2022";"Almelo";38;2
"3.6.4 Aantasting openbare orde";"2023";"Almelo";47;5
"3.6.4 Aantasting openbare orde";"2012";"Almere";101;6
"3.6.4 Aantasting openbare orde";"2013";"Almere";100;14
"3.6.4 Aantasting openbare orde";"2014";"Almere";96;21
"3.6.4 Aantasting openbare orde";"2015";"Almere";88;11
"3.6.4 Aantasting openbare orde";"2016";"Almere";89;11
"3.6.4 Aantasting openbare orde";"2017";"Almere";49;8
"3.6.4 Aantasting openbare orde";"2018";"Almere";64;9
"3.6.4 Aantasting openbare orde";"2019";"Almere";159;9
"3.6.4 Aantasting openbare orde";"2020";"Almere";96;12
"3.6.4 Aantasting openbare orde";"2021";"Almere";84;6
"3.6.4 Aantasting openbare orde";"2022";"Almere";114;6
"3.6.4 Aantasting openbare orde";"2023";"Almere";110;8
"3.6.4 Aantasting openbare orde";"2012";"Alphen aan den Rijn";17;3
"3.6.4 Aantasting openbare orde";"2013";"Alphen aan den Rijn";14;4
"3.6.4 Aantasting openbare orde";"2014";"Alphen aan den Rijn";20;1
"3.6.4 Aantasting openbare orde";"2015";"Alphen aan den Rijn";13;4
"3.6.4 Aantasting openbare orde";"2016";"Alphen aan den Rijn";12;5
"3.6.4 Aantasting openbare orde";"2017";"Alphen aan den Rijn";18;4
"3.6.4 Aantasting openbare orde";"2018";"Alphen aan den Rijn";20;
"3.6.4 Aantasting openbare orde";"2019";"Alphen aan den Rijn";15;2
"3.6.4 Aantasting openbare orde";"2020";"Alphen aan den Rijn";18;2
"3.6.4 Aantasting openbare orde";"2021";"Alphen aan den Rijn";38;1
"3.6.4 Aantasting openbare orde";"2022";"Alphen aan den Rijn";28;3
"3.6.4 Aantasting openbare orde";"2023";"Alphen aan den Rijn";45;5
"3.6.4 Aantasting openbare orde";"2012";"Alphen-Chaam";2;
"3.6.4 Aantasting openbare orde";"2013";"Alphen-Chaam";1;
"3.6.4 Aantasting openbare orde";"2014";"Alphen-Chaam";;
"3.6.4 Aantasting openbare orde";"2015";"Alphen-Chaam";;
"3.6.4 Aantasting openbare orde";"2016";"Alphen-Chaam";2;2
"3.6.4 Aantasting openbare orde";"2017";"Alphen-Chaam";;
"3.6.4 Aantasting openbare orde";"2018";"Alphen-Chaam";;
"3.6.4 Aantasting openbare orde";"2019";"Alphen-Chaam";2;
"3.6.4 Aantasting openbare orde";"2020";"Alphen-Chaam";1;
"3.6.4 Aantasting openbare orde";"2021";"Alphen-Chaam";1;1
"3.6.4 Aantasting openbare orde";"2022";"Alphen-Chaam";;
"3.6.4 Aantasting openbare orde";"2023";"Alphen-Chaam";1;
"3.6.4 Aantasting openbare orde";"2012";"Altena";5;1
"3.6.4 Aantasting openbare orde";"2013";"Altena";5;
"3.6.4 Aantasting openbare orde";"2014";"Altena";3;
"3.6.4 Aantasting openbare orde";"2015";"Altena";6;
"3.6.4 Aantasting openbare orde";"2016";"Altena";4;
"3.6.4 Aantasting openbare orde";"2017";"Altena";2;
"3.6.4 Aantasting openbare orde";"2018";"Altena";3;1
"3.6.4 Aantasting openbare orde";"2019";"Altena";4;
"3.6.4 Aantasting openbare orde";"2020";"Altena";5;
"3.6.4 Aantasting openbare orde";"2021";"Altena";5;1
"3.6.4 Aantasting openbare orde";"2022";"Altena";2;1
"3.6.4 Aantasting openbare orde";"2023";"Altena";7;1
"3.6.4 Aantasting openbare orde";"2012";"Ameland";1;
"3.6.4 Aantasting openbare orde";"2013";"Ameland";;
