"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"2.5.2 Winkeldiefstal";"2012";"Nederland";42343;31670
"2.5.2 Winkeldiefstal";"2013";"Nederland";43100;30411
"2.5.2 Winkeldiefstal";"2014";"Nederland";41840;29413
"2.5.2 Winkeldiefstal";"2015";"Nederland";40239;27962
"2.5.2 Winkeldiefstal";"2016";"Nederland";39095;26927
"2.5.2 Winkeldiefstal";"2017";"Nederland";37610;25335
"2.5.2 Winkeldiefstal";"2018";"Nederland";37491;25813
"2.5.2 Winkeldiefstal";"2019";"Nederland";39229;26552
"2.5.2 Winkeldiefstal";"2020";"Nederland";34343;23559
"2.5.2 Winkeldiefstal";"2021";"Nederland";30714;22543
"2.5.2 Winkeldiefstal";"2022";"Nederland";40142;31894
"2.5.2 Winkeldiefstal";"2023";"Nederland";44850;37643
"2.5.2 Winkeldiefstal";"2012";"Aa en Hunze";7;6
"2.5.2 Winkeldiefstal";"2013";"Aa en Hunze";9;8
"2.5.2 Winkeldiefstal";"2014";"Aa en Hunze";13;10
"2.5.2 Winkeldiefstal";"2015";"Aa en Hunze";7;6
"2.5.2 Winkeldiefstal";"2016";"Aa en Hunze";7;7
"2.5.2 Winkeldiefstal";"2017";"Aa en Hunze";6;3
"2.5.2 Winkeldiefstal";"2018";"Aa en Hunze";3;2
"2.5.2 Winkeldiefstal";"2019";"Aa en Hunze";7;7
"2.5.2 Winkeldiefstal";"2020";"Aa en Hunze";13;11
"2.5.2 Winkeldiefstal";"2021";"Aa en Hunze";5;5
"2.5.2 Winkeldiefstal";"2022";"Aa en Hunze";6;4
"2.5.2 Winkeldiefstal";"2023";"Aa en Hunze";;
"2.5.2 Winkeldiefstal";"2012";"Aalsmeer";38;35
"2.5.2 Winkeldiefstal";"2013";"Aalsmeer";47;32
"2.5.2 Winkeldiefstal";"2014";"Aalsmeer";37;16
"2.5.2 Winkeldiefstal";"2015";"Aalsmeer";45;13
"2.5.2 Winkeldiefstal";"2016";"Aalsmeer";56;8
"2.5.2 Winkeldiefstal";"2017";"Aalsmeer";64;18
"2.5.2 Winkeldiefstal";"2018";"Aalsmeer";44;11
"2.5.2 Winkeldiefstal";"2019";"Aalsmeer";24;6
"2.5.2 Winkeldiefstal";"2020";"Aalsmeer";35;12
"2.5.2 Winkeldiefstal";"2021";"Aalsmeer";31;13
"2.5.2 Winkeldiefstal";"2022";"Aalsmeer";28;16
"2.5.2 Winkeldiefstal";"2023";"Aalsmeer";40;24
"2.5.2 Winkeldiefstal";"2012";"Aalten";25;22
"2.5.2 Winkeldiefstal";"2013";"Aalten";16;14
"2.5.2 Winkeldiefstal";"2014";"Aalten";21;19
"2.5.2 Winkeldiefstal";"2015";"Aalten";21;15
"2.5.2 Winkeldiefstal";"2016";"Aalten";13;13
"2.5.2 Winkeldiefstal";"2017";"Aalten";10;9
"2.5.2 Winkeldiefstal";"2018";"Aalten";12;10
"2.5.2 Winkeldiefstal";"2019";"Aalten";25;23
"2.5.2 Winkeldiefstal";"2020";"Aalten";3;3
"2.5.2 Winkeldiefstal";"2021";"Aalten";5;3
"2.5.2 Winkeldiefstal";"2022";"Aalten";18;17
"2.5.2 Winkeldiefstal";"2023";"Aalten";14;9
"2.5.2 Winkeldiefstal";"2012";"Achtkarspelen";11;6
"2.5.2 Winkeldiefstal";"2013";"Achtkarspelen";19;14
"2.5.2 Winkeldiefstal";"2014";"Achtkarspelen";10;5
"2.5.2 Winkeldiefstal";"2015";"Achtkarspelen";11;6
"2.5.2 Winkeldiefstal";"2016";"Achtkarspelen";18;9
"2.5.2 Winkeldiefstal";"2017";"Achtkarspelen";17;9
"2.5.2 Winkeldiefstal";"2018";"Achtkarspelen";14;11
"2.5.2 Winkeldiefstal";"2019";"Achtkarspelen";9;7
"2.5.2 Winkeldiefstal";"2020";"Achtkarspelen";13;10
"2.5.2 Winkeldiefstal";"2021";"Achtkarspelen";19;11
"2.5.2 Winkeldiefstal";"2022";"Achtkarspelen";25;22
"2.5.2 Winkeldiefstal";"2023";"Achtkarspelen";21;16
"2.5.2 Winkeldiefstal";"2012";"Alblasserdam";98;52
"2.5.2 Winkeldiefstal";"2013";"Alblasserdam";64;52
"2.5.2 Winkeldiefstal";"2014";"Alblasserdam";68;65
"2.5.2 Winkeldiefstal";"2015";"Alblasserdam";62;60
"2.5.2 Winkeldiefstal";"2016";"Alblasserdam";45;43
"2.5.2 Winkeldiefstal";"2017";"Alblasserdam";33;31
"2.5.2 Winkeldiefstal";"2018";"Alblasserdam";47;45
"2.5.2 Winkeldiefstal";"2019";"Alblasserdam";27;22
"2.5.2 Winkeldiefstal";"2020";"Alblasserdam";33;27
"2.5.2 Winkeldiefstal";"2021";"Alblasserdam";30;24
"2.5.2 Winkeldiefstal";"2022";"Alblasserdam";30;25
"2.5.2 Winkeldiefstal";"2023";"Alblasserdam";19;12
"2.5.2 Winkeldiefstal";"2012";"Albrandswaard";10;4
"2.5.2 Winkeldiefstal";"2013";"Albrandswaard";14;4
"2.5.2 Winkeldiefstal";"2014";"Albrandswaard";17;11
"2.5.2 Winkeldiefstal";"2015";"Albrandswaard";23;9
"2.5.2 Winkeldiefstal";"2016";"Albrandswaard";16;7
"2.5.2 Winkeldiefstal";"2017";"Albrandswaard";7;4
"2.5.2 Winkeldiefstal";"2018";"Albrandswaard";12;4
"2.5.2 Winkeldiefstal";"2019";"Albrandswaard";7;5
"2.5.2 Winkeldiefstal";"2020";"Albrandswaard";8;5
"2.5.2 Winkeldiefstal";"2021";"Albrandswaard";6;5
"2.5.2 Winkeldiefstal";"2022";"Albrandswaard";14;11
"2.5.2 Winkeldiefstal";"2023";"Albrandswaard";29;26
"2.5.2 Winkeldiefstal";"2012";"Alkmaar";382;366
"2.5.2 Winkeldiefstal";"2013";"Alkmaar";447;436
"2.5.2 Winkeldiefstal";"2014";"Alkmaar";494;480
"2.5.2 Winkeldiefstal";"2015";"Alkmaar";412;400
"2.5.2 Winkeldiefstal";"2016";"Alkmaar";372;359
"2.5.2 Winkeldiefstal";"2017";"Alkmaar";398;373
"2.5.2 Winkeldiefstal";"2018";"Alkmaar";429;388
"2.5.2 Winkeldiefstal";"2019";"Alkmaar";377;359
"2.5.2 Winkeldiefstal";"2020";"Alkmaar";298;265
"2.5.2 Winkeldiefstal";"2021";"Alkmaar";304;272
"2.5.2 Winkeldiefstal";"2022";"Alkmaar";483;409
"2.5.2 Winkeldiefstal";"2023";"Alkmaar";442;404
"2.5.2 Winkeldiefstal";"2012";"Almelo";208;172
"2.5.2 Winkeldiefstal";"2013";"Almelo";238;218
"2.5.2 Winkeldiefstal";"2014";"Almelo";223;195
"2.5.2 Winkeldiefstal";"2015";"Almelo";184;170
"2.5.2 Winkeldiefstal";"2016";"Almelo";144;132
"2.5.2 Winkeldiefstal";"2017";"Almelo";184;174
"2.5.2 Winkeldiefstal";"2018";"Almelo";198;188
"2.5.2 Winkeldiefstal";"2019";"Almelo";177;162
"2.5.2 Winkeldiefstal";"2020";"Almelo";214;195
"2.5.2 Winkeldiefstal";"2021";"Almelo";189;167
"2.5.2 Winkeldiefstal";"2022";"Almelo";232;203
"2.5.2 Winkeldiefstal";"2023";"Almelo";207;177
"2.5.2 Winkeldiefstal";"2012";"Almere";736;341
"2.5.2 Winkeldiefstal";"2013";"Almere";864;451
"2.5.2 Winkeldiefstal";"2014";"Almere";980;651
"2.5.2 Winkeldiefstal";"2015";"Almere";758;545
"2.5.2 Winkeldiefstal";"2016";"Almere";782;503
"2.5.2 Winkeldiefstal";"2017";"Almere";900;614
"2.5.2 Winkeldiefstal";"2018";"Almere";718;481
"2.5.2 Winkeldiefstal";"2019";"Almere";775;504
"2.5.2 Winkeldiefstal";"2020";"Almere";621;378
"2.5.2 Winkeldiefstal";"2021";"Almere";453;280
"2.5.2 Winkeldiefstal";"2022";"Almere";819;581
"2.5.2 Winkeldiefstal";"2023";"Almere";793;512
"2.5.2 Winkeldiefstal";"2012";"Alphen aan den Rijn";227;187
"2.5.2 Winkeldiefstal";"2013";"Alphen aan den Rijn";247;213
"2.5.2 Winkeldiefstal";"2014";"Alphen aan den Rijn";154;145
"2.5.2 Winkeldiefstal";"2015";"Alphen aan den Rijn";138;126
"2.5.2 Winkeldiefstal";"2016";"Alphen aan den Rijn";184;114
"2.5.2 Winkeldiefstal";"2017";"Alphen aan den Rijn";274;140
"2.5.2 Winkeldiefstal";"2018";"Alphen aan den Rijn";215;114
"2.5.2 Winkeldiefstal";"2019";"Alphen aan den Rijn";232;117
"2.5.2 Winkeldiefstal";"2020";"Alphen aan den Rijn";229;78
"2.5.2 Winkeldiefstal";"2021";"Alphen aan den Rijn";189;120
"2.5.2 Winkeldiefstal";"2022";"Alphen aan den Rijn";301;243
"2.5.2 Winkeldiefstal";"2023";"Alphen aan den Rijn";289;259
"2.5.2 Winkeldiefstal";"2012";"Alphen-Chaam";3;3
"2.5.2 Winkeldiefstal";"2013";"Alphen-Chaam";5;5
"2.5.2 Winkeldiefstal";"2014";"Alphen-Chaam";4;4
"2.5.2 Winkeldiefstal";"2015";"Alphen-Chaam";5;4
"2.5.2 Winkeldiefstal";"2016";"Alphen-Chaam";5;5
"2.5.2 Winkeldiefstal";"2017";"Alphen-Chaam";;
"2.5.2 Winkeldiefstal";"2018";"Alphen-Chaam";5;4
"2.5.2 Winkeldiefstal";"2019";"Alphen-Chaam";2;2
"2.5.2 Winkeldiefstal";"2020";"Alphen-Chaam";2;2
"2.5.2 Winkeldiefstal";"2021";"Alphen-Chaam";5;4
"2.5.2 Winkeldiefstal";"2022";"Alphen-Chaam";4;3
"2.5.2 Winkeldiefstal";"2023";"Alphen-Chaam";11;11
"2.5.2 Winkeldiefstal";"2012";"Altena";23;22
"2.5.2 Winkeldiefstal";"2013";"Altena";23;21
"2.5.2 Winkeldiefstal";"2014";"Altena";17;14
"2.5.2 Winkeldiefstal";"2015";"Altena";15;14
"2.5.2 Winkeldiefstal";"2016";"Altena";12;9
"2.5.2 Winkeldiefstal";"2017";"Altena";18;16
"2.5.2 Winkeldiefstal";"2018";"Altena";23;22
"2.5.2 Winkeldiefstal";"2019";"Altena";23;22
"2.5.2 Winkeldiefstal";"2020";"Altena";13;11
"2.5.2 Winkeldiefstal";"2021";"Altena";22;22
"2.5.2 Winkeldiefstal";"2022";"Altena";28;20
"2.5.2 Winkeldiefstal";"2023";"Altena";17;15
"2.5.2 Winkeldiefstal";"2012";"Ameland";;
"2.5.2 Winkeldiefstal";"2013";"Ameland";4;1
"2.5.2 Winkeldiefstal";"2014";"Ameland";;
"2.5.2 Winkeldiefstal";"2015";"Ameland";3;3
"2.5.2 Winkeldiefstal";"2016";"Ameland";5;4
"2.5.2 Winkeldiefstal";"2017";"Ameland";6;5
"2.5.2 Winkeldiefstal";"2018";"Ameland";1;1
"2.5.2 Winkeldiefstal";"2019";"Ameland";2;1
"2.5.2 Winkeldiefstal";"2020";"Ameland";;
"2.5.2 Winkeldiefstal";"2021";"Ameland";1;1
"2.5.2 Winkeldiefstal";"2022";"Ameland";4;3
"2.5.2 Winkeldiefstal";"2023";"Ameland";1;1
"2.5.2 Winkeldiefstal";"2012";"Amersfoort";426;404
"2.5.2 Winkeldiefstal";"2013";"Amersfoort";448;443
"2.5.2 Winkeldiefstal";"2014";"Amersfoort";418;380
"2.5.2 Winkeldiefstal";"2015";"Amersfoort";341;301
"2.5.2 Winkeldiefstal";"2016";"Amersfoort";422;353
"2.5.2 Winkeldiefstal";"2017";"Amersfoort";461;411
"2.5.2 Winkeldiefstal";"2018";"Amersfoort";515;475
"2.5.2 Winkeldiefstal";"2019";"Amersfoort";424;358
"2.5.2 Winkeldiefstal";"2020";"Amersfoort";391;302
"2.5.2 Winkeldiefstal";"2021";"Amersfoort";329;241
"2.5.2 Winkeldiefstal";"2022";"Amersfoort";471;370
"2.5.2 Winkeldiefstal";"2023";"Amersfoort";464;351
"2.5.2 Winkeldiefstal";"2012";"Amstelveen";215;183
"2.5.2 Winkeldiefstal";"2013";"Amstelveen";188;102
"2.5.2 Winkeldiefstal";"2014";"Amstelveen";139;53
"2.5.2 Winkeldiefstal";"2015";"Amstelveen";166;60
"2.5.2 Winkeldiefstal";"2016";"Amstelveen";110;35
"2.5.2 Winkeldiefstal";"2017";"Amstelveen";164;39
"2.5.2 Winkeldiefstal";"2018";"Amstelveen";154;44
"2.5.2 Winkeldiefstal";"2019";"Amstelveen";164;41
"2.5.2 Winkeldiefstal";"2020";"Amstelveen";155;44
"2.5.2 Winkeldiefstal";"2021";"Amstelveen";144;76
"2.5.2 Winkeldiefstal";"2022";"Amstelveen";168;121
"2.5.2 Winkeldiefstal";"2023";"Amstelveen";140;112
