"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Nederland";123742;121486
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Nederland";122796;120748
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Nederland";127392;125262
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Nederland";123438;121268
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Nederland";110864;109143
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Nederland";91582;90077
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Nederland";82081;80750
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Nederland";81997;80730
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Nederland";76291;74862
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Nederland";71439;70345
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Nederland";92173;90591
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Nederland";96907;95343
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Aa en Hunze";72;70
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Aa en Hunze";63;63
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Aa en Hunze";44;44
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Aa en Hunze";44;44
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Aa en Hunze";37;36
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Aa en Hunze";30;28
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Aa en Hunze";25;25
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Aa en Hunze";50;50
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Aa en Hunze";21;21
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Aa en Hunze";31;31
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Aa en Hunze";35;35
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Aa en Hunze";56;55
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Aalsmeer";68;66
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Aalsmeer";100;100
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Aalsmeer";101;99
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Aalsmeer";72;71
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Aalsmeer";91;90
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Aalsmeer";123;120
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Aalsmeer";91;91
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Aalsmeer";80;80
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Aalsmeer";58;57
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Aalsmeer";63;62
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Aalsmeer";88;87
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Aalsmeer";106;103
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Aalten";104;104
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Aalten";87;85
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Aalten";112;112
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Aalten";64;64
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Aalten";68;68
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Aalten";40;39
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Aalten";19;19
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Aalten";67;66
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Aalten";26;25
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Aalten";21;20
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Aalten";21;21
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Aalten";27;27
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Achtkarspelen";84;82
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Achtkarspelen";51;50
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Achtkarspelen";53;53
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Achtkarspelen";69;68
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Achtkarspelen";43;42
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Achtkarspelen";35;34
