"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.4.3 Openlijk geweld (persoon)";"2012";"Nederland";5542;5098
"1.4.3 Openlijk geweld (persoon)";"2013";"Nederland";4687;4341
"1.4.3 Openlijk geweld (persoon)";"2014";"Nederland";4239;3909
"1.4.3 Openlijk geweld (persoon)";"2015";"Nederland";3909;3574
"1.4.3 Openlijk geweld (persoon)";"2016";"Nederland";3691;3459
"1.4.3 Openlijk geweld (persoon)";"2017";"Nederland";3773;3486
"1.4.3 Openlijk geweld (persoon)";"2018";"Nederland";3607;3251
"1.4.3 Openlijk geweld (persoon)";"2019";"Nederland";3733;3243
"1.4.3 Openlijk geweld (persoon)";"2020";"Nederland";2910;2617
"1.4.3 Openlijk geweld (persoon)";"2021";"Nederland";3343;2936
"1.4.3 Openlijk geweld (persoon)";"2022";"Nederland";4068;3742
"1.4.3 Openlijk geweld (persoon)";"2023";"Nederland";4063;3698
"1.4.3 Openlijk geweld (persoon)";"2012";"Aa en Hunze";1;1
"1.4.3 Openlijk geweld (persoon)";"2013";"Aa en Hunze";1;1
"1.4.3 Openlijk geweld (persoon)";"2014";"Aa en Hunze";1;1
"1.4.3 Openlijk geweld (persoon)";"2015";"Aa en Hunze";;
"1.4.3 Openlijk geweld (persoon)";"2016";"Aa en Hunze";;
"1.4.3 Openlijk geweld (persoon)";"2017";"Aa en Hunze";1;1
"1.4.3 Openlijk geweld (persoon)";"2018";"Aa en Hunze";1;1
"1.4.3 Openlijk geweld (persoon)";"2019";"Aa en Hunze";2;
"1.4.3 Openlijk geweld (persoon)";"2020";"Aa en Hunze";;
"1.4.3 Openlijk geweld (persoon)";"2021";"Aa en Hunze";;
"1.4.3 Openlijk geweld (persoon)";"2022";"Aa en Hunze";3;3
"1.4.3 Openlijk geweld (persoon)";"2023";"Aa en Hunze";;
"1.4.3 Openlijk geweld (persoon)";"2012";"Aalsmeer";4;5
"1.4.3 Openlijk geweld (persoon)";"2013";"Aalsmeer";6;4
"1.4.3 Openlijk geweld (persoon)";"2014";"Aalsmeer";5;3
"1.4.3 Openlijk geweld (persoon)";"2015";"Aalsmeer";3;2
"1.4.3 Openlijk geweld (persoon)";"2016";"Aalsmeer";1;2
"1.4.3 Openlijk geweld (persoon)";"2017";"Aalsmeer";2;5
"1.4.3 Openlijk geweld (persoon)";"2018";"Aalsmeer";3;3
"1.4.3 Openlijk geweld (persoon)";"2019";"Aalsmeer";4;4
"1.4.3 Openlijk geweld (persoon)";"2020";"Aalsmeer";;
"1.4.3 Openlijk geweld (persoon)";"2021";"Aalsmeer";1;1
"1.4.3 Openlijk geweld (persoon)";"2022";"Aalsmeer";5;6
"1.4.3 Openlijk geweld (persoon)";"2023";"Aalsmeer";1;1
"1.4.3 Openlijk geweld (persoon)";"2012";"Aalten";3;2
"1.4.3 Openlijk geweld (persoon)";"2013";"Aalten";3;3
"1.4.3 Openlijk geweld (persoon)";"2014";"Aalten";1;
"1.4.3 Openlijk geweld (persoon)";"2015";"Aalten";1;1
"1.4.3 Openlijk geweld (persoon)";"2016";"Aalten";3;3
"1.4.3 Openlijk geweld (persoon)";"2017";"Aalten";;
"1.4.3 Openlijk geweld (persoon)";"2018";"Aalten";1;1
"1.4.3 Openlijk geweld (persoon)";"2019";"Aalten";1;1
"1.4.3 Openlijk geweld (persoon)";"2020";"Aalten";1;1
"1.4.3 Openlijk geweld (persoon)";"2021";"Aalten";;
"1.4.3 Openlijk geweld (persoon)";"2022";"Aalten";4;4
"1.4.3 Openlijk geweld (persoon)";"2023";"Aalten";2;2
"1.4.3 Openlijk geweld (persoon)";"2012";"Achtkarspelen";3;3
"1.4.3 Openlijk geweld (persoon)";"2013";"Achtkarspelen";4;3
"1.4.3 Openlijk geweld (persoon)";"2014";"Achtkarspelen";1;1
"1.4.3 Openlijk geweld (persoon)";"2015";"Achtkarspelen";1;1
"1.4.3 Openlijk geweld (persoon)";"2016";"Achtkarspelen";2;1
"1.4.3 Openlijk geweld (persoon)";"2017";"Achtkarspelen";2;2
"1.4.3 Openlijk geweld (persoon)";"2018";"Achtkarspelen";1;1
"1.4.3 Openlijk geweld (persoon)";"2019";"Achtkarspelen";8;7
"1.4.3 Openlijk geweld (persoon)";"2020";"Achtkarspelen";5;5
"1.4.3 Openlijk geweld (persoon)";"2021";"Achtkarspelen";3;3
"1.4.3 Openlijk geweld (persoon)";"2022";"Achtkarspelen";4;4
"1.4.3 Openlijk geweld (persoon)";"2023";"Achtkarspelen";5;5
"1.4.3 Openlijk geweld (persoon)";"2012";"Alblasserdam";;
"1.4.3 Openlijk geweld (persoon)";"2013";"Alblasserdam";3;3
"1.4.3 Openlijk geweld (persoon)";"2014";"Alblasserdam";10;7
"1.4.3 Openlijk geweld (persoon)";"2015";"Alblasserdam";11;11
"1.4.3 Openlijk geweld (persoon)";"2016";"Alblasserdam";10;9
"1.4.3 Openlijk geweld (persoon)";"2017";"Alblasserdam";3;2
"1.4.3 Openlijk geweld (persoon)";"2018";"Alblasserdam";4;4
"1.4.3 Openlijk geweld (persoon)";"2019";"Alblasserdam";2;1
"1.4.3 Openlijk geweld (persoon)";"2020";"Alblasserdam";9;8
"1.4.3 Openlijk geweld (persoon)";"2021";"Alblasserdam";1;1
"1.4.3 Openlijk geweld (persoon)";"2022";"Alblasserdam";2;2
"1.4.3 Openlijk geweld (persoon)";"2023";"Alblasserdam";4;4
"1.4.3 Openlijk geweld (persoon)";"2012";"Albrandswaard";1;1
"1.4.3 Openlijk geweld (persoon)";"2013";"Albrandswaard";5;5
"1.4.3 Openlijk geweld (persoon)";"2014";"Albrandswaard";5;4
"1.4.3 Openlijk geweld (persoon)";"2015";"Albrandswaard";3;2
"1.4.3 Openlijk geweld (persoon)";"2016";"Albrandswaard";6;6
"1.4.3 Openlijk geweld (persoon)";"2017";"Albrandswaard";3;3
"1.4.3 Openlijk geweld (persoon)";"2018";"Albrandswaard";3;3
"1.4.3 Openlijk geweld (persoon)";"2019";"Albrandswaard";1;1
"1.4.3 Openlijk geweld (persoon)";"2020";"Albrandswaard";7;6
"1.4.3 Openlijk geweld (persoon)";"2021";"Albrandswaard";5;5
"1.4.3 Openlijk geweld (persoon)";"2022";"Albrandswaard";5;4
"1.4.3 Openlijk geweld (persoon)";"2023";"Albrandswaard";3;1
"1.4.3 Openlijk geweld (persoon)";"2012";"Alkmaar";67;60
"1.4.3 Openlijk geweld (persoon)";"2013";"Alkmaar";52;53
"1.4.3 Openlijk geweld (persoon)";"2014";"Alkmaar";35;30
"1.4.3 Openlijk geweld (persoon)";"2015";"Alkmaar";23;22
"1.4.3 Openlijk geweld (persoon)";"2016";"Alkmaar";34;33
"1.4.3 Openlijk geweld (persoon)";"2017";"Alkmaar";20;20
"1.4.3 Openlijk geweld (persoon)";"2018";"Alkmaar";29;24
"1.4.3 Openlijk geweld (persoon)";"2019";"Alkmaar";29;26
"1.4.3 Openlijk geweld (persoon)";"2020";"Alkmaar";12;11
"1.4.3 Openlijk geweld (persoon)";"2021";"Alkmaar";18;18
"1.4.3 Openlijk geweld (persoon)";"2022";"Alkmaar";33;29
"1.4.3 Openlijk geweld (persoon)";"2023";"Alkmaar";27;25
"1.4.3 Openlijk geweld (persoon)";"2012";"Almelo";14;11
"1.4.3 Openlijk geweld (persoon)";"2013";"Almelo";17;13
"1.4.3 Openlijk geweld (persoon)";"2014";"Almelo";10;8
"1.4.3 Openlijk geweld (persoon)";"2015";"Almelo";12;11
"1.4.3 Openlijk geweld (persoon)";"2016";"Almelo";16;15
"1.4.3 Openlijk geweld (persoon)";"2017";"Almelo";22;20
"1.4.3 Openlijk geweld (persoon)";"2018";"Almelo";21;18
"1.4.3 Openlijk geweld (persoon)";"2019";"Almelo";16;16
"1.4.3 Openlijk geweld (persoon)";"2020";"Almelo";11;10
"1.4.3 Openlijk geweld (persoon)";"2021";"Almelo";16;10
"1.4.3 Openlijk geweld (persoon)";"2022";"Almelo";14;11
"1.4.3 Openlijk geweld (persoon)";"2023";"Almelo";26;22
"1.4.3 Openlijk geweld (persoon)";"2012";"Almere";65;73
"1.4.3 Openlijk geweld (persoon)";"2013";"Almere";58;57
"1.4.3 Openlijk geweld (persoon)";"2014";"Almere";56;53
"1.4.3 Openlijk geweld (persoon)";"2015";"Almere";55;57
"1.4.3 Openlijk geweld (persoon)";"2016";"Almere";52;55
"1.4.3 Openlijk geweld (persoon)";"2017";"Almere";49;50
"1.4.3 Openlijk geweld (persoon)";"2018";"Almere";35;31
"1.4.3 Openlijk geweld (persoon)";"2019";"Almere";33;31
"1.4.3 Openlijk geweld (persoon)";"2020";"Almere";31;20
"1.4.3 Openlijk geweld (persoon)";"2021";"Almere";27;29
"1.4.3 Openlijk geweld (persoon)";"2022";"Almere";39;35
"1.4.3 Openlijk geweld (persoon)";"2023";"Almere";40;35
"1.4.3 Openlijk geweld (persoon)";"2012";"Alphen aan den Rijn";28;27
"1.4.3 Openlijk geweld (persoon)";"2013";"Alphen aan den Rijn";17;16
"1.4.3 Openlijk geweld (persoon)";"2014";"Alphen aan den Rijn";24;21
"1.4.3 Openlijk geweld (persoon)";"2015";"Alphen aan den Rijn";10;10
"1.4.3 Openlijk geweld (persoon)";"2016";"Alphen aan den Rijn";14;13
"1.4.3 Openlijk geweld (persoon)";"2017";"Alphen aan den Rijn";31;30
"1.4.3 Openlijk geweld (persoon)";"2018";"Alphen aan den Rijn";22;20
"1.4.3 Openlijk geweld (persoon)";"2019";"Alphen aan den Rijn";24;21
"1.4.3 Openlijk geweld (persoon)";"2020";"Alphen aan den Rijn";22;20
"1.4.3 Openlijk geweld (persoon)";"2021";"Alphen aan den Rijn";19;20
"1.4.3 Openlijk geweld (persoon)";"2022";"Alphen aan den Rijn";25;25
"1.4.3 Openlijk geweld (persoon)";"2023";"Alphen aan den Rijn";20;16
"1.4.3 Openlijk geweld (persoon)";"2012";"Alphen-Chaam";;
"1.4.3 Openlijk geweld (persoon)";"2013";"Alphen-Chaam";2;2
"1.4.3 Openlijk geweld (persoon)";"2014";"Alphen-Chaam";1;1
"1.4.3 Openlijk geweld (persoon)";"2015";"Alphen-Chaam";;
"1.4.3 Openlijk geweld (persoon)";"2016";"Alphen-Chaam";;
"1.4.3 Openlijk geweld (persoon)";"2017";"Alphen-Chaam";;
"1.4.3 Openlijk geweld (persoon)";"2018";"Alphen-Chaam";;
"1.4.3 Openlijk geweld (persoon)";"2019";"Alphen-Chaam";2;2
"1.4.3 Openlijk geweld (persoon)";"2020";"Alphen-Chaam";;
"1.4.3 Openlijk geweld (persoon)";"2021";"Alphen-Chaam";;
"1.4.3 Openlijk geweld (persoon)";"2022";"Alphen-Chaam";1;1
"1.4.3 Openlijk geweld (persoon)";"2023";"Alphen-Chaam";3;3
"1.4.3 Openlijk geweld (persoon)";"2012";"Altena";9;8
"1.4.3 Openlijk geweld (persoon)";"2013";"Altena";8;6
"1.4.3 Openlijk geweld (persoon)";"2014";"Altena";6;6
"1.4.3 Openlijk geweld (persoon)";"2015";"Altena";4;3
"1.4.3 Openlijk geweld (persoon)";"2016";"Altena";;
"1.4.3 Openlijk geweld (persoon)";"2017";"Altena";7;6
"1.4.3 Openlijk geweld (persoon)";"2018";"Altena";2;2
"1.4.3 Openlijk geweld (persoon)";"2019";"Altena";4;3
"1.4.3 Openlijk geweld (persoon)";"2020";"Altena";6;7
"1.4.3 Openlijk geweld (persoon)";"2021";"Altena";;
"1.4.3 Openlijk geweld (persoon)";"2022";"Altena";8;7
"1.4.3 Openlijk geweld (persoon)";"2023";"Altena";10;9
"1.4.3 Openlijk geweld (persoon)";"2012";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2013";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2014";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2015";"Ameland";1;2
"1.4.3 Openlijk geweld (persoon)";"2016";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2017";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2018";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2019";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2020";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2021";"Ameland";1;1
"1.4.3 Openlijk geweld (persoon)";"2022";"Ameland";;
"1.4.3 Openlijk geweld (persoon)";"2023";"Ameland";1;
"1.4.3 Openlijk geweld (persoon)";"2012";"Amersfoort";76;72
"1.4.3 Openlijk geweld (persoon)";"2013";"Amersfoort";72;69
"1.4.3 Openlijk geweld (persoon)";"2014";"Amersfoort";45;45
"1.4.3 Openlijk geweld (persoon)";"2015";"Amersfoort";54;51
"1.4.3 Openlijk geweld (persoon)";"2016";"Amersfoort";47;45
"1.4.3 Openlijk geweld (persoon)";"2017";"Amersfoort";56;54
"1.4.3 Openlijk geweld (persoon)";"2018";"Amersfoort";51;48
"1.4.3 Openlijk geweld (persoon)";"2019";"Amersfoort";52;50
"1.4.3 Openlijk geweld (persoon)";"2020";"Amersfoort";38;36
"1.4.3 Openlijk geweld (persoon)";"2021";"Amersfoort";39;38
"1.4.3 Openlijk geweld (persoon)";"2022";"Amersfoort";44;44
"1.4.3 Openlijk geweld (persoon)";"2023";"Amersfoort";43;42
"1.4.3 Openlijk geweld (persoon)";"2012";"Amstelveen";11;11
"1.4.3 Openlijk geweld (persoon)";"2013";"Amstelveen";14;12
"1.4.3 Openlijk geweld (persoon)";"2014";"Amstelveen";16;23
"1.4.3 Openlijk geweld (persoon)";"2015";"Amstelveen";13;15
"1.4.3 Openlijk geweld (persoon)";"2016";"Amstelveen";10;11
"1.4.3 Openlijk geweld (persoon)";"2017";"Amstelveen";2;3
"1.4.3 Openlijk geweld (persoon)";"2018";"Amstelveen";7;6
"1.4.3 Openlijk geweld (persoon)";"2019";"Amstelveen";5;5
"1.4.3 Openlijk geweld (persoon)";"2020";"Amstelveen";10;7
"1.4.3 Openlijk geweld (persoon)";"2021";"Amstelveen";6;6
"1.4.3 Openlijk geweld (persoon)";"2022";"Amstelveen";16;16
"1.4.3 Openlijk geweld (persoon)";"2023";"Amstelveen";15;13
"1.4.3 Openlijk geweld (persoon)";"2012";"Amsterdam";366;364
"1.4.3 Openlijk geweld (persoon)";"2013";"Amsterdam";376;346
"1.4.3 Openlijk geweld (persoon)";"2014";"Amsterdam";295;312
"1.4.3 Openlijk geweld (persoon)";"2015";"Amsterdam";242;258
"1.4.3 Openlijk geweld (persoon)";"2016";"Amsterdam";278;286
"1.4.3 Openlijk geweld (persoon)";"2017";"Amsterdam";231;262
"1.4.3 Openlijk geweld (persoon)";"2018";"Amsterdam";230;223
"1.4.3 Openlijk geweld (persoon)";"2019";"Amsterdam";265;241
"1.4.3 Openlijk geweld (persoon)";"2020";"Amsterdam";173;140
"1.4.3 Openlijk geweld (persoon)";"2021";"Amsterdam";313;207
"1.4.3 Openlijk geweld (persoon)";"2022";"Amsterdam";323;317
"1.4.3 Openlijk geweld (persoon)";"2023";"Amsterdam";320;274
"1.4.3 Openlijk geweld (persoon)";"2012";"Apeldoorn";50;48
"1.4.3 Openlijk geweld (persoon)";"2013";"Apeldoorn";39;34
"1.4.3 Openlijk geweld (persoon)";"2014";"Apeldoorn";40;39
"1.4.3 Openlijk geweld (persoon)";"2015";"Apeldoorn";31;30
"1.4.3 Openlijk geweld (persoon)";"2016";"Apeldoorn";26;25
"1.4.3 Openlijk geweld (persoon)";"2017";"Apeldoorn";58;58
"1.4.3 Openlijk geweld (persoon)";"2018";"Apeldoorn";30;30
"1.4.3 Openlijk geweld (persoon)";"2019";"Apeldoorn";39;36
"1.4.3 Openlijk geweld (persoon)";"2020";"Apeldoorn";15;14
"1.4.3 Openlijk geweld (persoon)";"2021";"Apeldoorn";24;20
"1.4.3 Openlijk geweld (persoon)";"2022";"Apeldoorn";29;28
"1.4.3 Openlijk geweld (persoon)";"2023";"Apeldoorn";33;34
"1.4.3 Openlijk geweld (persoon)";"2012";"Arnhem";117;104
"1.4.3 Openlijk geweld (persoon)";"2013";"Arnhem";101;87
"1.4.3 Openlijk geweld (persoon)";"2014";"Arnhem";108;96
"1.4.3 Openlijk geweld (persoon)";"2015";"Arnhem";80;71
"1.4.3 Openlijk geweld (persoon)";"2016";"Arnhem";96;89
"1.4.3 Openlijk geweld (persoon)";"2017";"Arnhem";91;82
"1.4.3 Openlijk geweld (persoon)";"2018";"Arnhem";77;74
"1.4.3 Openlijk geweld (persoon)";"2019";"Arnhem";82;66
"1.4.3 Openlijk geweld (persoon)";"2020";"Arnhem";71;59
"1.4.3 Openlijk geweld (persoon)";"2021";"Arnhem";67;59
"1.4.3 Openlijk geweld (persoon)";"2022";"Arnhem";71;67
"1.4.3 Openlijk geweld (persoon)";"2023";"Arnhem";67;65
"1.4.3 Openlijk geweld (persoon)";"2012";"Assen";21;15
"1.4.3 Openlijk geweld (persoon)";"2013";"Assen";24;23
"1.4.3 Openlijk geweld (persoon)";"2014";"Assen";14;14
"1.4.3 Openlijk geweld (persoon)";"2015";"Assen";17;15
"1.4.3 Openlijk geweld (persoon)";"2016";"Assen";28;25
"1.4.3 Openlijk geweld (persoon)";"2017";"Assen";10;9
"1.4.3 Openlijk geweld (persoon)";"2018";"Assen";4;2
"1.4.3 Openlijk geweld (persoon)";"2019";"Assen";9;8
"1.4.3 Openlijk geweld (persoon)";"2020";"Assen";8;8
"1.4.3 Openlijk geweld (persoon)";"2021";"Assen";13;11
"1.4.3 Openlijk geweld (persoon)";"2022";"Assen";17;17
"1.4.3 Openlijk geweld (persoon)";"2023";"Assen";23;18
"1.4.3 Openlijk geweld (persoon)";"2012";"Asten";9;10
"1.4.3 Openlijk geweld (persoon)";"2013";"Asten";1;2
"1.4.3 Openlijk geweld (persoon)";"2014";"Asten";6;5
"1.4.3 Openlijk geweld (persoon)";"2015";"Asten";3;3
"1.4.3 Openlijk geweld (persoon)";"2016";"Asten";2;2
"1.4.3 Openlijk geweld (persoon)";"2017";"Asten";2;1
"1.4.3 Openlijk geweld (persoon)";"2018";"Asten";4;4
"1.4.3 Openlijk geweld (persoon)";"2019";"Asten";10;10
"1.4.3 Openlijk geweld (persoon)";"2020";"Asten";4;1
"1.4.3 Openlijk geweld (persoon)";"2021";"Asten";1;1
"1.4.3 Openlijk geweld (persoon)";"2022";"Asten";5;5
"1.4.3 Openlijk geweld (persoon)";"2023";"Asten";14;14
"1.4.3 Openlijk geweld (persoon)";"2012";"Baarle-Nassau";2;2
"1.4.3 Openlijk geweld (persoon)";"2013";"Baarle-Nassau";;
"1.4.3 Openlijk geweld (persoon)";"2014";"Baarle-Nassau";;
