"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.5.2 Diefstallen (water)";"2012";"Nederland";3177;3067
"1.5.2 Diefstallen (water)";"2013";"Nederland";3142;3063
"1.5.2 Diefstallen (water)";"2014";"Nederland";2951;2893
"1.5.2 Diefstallen (water)";"2015";"Nederland";2383;2323
"1.5.2 Diefstallen (water)";"2016";"Nederland";2213;2157
"1.5.2 Diefstallen (water)";"2017";"Nederland";1946;1855
"1.5.2 Diefstallen (water)";"2018";"Nederland";1687;1628
"1.5.2 Diefstallen (water)";"2019";"Nederland";1560;1522
"1.5.2 Diefstallen (water)";"2020";"Nederland";1669;1603
"1.5.2 Diefstallen (water)";"2021";"Nederland";1229;1203
"1.5.2 Diefstallen (water)";"2022";"Nederland";1184;1167
"1.5.2 Diefstallen (water)";"2023";"Nederland";943;902
"1.5.2 Diefstallen (water)";"2012";"Aa en Hunze";1;
"1.5.2 Diefstallen (water)";"2013";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2014";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2015";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2016";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2017";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2018";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2019";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2020";"Aa en Hunze";1;1
"1.5.2 Diefstallen (water)";"2021";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2022";"Aa en Hunze";1;1
"1.5.2 Diefstallen (water)";"2023";"Aa en Hunze";;
"1.5.2 Diefstallen (water)";"2012";"Aalsmeer";29;26
"1.5.2 Diefstallen (water)";"2013";"Aalsmeer";41;40
"1.5.2 Diefstallen (water)";"2014";"Aalsmeer";17;18
"1.5.2 Diefstallen (water)";"2015";"Aalsmeer";16;16
"1.5.2 Diefstallen (water)";"2016";"Aalsmeer";23;23
"1.5.2 Diefstallen (water)";"2017";"Aalsmeer";34;34
"1.5.2 Diefstallen (water)";"2018";"Aalsmeer";18;18
"1.5.2 Diefstallen (water)";"2019";"Aalsmeer";12;12
"1.5.2 Diefstallen (water)";"2020";"Aalsmeer";16;15
"1.5.2 Diefstallen (water)";"2021";"Aalsmeer";11;11
"1.5.2 Diefstallen (water)";"2022";"Aalsmeer";17;16
"1.5.2 Diefstallen (water)";"2023";"Aalsmeer";5;5
"1.5.2 Diefstallen (water)";"2012";"Aalten";;
"1.5.2 Diefstallen (water)";"2013";"Aalten";;
"1.5.2 Diefstallen (water)";"2014";"Aalten";;
"1.5.2 Diefstallen (water)";"2015";"Aalten";;
"1.5.2 Diefstallen (water)";"2016";"Aalten";;
"1.5.2 Diefstallen (water)";"2017";"Aalten";1;1
"1.5.2 Diefstallen (water)";"2018";"Aalten";;
"1.5.2 Diefstallen (water)";"2019";"Aalten";;
"1.5.2 Diefstallen (water)";"2020";"Aalten";;
"1.5.2 Diefstallen (water)";"2021";"Aalten";;
"1.5.2 Diefstallen (water)";"2022";"Aalten";;
"1.5.2 Diefstallen (water)";"2023";"Aalten";;
"1.5.2 Diefstallen (water)";"2012";"Achtkarspelen";;
"1.5.2 Diefstallen (water)";"2013";"Achtkarspelen";2;2
"1.5.2 Diefstallen (water)";"2014";"Achtkarspelen";2;2
"1.5.2 Diefstallen (water)";"2015";"Achtkarspelen";2;2
"1.5.2 Diefstallen (water)";"2016";"Achtkarspelen";4;4
"1.5.2 Diefstallen (water)";"2017";"Achtkarspelen";;
"1.5.2 Diefstallen (water)";"2018";"Achtkarspelen";5;5
"1.5.2 Diefstallen (water)";"2019";"Achtkarspelen";1;1
"1.5.2 Diefstallen (water)";"2020";"Achtkarspelen";1;1
"1.5.2 Diefstallen (water)";"2021";"Achtkarspelen";;
"1.5.2 Diefstallen (water)";"2022";"Achtkarspelen";;
"1.5.2 Diefstallen (water)";"2023";"Achtkarspelen";;
"1.5.2 Diefstallen (water)";"2012";"Alblasserdam";1;1
"1.5.2 Diefstallen (water)";"2013";"Alblasserdam";4;4
"1.5.2 Diefstallen (water)";"2014";"Alblasserdam";3;3
"1.5.2 Diefstallen (water)";"2015";"Alblasserdam";2;2
"1.5.2 Diefstallen (water)";"2016";"Alblasserdam";;
"1.5.2 Diefstallen (water)";"2017";"Alblasserdam";1;1
"1.5.2 Diefstallen (water)";"2018";"Alblasserdam";;
"1.5.2 Diefstallen (water)";"2019";"Alblasserdam";2;2
"1.5.2 Diefstallen (water)";"2020";"Alblasserdam";6;6
"1.5.2 Diefstallen (water)";"2021";"Alblasserdam";1;1
"1.5.2 Diefstallen (water)";"2022";"Alblasserdam";;
"1.5.2 Diefstallen (water)";"2023";"Alblasserdam";1;1
"1.5.2 Diefstallen (water)";"2012";"Albrandswaard";2;2
"1.5.2 Diefstallen (water)";"2013";"Albrandswaard";5;5
"1.5.2 Diefstallen (water)";"2014";"Albrandswaard";1;1
"1.5.2 Diefstallen (water)";"2015";"Albrandswaard";;
"1.5.2 Diefstallen (water)";"2016";"Albrandswaard";;
"1.5.2 Diefstallen (water)";"2017";"Albrandswaard";1;1
"1.5.2 Diefstallen (water)";"2018";"Albrandswaard";1;1
"1.5.2 Diefstallen (water)";"2019";"Albrandswaard";1;1
"1.5.2 Diefstallen (water)";"2020";"Albrandswaard";1;1
"1.5.2 Diefstallen (water)";"2021";"Albrandswaard";;
"1.5.2 Diefstallen (water)";"2022";"Albrandswaard";1;1
"1.5.2 Diefstallen (water)";"2023";"Albrandswaard";2;2
"1.5.2 Diefstallen (water)";"2012";"Alkmaar";29;29
"1.5.2 Diefstallen (water)";"2013";"Alkmaar";74;74
"1.5.2 Diefstallen (water)";"2014";"Alkmaar";62;60
"1.5.2 Diefstallen (water)";"2015";"Alkmaar";45;42
"1.5.2 Diefstallen (water)";"2016";"Alkmaar";28;26
"1.5.2 Diefstallen (water)";"2017";"Alkmaar";40;39
"1.5.2 Diefstallen (water)";"2018";"Alkmaar";24;24
"1.5.2 Diefstallen (water)";"2019";"Alkmaar";34;34
"1.5.2 Diefstallen (water)";"2020";"Alkmaar";36;36
"1.5.2 Diefstallen (water)";"2021";"Alkmaar";26;24
"1.5.2 Diefstallen (water)";"2022";"Alkmaar";17;17
"1.5.2 Diefstallen (water)";"2023";"Alkmaar";11;11
"1.5.2 Diefstallen (water)";"2012";"Almelo";;
"1.5.2 Diefstallen (water)";"2013";"Almelo";3;3
"1.5.2 Diefstallen (water)";"2014";"Almelo";1;1
"1.5.2 Diefstallen (water)";"2015";"Almelo";1;1
"1.5.2 Diefstallen (water)";"2016";"Almelo";2;2
"1.5.2 Diefstallen (water)";"2017";"Almelo";2;2
"1.5.2 Diefstallen (water)";"2018";"Almelo";1;1
"1.5.2 Diefstallen (water)";"2019";"Almelo";3;3
"1.5.2 Diefstallen (water)";"2020";"Almelo";2;2
"1.5.2 Diefstallen (water)";"2021";"Almelo";;
"1.5.2 Diefstallen (water)";"2022";"Almelo";;
"1.5.2 Diefstallen (water)";"2023";"Almelo";;
"1.5.2 Diefstallen (water)";"2012";"Almere";59;57
"1.5.2 Diefstallen (water)";"2013";"Almere";64;64
"1.5.2 Diefstallen (water)";"2014";"Almere";58;59
"1.5.2 Diefstallen (water)";"2015";"Almere";36;33
"1.5.2 Diefstallen (water)";"2016";"Almere";48;47
"1.5.2 Diefstallen (water)";"2017";"Almere";38;36
"1.5.2 Diefstallen (water)";"2018";"Almere";47;44
"1.5.2 Diefstallen (water)";"2019";"Almere";62;61
"1.5.2 Diefstallen (water)";"2020";"Almere";24;24
"1.5.2 Diefstallen (water)";"2021";"Almere";44;44
"1.5.2 Diefstallen (water)";"2022";"Almere";19;19
"1.5.2 Diefstallen (water)";"2023";"Almere";16;15
"1.5.2 Diefstallen (water)";"2012";"Alphen aan den Rijn";15;15
"1.5.2 Diefstallen (water)";"2013";"Alphen aan den Rijn";20;20
"1.5.2 Diefstallen (water)";"2014";"Alphen aan den Rijn";8;8
"1.5.2 Diefstallen (water)";"2015";"Alphen aan den Rijn";5;4
"1.5.2 Diefstallen (water)";"2016";"Alphen aan den Rijn";3;2
"1.5.2 Diefstallen (water)";"2017";"Alphen aan den Rijn";3;3
"1.5.2 Diefstallen (water)";"2018";"Alphen aan den Rijn";3;3
"1.5.2 Diefstallen (water)";"2019";"Alphen aan den Rijn";6;6
"1.5.2 Diefstallen (water)";"2020";"Alphen aan den Rijn";10;10
"1.5.2 Diefstallen (water)";"2021";"Alphen aan den Rijn";1;1
"1.5.2 Diefstallen (water)";"2022";"Alphen aan den Rijn";2;2
"1.5.2 Diefstallen (water)";"2023";"Alphen aan den Rijn";7;7
"1.5.2 Diefstallen (water)";"2012";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2013";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2014";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2015";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2016";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2017";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2018";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2019";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2020";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2021";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2022";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2023";"Alphen-Chaam";;
"1.5.2 Diefstallen (water)";"2012";"Altena";33;31
"1.5.2 Diefstallen (water)";"2013";"Altena";32;32
"1.5.2 Diefstallen (water)";"2014";"Altena";39;38
"1.5.2 Diefstallen (water)";"2015";"Altena";29;29
"1.5.2 Diefstallen (water)";"2016";"Altena";15;14
"1.5.2 Diefstallen (water)";"2017";"Altena";19;19
"1.5.2 Diefstallen (water)";"2018";"Altena";15;15
"1.5.2 Diefstallen (water)";"2019";"Altena";38;37
"1.5.2 Diefstallen (water)";"2020";"Altena";34;31
"1.5.2 Diefstallen (water)";"2021";"Altena";28;26
"1.5.2 Diefstallen (water)";"2022";"Altena";11;11
"1.5.2 Diefstallen (water)";"2023";"Altena";6;6
"1.5.2 Diefstallen (water)";"2012";"Ameland";;
"1.5.2 Diefstallen (water)";"2013";"Ameland";1;1
"1.5.2 Diefstallen (water)";"2014";"Ameland";;
"1.5.2 Diefstallen (water)";"2015";"Ameland";;
"1.5.2 Diefstallen (water)";"2016";"Ameland";;
"1.5.2 Diefstallen (water)";"2017";"Ameland";1;1
"1.5.2 Diefstallen (water)";"2018";"Ameland";;
"1.5.2 Diefstallen (water)";"2019";"Ameland";;
"1.5.2 Diefstallen (water)";"2020";"Ameland";;
"1.5.2 Diefstallen (water)";"2021";"Ameland";;
"1.5.2 Diefstallen (water)";"2022";"Ameland";;
"1.5.2 Diefstallen (water)";"2023";"Ameland";;
"1.5.2 Diefstallen (water)";"2012";"Amersfoort";7;5
"1.5.2 Diefstallen (water)";"2013";"Amersfoort";4;4
"1.5.2 Diefstallen (water)";"2014";"Amersfoort";9;6
"1.5.2 Diefstallen (water)";"2015";"Amersfoort";15;15
"1.5.2 Diefstallen (water)";"2016";"Amersfoort";5;5
"1.5.2 Diefstallen (water)";"2017";"Amersfoort";3;3
"1.5.2 Diefstallen (water)";"2018";"Amersfoort";1;1
"1.5.2 Diefstallen (water)";"2019";"Amersfoort";7;6
"1.5.2 Diefstallen (water)";"2020";"Amersfoort";2;2
"1.5.2 Diefstallen (water)";"2021";"Amersfoort";3;3
"1.5.2 Diefstallen (water)";"2022";"Amersfoort";1;1
"1.5.2 Diefstallen (water)";"2023";"Amersfoort";2;2
"1.5.2 Diefstallen (water)";"2012";"Amstelveen";5;5
"1.5.2 Diefstallen (water)";"2013";"Amstelveen";3;3
"1.5.2 Diefstallen (water)";"2014";"Amstelveen";9;9
"1.5.2 Diefstallen (water)";"2015";"Amstelveen";4;4
"1.5.2 Diefstallen (water)";"2016";"Amstelveen";4;4
"1.5.2 Diefstallen (water)";"2017";"Amstelveen";3;3
"1.5.2 Diefstallen (water)";"2018";"Amstelveen";2;2
"1.5.2 Diefstallen (water)";"2019";"Amstelveen";3;3
"1.5.2 Diefstallen (water)";"2020";"Amstelveen";2;2
"1.5.2 Diefstallen (water)";"2021";"Amstelveen";2;2
"1.5.2 Diefstallen (water)";"2022";"Amstelveen";;
"1.5.2 Diefstallen (water)";"2023";"Amstelveen";8;7
"1.5.2 Diefstallen (water)";"2012";"Amsterdam";341;334
"1.5.2 Diefstallen (water)";"2013";"Amsterdam";437;432
"1.5.2 Diefstallen (water)";"2014";"Amsterdam";324;317
"1.5.2 Diefstallen (water)";"2015";"Amsterdam";316;306
"1.5.2 Diefstallen (water)";"2016";"Amsterdam";222;216
"1.5.2 Diefstallen (water)";"2017";"Amsterdam";191;176
"1.5.2 Diefstallen (water)";"2018";"Amsterdam";174;173
