"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"3.5.2 Onder invloed (weg)";"2012";"Nederland";40277;316
"3.5.2 Onder invloed (weg)";"2013";"Nederland";35415;239
"3.5.2 Onder invloed (weg)";"2014";"Nederland";31360;191
"3.5.2 Onder invloed (weg)";"2015";"Nederland";26715;154
"3.5.2 Onder invloed (weg)";"2016";"Nederland";26057;150
"3.5.2 Onder invloed (weg)";"2017";"Nederland";25427;144
"3.5.2 Onder invloed (weg)";"2018";"Nederland";28547;107
"3.5.2 Onder invloed (weg)";"2019";"Nederland";32541;86
"3.5.2 Onder invloed (weg)";"2020";"Nederland";29285;65
"3.5.2 Onder invloed (weg)";"2021";"Nederland";31584;55
"3.5.2 Onder invloed (weg)";"2022";"Nederland";43388;25
"3.5.2 Onder invloed (weg)";"2023";"Nederland";42770;13
"3.5.2 Onder invloed (weg)";"2012";"Aa en Hunze";30;
"3.5.2 Onder invloed (weg)";"2013";"Aa en Hunze";19;1
"3.5.2 Onder invloed (weg)";"2014";"Aa en Hunze";16;
"3.5.2 Onder invloed (weg)";"2015";"Aa en Hunze";22;
"3.5.2 Onder invloed (weg)";"2016";"Aa en Hunze";18;
"3.5.2 Onder invloed (weg)";"2017";"Aa en Hunze";24;
"3.5.2 Onder invloed (weg)";"2018";"Aa en Hunze";26;
"3.5.2 Onder invloed (weg)";"2019";"Aa en Hunze";32;
"3.5.2 Onder invloed (weg)";"2020";"Aa en Hunze";26;
"3.5.2 Onder invloed (weg)";"2021";"Aa en Hunze";31;
"3.5.2 Onder invloed (weg)";"2022";"Aa en Hunze";28;
"3.5.2 Onder invloed (weg)";"2023";"Aa en Hunze";33;
"3.5.2 Onder invloed (weg)";"2012";"Aalsmeer";38;
"3.5.2 Onder invloed (weg)";"2013";"Aalsmeer";28;1
"3.5.2 Onder invloed (weg)";"2014";"Aalsmeer";58;
"3.5.2 Onder invloed (weg)";"2015";"Aalsmeer";47;4
"3.5.2 Onder invloed (weg)";"2016";"Aalsmeer";42;
"3.5.2 Onder invloed (weg)";"2017";"Aalsmeer";55;
"3.5.2 Onder invloed (weg)";"2018";"Aalsmeer";66;
"3.5.2 Onder invloed (weg)";"2019";"Aalsmeer";48;
"3.5.2 Onder invloed (weg)";"2020";"Aalsmeer";40;
"3.5.2 Onder invloed (weg)";"2021";"Aalsmeer";30;
"3.5.2 Onder invloed (weg)";"2022";"Aalsmeer";71;
"3.5.2 Onder invloed (weg)";"2023";"Aalsmeer";70;
"3.5.2 Onder invloed (weg)";"2012";"Aalten";21;
"3.5.2 Onder invloed (weg)";"2013";"Aalten";16;
"3.5.2 Onder invloed (weg)";"2014";"Aalten";17;
"3.5.2 Onder invloed (weg)";"2015";"Aalten";33;
"3.5.2 Onder invloed (weg)";"2016";"Aalten";16;
"3.5.2 Onder invloed (weg)";"2017";"Aalten";31;
"3.5.2 Onder invloed (weg)";"2018";"Aalten";42;
"3.5.2 Onder invloed (weg)";"2019";"Aalten";33;
"3.5.2 Onder invloed (weg)";"2020";"Aalten";11;
"3.5.2 Onder invloed (weg)";"2021";"Aalten";11;
"3.5.2 Onder invloed (weg)";"2022";"Aalten";40;
"3.5.2 Onder invloed (weg)";"2023";"Aalten";41;
"3.5.2 Onder invloed (weg)";"2012";"Achtkarspelen";45;2
"3.5.2 Onder invloed (weg)";"2013";"Achtkarspelen";34;
"3.5.2 Onder invloed (weg)";"2014";"Achtkarspelen";36;
"3.5.2 Onder invloed (weg)";"2015";"Achtkarspelen";40;2
"3.5.2 Onder invloed (weg)";"2016";"Achtkarspelen";34;
"3.5.2 Onder invloed (weg)";"2017";"Achtkarspelen";34;
"3.5.2 Onder invloed (weg)";"2018";"Achtkarspelen";44;
"3.5.2 Onder invloed (weg)";"2019";"Achtkarspelen";77;
"3.5.2 Onder invloed (weg)";"2020";"Achtkarspelen";80;
"3.5.2 Onder invloed (weg)";"2021";"Achtkarspelen";65;
"3.5.2 Onder invloed (weg)";"2022";"Achtkarspelen";76;
"3.5.2 Onder invloed (weg)";"2023";"Achtkarspelen";69;
"3.5.2 Onder invloed (weg)";"2012";"Alblasserdam";50;
"3.5.2 Onder invloed (weg)";"2013";"Alblasserdam";42;
"3.5.2 Onder invloed (weg)";"2014";"Alblasserdam";30;
"3.5.2 Onder invloed (weg)";"2015";"Alblasserdam";34;
"3.5.2 Onder invloed (weg)";"2016";"Alblasserdam";54;
"3.5.2 Onder invloed (weg)";"2017";"Alblasserdam";25;
"3.5.2 Onder invloed (weg)";"2018";"Alblasserdam";34;
"3.5.2 Onder invloed (weg)";"2019";"Alblasserdam";30;
"3.5.2 Onder invloed (weg)";"2020";"Alblasserdam";34;
"3.5.2 Onder invloed (weg)";"2021";"Alblasserdam";25;
"3.5.2 Onder invloed (weg)";"2022";"Alblasserdam";31;
"3.5.2 Onder invloed (weg)";"2023";"Alblasserdam";26;
"3.5.2 Onder invloed (weg)";"2012";"Albrandswaard";34;
"3.5.2 Onder invloed (weg)";"2013";"Albrandswaard";30;1
"3.5.2 Onder invloed (weg)";"2014";"Albrandswaard";17;
"3.5.2 Onder invloed (weg)";"2015";"Albrandswaard";22;
"3.5.2 Onder invloed (weg)";"2016";"Albrandswaard";16;
"3.5.2 Onder invloed (weg)";"2017";"Albrandswaard";14;2
"3.5.2 Onder invloed (weg)";"2018";"Albrandswaard";21;
"3.5.2 Onder invloed (weg)";"2019";"Albrandswaard";14;
"3.5.2 Onder invloed (weg)";"2020";"Albrandswaard";21;
"3.5.2 Onder invloed (weg)";"2021";"Albrandswaard";27;
"3.5.2 Onder invloed (weg)";"2022";"Albrandswaard";29;
"3.5.2 Onder invloed (weg)";"2023";"Albrandswaard";33;
"3.5.2 Onder invloed (weg)";"2012";"Alkmaar";427;
"3.5.2 Onder invloed (weg)";"2013";"Alkmaar";359;
"3.5.2 Onder invloed (weg)";"2014";"Alkmaar";287;
"3.5.2 Onder invloed (weg)";"2015";"Alkmaar";255;1
"3.5.2 Onder invloed (weg)";"2016";"Alkmaar";239;
"3.5.2 Onder invloed (weg)";"2017";"Alkmaar";240;1
"3.5.2 Onder invloed (weg)";"2018";"Alkmaar";231;1
"3.5.2 Onder invloed (weg)";"2019";"Alkmaar";211;
"3.5.2 Onder invloed (weg)";"2020";"Alkmaar";185;
"3.5.2 Onder invloed (weg)";"2021";"Alkmaar";221;1
"3.5.2 Onder invloed (weg)";"2022";"Alkmaar";341;
"3.5.2 Onder invloed (weg)";"2023";"Alkmaar";384;
"3.5.2 Onder invloed (weg)";"2012";"Almelo";92;
"3.5.2 Onder invloed (weg)";"2013";"Almelo";86;
"3.5.2 Onder invloed (weg)";"2014";"Almelo";96;
"3.5.2 Onder invloed (weg)";"2015";"Almelo";75;2
"3.5.2 Onder invloed (weg)";"2016";"Almelo";92;
"3.5.2 Onder invloed (weg)";"2017";"Almelo";94;1
"3.5.2 Onder invloed (weg)";"2018";"Almelo";128;
"3.5.2 Onder invloed (weg)";"2019";"Almelo";213;
"3.5.2 Onder invloed (weg)";"2020";"Almelo";302;
"3.5.2 Onder invloed (weg)";"2021";"Almelo";253;
"3.5.2 Onder invloed (weg)";"2022";"Almelo";331;
"3.5.2 Onder invloed (weg)";"2023";"Almelo";204;
"3.5.2 Onder invloed (weg)";"2012";"Almere";407;8
"3.5.2 Onder invloed (weg)";"2013";"Almere";293;2
"3.5.2 Onder invloed (weg)";"2014";"Almere";336;4
"3.5.2 Onder invloed (weg)";"2015";"Almere";431;2
"3.5.2 Onder invloed (weg)";"2016";"Almere";398;2
"3.5.2 Onder invloed (weg)";"2017";"Almere";333;
"3.5.2 Onder invloed (weg)";"2018";"Almere";423;2
"3.5.2 Onder invloed (weg)";"2019";"Almere";457;
"3.5.2 Onder invloed (weg)";"2020";"Almere";307;1
"3.5.2 Onder invloed (weg)";"2021";"Almere";341;
"3.5.2 Onder invloed (weg)";"2022";"Almere";480;
"3.5.2 Onder invloed (weg)";"2023";"Almere";529;
"3.5.2 Onder invloed (weg)";"2012";"Alphen aan den Rijn";173;5
"3.5.2 Onder invloed (weg)";"2013";"Alphen aan den Rijn";181;
"3.5.2 Onder invloed (weg)";"2014";"Alphen aan den Rijn";147;4
"3.5.2 Onder invloed (weg)";"2015";"Alphen aan den Rijn";149;3
"3.5.2 Onder invloed (weg)";"2016";"Alphen aan den Rijn";165;2
"3.5.2 Onder invloed (weg)";"2017";"Alphen aan den Rijn";171;
"3.5.2 Onder invloed (weg)";"2018";"Alphen aan den Rijn";195;
"3.5.2 Onder invloed (weg)";"2019";"Alphen aan den Rijn";191;1
"3.5.2 Onder invloed (weg)";"2020";"Alphen aan den Rijn";135;
"3.5.2 Onder invloed (weg)";"2021";"Alphen aan den Rijn";149;
"3.5.2 Onder invloed (weg)";"2022";"Alphen aan den Rijn";248;
"3.5.2 Onder invloed (weg)";"2023";"Alphen aan den Rijn";259;
"3.5.2 Onder invloed (weg)";"2012";"Alphen-Chaam";24;1
"3.5.2 Onder invloed (weg)";"2013";"Alphen-Chaam";17;2
"3.5.2 Onder invloed (weg)";"2014";"Alphen-Chaam";15;
"3.5.2 Onder invloed (weg)";"2015";"Alphen-Chaam";4;
"3.5.2 Onder invloed (weg)";"2016";"Alphen-Chaam";10;
"3.5.2 Onder invloed (weg)";"2017";"Alphen-Chaam";5;
"3.5.2 Onder invloed (weg)";"2018";"Alphen-Chaam";12;1
"3.5.2 Onder invloed (weg)";"2019";"Alphen-Chaam";8;
"3.5.2 Onder invloed (weg)";"2020";"Alphen-Chaam";11;
"3.5.2 Onder invloed (weg)";"2021";"Alphen-Chaam";11;
"3.5.2 Onder invloed (weg)";"2022";"Alphen-Chaam";9;
"3.5.2 Onder invloed (weg)";"2023";"Alphen-Chaam";11;
"3.5.2 Onder invloed (weg)";"2012";"Altena";59;
"3.5.2 Onder invloed (weg)";"2013";"Altena";52;
"3.5.2 Onder invloed (weg)";"2014";"Altena";41;
"3.5.2 Onder invloed (weg)";"2015";"Altena";39;
"3.5.2 Onder invloed (weg)";"2016";"Altena";35;
"3.5.2 Onder invloed (weg)";"2017";"Altena";48;1
"3.5.2 Onder invloed (weg)";"2018";"Altena";36;
"3.5.2 Onder invloed (weg)";"2019";"Altena";50;
"3.5.2 Onder invloed (weg)";"2020";"Altena";81;
"3.5.2 Onder invloed (weg)";"2021";"Altena";88;
"3.5.2 Onder invloed (weg)";"2022";"Altena";105;1
"3.5.2 Onder invloed (weg)";"2023";"Altena";100;
"3.5.2 Onder invloed (weg)";"2012";"Ameland";6;
"3.5.2 Onder invloed (weg)";"2013";"Ameland";10;
"3.5.2 Onder invloed (weg)";"2014";"Ameland";4;
"3.5.2 Onder invloed (weg)";"2015";"Ameland";9;
"3.5.2 Onder invloed (weg)";"2016";"Ameland";7;
"3.5.2 Onder invloed (weg)";"2017";"Ameland";8;
"3.5.2 Onder invloed (weg)";"2018";"Ameland";7;
"3.5.2 Onder invloed (weg)";"2019";"Ameland";7;
"3.5.2 Onder invloed (weg)";"2020";"Ameland";7;
"3.5.2 Onder invloed (weg)";"2021";"Ameland";10;
"3.5.2 Onder invloed (weg)";"2022";"Ameland";6;
"3.5.2 Onder invloed (weg)";"2023";"Ameland";4;
"3.5.2 Onder invloed (weg)";"2012";"Amersfoort";231;1
"3.5.2 Onder invloed (weg)";"2013";"Amersfoort";345;
"3.5.2 Onder invloed (weg)";"2014";"Amersfoort";348;
"3.5.2 Onder invloed (weg)";"2015";"Amersfoort";344;1
"3.5.2 Onder invloed (weg)";"2016";"Amersfoort";283;
"3.5.2 Onder invloed (weg)";"2017";"Amersfoort";277;1
"3.5.2 Onder invloed (weg)";"2018";"Amersfoort";358;1
"3.5.2 Onder invloed (weg)";"2019";"Amersfoort";324;1
"3.5.2 Onder invloed (weg)";"2020";"Amersfoort";217;
"3.5.2 Onder invloed (weg)";"2021";"Amersfoort";231;
"3.5.2 Onder invloed (weg)";"2022";"Amersfoort";425;
"3.5.2 Onder invloed (weg)";"2023";"Amersfoort";302;
"3.5.2 Onder invloed (weg)";"2012";"Amstelveen";132;5
"3.5.2 Onder invloed (weg)";"2013";"Amstelveen";96;2
"3.5.2 Onder invloed (weg)";"2014";"Amstelveen";106;4
"3.5.2 Onder invloed (weg)";"2015";"Amstelveen";118;
"3.5.2 Onder invloed (weg)";"2016";"Amstelveen";95;
"3.5.2 Onder invloed (weg)";"2017";"Amstelveen";109;
"3.5.2 Onder invloed (weg)";"2018";"Amstelveen";69;1
"3.5.2 Onder invloed (weg)";"2019";"Amstelveen";96;1
"3.5.2 Onder invloed (weg)";"2020";"Amstelveen";138;
"3.5.2 Onder invloed (weg)";"2021";"Amstelveen";122;
"3.5.2 Onder invloed (weg)";"2022";"Amstelveen";141;1
"3.5.2 Onder invloed (weg)";"2023";"Amstelveen";123;
"3.5.2 Onder invloed (weg)";"2012";"Amsterdam";2870;24
"3.5.2 Onder invloed (weg)";"2013";"Amsterdam";2177;39
"3.5.2 Onder invloed (weg)";"2014";"Amsterdam";2009;21
"3.5.2 Onder invloed (weg)";"2015";"Amsterdam";1704;18
"3.5.2 Onder invloed (weg)";"2016";"Amsterdam";1556;16
"3.5.2 Onder invloed (weg)";"2017";"Amsterdam";1517;22
"3.5.2 Onder invloed (weg)";"2018";"Amsterdam";1445;16
"3.5.2 Onder invloed (weg)";"2019";"Amsterdam";1559;1
"3.5.2 Onder invloed (weg)";"2020";"Amsterdam";1274;7
"3.5.2 Onder invloed (weg)";"2021";"Amsterdam";1595;6
"3.5.2 Onder invloed (weg)";"2022";"Amsterdam";2116;3
"3.5.2 Onder invloed (weg)";"2023";"Amsterdam";2251;
"3.5.2 Onder invloed (weg)";"2012";"Apeldoorn";264;3
"3.5.2 Onder invloed (weg)";"2013";"Apeldoorn";297;2
"3.5.2 Onder invloed (weg)";"2014";"Apeldoorn";256;
"3.5.2 Onder invloed (weg)";"2015";"Apeldoorn";198;
"3.5.2 Onder invloed (weg)";"2016";"Apeldoorn";278;1
"3.5.2 Onder invloed (weg)";"2017";"Apeldoorn";263;
"3.5.2 Onder invloed (weg)";"2018";"Apeldoorn";319;
"3.5.2 Onder invloed (weg)";"2019";"Apeldoorn";475;
"3.5.2 Onder invloed (weg)";"2020";"Apeldoorn";512;
"3.5.2 Onder invloed (weg)";"2021";"Apeldoorn";287;
"3.5.2 Onder invloed (weg)";"2022";"Apeldoorn";504;
"3.5.2 Onder invloed (weg)";"2023";"Apeldoorn";405;
"3.5.2 Onder invloed (weg)";"2012";"Arnhem";331;1
"3.5.2 Onder invloed (weg)";"2013";"Arnhem";262;4
"3.5.2 Onder invloed (weg)";"2014";"Arnhem";230;1
"3.5.2 Onder invloed (weg)";"2015";"Arnhem";196;
"3.5.2 Onder invloed (weg)";"2016";"Arnhem";174;1
"3.5.2 Onder invloed (weg)";"2017";"Arnhem";184;
"3.5.2 Onder invloed (weg)";"2018";"Arnhem";223;1
"3.5.2 Onder invloed (weg)";"2019";"Arnhem";249;1
"3.5.2 Onder invloed (weg)";"2020";"Arnhem";250;1
"3.5.2 Onder invloed (weg)";"2021";"Arnhem";285;1
"3.5.2 Onder invloed (weg)";"2022";"Arnhem";389;
"3.5.2 Onder invloed (weg)";"2023";"Arnhem";414;
"3.5.2 Onder invloed (weg)";"2012";"Assen";87;
"3.5.2 Onder invloed (weg)";"2013";"Assen";78;
"3.5.2 Onder invloed (weg)";"2014";"Assen";98;
"3.5.2 Onder invloed (weg)";"2015";"Assen";93;
"3.5.2 Onder invloed (weg)";"2016";"Assen";62;
"3.5.2 Onder invloed (weg)";"2017";"Assen";86;
"3.5.2 Onder invloed (weg)";"2018";"Assen";94;
"3.5.2 Onder invloed (weg)";"2019";"Assen";182;
"3.5.2 Onder invloed (weg)";"2020";"Assen";94;
"3.5.2 Onder invloed (weg)";"2021";"Assen";133;
"3.5.2 Onder invloed (weg)";"2022";"Assen";138;
"3.5.2 Onder invloed (weg)";"2023";"Assen";136;1
"3.5.2 Onder invloed (weg)";"2012";"Asten";49;
"3.5.2 Onder invloed (weg)";"2013";"Asten";22;
"3.5.2 Onder invloed (weg)";"2014";"Asten";33;1
"3.5.2 Onder invloed (weg)";"2015";"Asten";32;
"3.5.2 Onder invloed (weg)";"2016";"Asten";40;
"3.5.2 Onder invloed (weg)";"2017";"Asten";28;
"3.5.2 Onder invloed (weg)";"2018";"Asten";28;
"3.5.2 Onder invloed (weg)";"2019";"Asten";40;
"3.5.2 Onder invloed (weg)";"2020";"Asten";29;
"3.5.2 Onder invloed (weg)";"2021";"Asten";21;
"3.5.2 Onder invloed (weg)";"2022";"Asten";48;
"3.5.2 Onder invloed (weg)";"2023";"Asten";58;
"3.5.2 Onder invloed (weg)";"2012";"Baarle-Nassau";8;
"3.5.2 Onder invloed (weg)";"2013";"Baarle-Nassau";10;
"3.5.2 Onder invloed (weg)";"2014";"Baarle-Nassau";7;
"3.5.2 Onder invloed (weg)";"2015";"Baarle-Nassau";6;
"3.5.2 Onder invloed (weg)";"2016";"Baarle-Nassau";4;
"3.5.2 Onder invloed (weg)";"2017";"Baarle-Nassau";6;
"3.5.2 Onder invloed (weg)";"2018";"Baarle-Nassau";4;
"3.5.2 Onder invloed (weg)";"2019";"Baarle-Nassau";7;
"3.5.2 Onder invloed (weg)";"2020";"Baarle-Nassau";7;
"3.5.2 Onder invloed (weg)";"2021";"Baarle-Nassau";4;
"3.5.2 Onder invloed (weg)";"2022";"Baarle-Nassau";4;
"3.5.2 Onder invloed (weg)";"2023";"Baarle-Nassau";9;
"3.5.2 Onder invloed (weg)";"2012";"Baarn";71;
"3.5.2 Onder invloed (weg)";"2013";"Baarn";68;
"3.5.2 Onder invloed (weg)";"2014";"Baarn";43;
"3.5.2 Onder invloed (weg)";"2015";"Baarn";39;
"3.5.2 Onder invloed (weg)";"2016";"Baarn";44;
"3.5.2 Onder invloed (weg)";"2017";"Baarn";41;
"3.5.2 Onder invloed (weg)";"2018";"Baarn";49;
"3.5.2 Onder invloed (weg)";"2019";"Baarn";80;
"3.5.2 Onder invloed (weg)";"2020";"Baarn";45;
"3.5.2 Onder invloed (weg)";"2021";"Baarn";40;
"3.5.2 Onder invloed (weg)";"2022";"Baarn";69;
"3.5.2 Onder invloed (weg)";"2023";"Baarn";84;
"3.5.2 Onder invloed (weg)";"2012";"Barendrecht";91;1
"3.5.2 Onder invloed (weg)";"2013";"Barendrecht";68;
"3.5.2 Onder invloed (weg)";"2014";"Barendrecht";93;
"3.5.2 Onder invloed (weg)";"2015";"Barendrecht";65;
"3.5.2 Onder invloed (weg)";"2016";"Barendrecht";45;
"3.5.2 Onder invloed (weg)";"2017";"Barendrecht";60;
"3.5.2 Onder invloed (weg)";"2018";"Barendrecht";49;
"3.5.2 Onder invloed (weg)";"2019";"Barendrecht";60;
"3.5.2 Onder invloed (weg)";"2020";"Barendrecht";48;
"3.5.2 Onder invloed (weg)";"2021";"Barendrecht";39;
"3.5.2 Onder invloed (weg)";"2022";"Barendrecht";78;
"3.5.2 Onder invloed (weg)";"2023";"Barendrecht";70;
"3.5.2 Onder invloed (weg)";"2012";"Barneveld";179;1
"3.5.2 Onder invloed (weg)";"2013";"Barneveld";165;
"3.5.2 Onder invloed (weg)";"2014";"Barneveld";105;
"3.5.2 Onder invloed (weg)";"2015";"Barneveld";131;
"3.5.2 Onder invloed (weg)";"2016";"Barneveld";115;
"3.5.2 Onder invloed (weg)";"2017";"Barneveld";92;
"3.5.2 Onder invloed (weg)";"2018";"Barneveld";174;1
"3.5.2 Onder invloed (weg)";"2019";"Barneveld";156;
"3.5.2 Onder invloed (weg)";"2020";"Barneveld";150;
"3.5.2 Onder invloed (weg)";"2021";"Barneveld";216;
"3.5.2 Onder invloed (weg)";"2022";"Barneveld";259;
"3.5.2 Onder invloed (weg)";"2023";"Barneveld";246;
"3.5.2 Onder invloed (weg)";"2012";"Beek (L.)";49;
"3.5.2 Onder invloed (weg)";"2013";"Beek (L.)";30;
"3.5.2 Onder invloed (weg)";"2014";"Beek (L.)";32;
"3.5.2 Onder invloed (weg)";"2015";"Beek (L.)";13;1
"3.5.2 Onder invloed (weg)";"2016";"Beek (L.)";5;
"3.5.2 Onder invloed (weg)";"2017";"Beek (L.)";14;
"3.5.2 Onder invloed (weg)";"2018";"Beek (L.)";10;
"3.5.2 Onder invloed (weg)";"2019";"Beek (L.)";9;
"3.5.2 Onder invloed (weg)";"2020";"Beek (L.)";15;
"3.5.2 Onder invloed (weg)";"2021";"Beek (L.)";17;
"3.5.2 Onder invloed (weg)";"2022";"Beek (L.)";30;
