"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"2.4.2 Huisvredebreuk";"2012";"Nederland";2372;1693
"2.4.2 Huisvredebreuk";"2013";"Nederland";2284;1637
"2.4.2 Huisvredebreuk";"2014";"Nederland";2371;1750
"2.4.2 Huisvredebreuk";"2015";"Nederland";2069;1596
"2.4.2 Huisvredebreuk";"2016";"Nederland";2298;1792
"2.4.2 Huisvredebreuk";"2017";"Nederland";2112;1682
"2.4.2 Huisvredebreuk";"2018";"Nederland";2328;1788
"2.4.2 Huisvredebreuk";"2019";"Nederland";2676;1921
"2.4.2 Huisvredebreuk";"2020";"Nederland";2622;1842
"2.4.2 Huisvredebreuk";"2021";"Nederland";2494;1681
"2.4.2 Huisvredebreuk";"2022";"Nederland";3032;2067
"2.4.2 Huisvredebreuk";"2023";"Nederland";3240;2182
"2.4.2 Huisvredebreuk";"2012";"Aa en Hunze";;
"2.4.2 Huisvredebreuk";"2013";"Aa en Hunze";2;2
"2.4.2 Huisvredebreuk";"2014";"Aa en Hunze";1;1
"2.4.2 Huisvredebreuk";"2015";"Aa en Hunze";;
"2.4.2 Huisvredebreuk";"2016";"Aa en Hunze";2;2
"2.4.2 Huisvredebreuk";"2017";"Aa en Hunze";;
"2.4.2 Huisvredebreuk";"2018";"Aa en Hunze";1;1
"2.4.2 Huisvredebreuk";"2019";"Aa en Hunze";1;
"2.4.2 Huisvredebreuk";"2020";"Aa en Hunze";;
"2.4.2 Huisvredebreuk";"2021";"Aa en Hunze";;
"2.4.2 Huisvredebreuk";"2022";"Aa en Hunze";1;1
"2.4.2 Huisvredebreuk";"2023";"Aa en Hunze";;
"2.4.2 Huisvredebreuk";"2012";"Aalsmeer";1;
"2.4.2 Huisvredebreuk";"2013";"Aalsmeer";1;1
"2.4.2 Huisvredebreuk";"2014";"Aalsmeer";3;3
"2.4.2 Huisvredebreuk";"2015";"Aalsmeer";1;1
"2.4.2 Huisvredebreuk";"2016";"Aalsmeer";7;6
"2.4.2 Huisvredebreuk";"2017";"Aalsmeer";3;4
"2.4.2 Huisvredebreuk";"2018";"Aalsmeer";1;1
"2.4.2 Huisvredebreuk";"2019";"Aalsmeer";2;2
"2.4.2 Huisvredebreuk";"2020";"Aalsmeer";3;1
"2.4.2 Huisvredebreuk";"2021";"Aalsmeer";6;5
"2.4.2 Huisvredebreuk";"2022";"Aalsmeer";;
"2.4.2 Huisvredebreuk";"2023";"Aalsmeer";1;1
"2.4.2 Huisvredebreuk";"2012";"Aalten";;
"2.4.2 Huisvredebreuk";"2013";"Aalten";2;2
"2.4.2 Huisvredebreuk";"2014";"Aalten";;
"2.4.2 Huisvredebreuk";"2015";"Aalten";;
"2.4.2 Huisvredebreuk";"2016";"Aalten";5;3
"2.4.2 Huisvredebreuk";"2017";"Aalten";4;4
"2.4.2 Huisvredebreuk";"2018";"Aalten";1;1
"2.4.2 Huisvredebreuk";"2019";"Aalten";2;1
"2.4.2 Huisvredebreuk";"2020";"Aalten";2;2
"2.4.2 Huisvredebreuk";"2021";"Aalten";;
"2.4.2 Huisvredebreuk";"2022";"Aalten";2;1
"2.4.2 Huisvredebreuk";"2023";"Aalten";1;
"2.4.2 Huisvredebreuk";"2012";"Achtkarspelen";1;1
"2.4.2 Huisvredebreuk";"2013";"Achtkarspelen";1;1
"2.4.2 Huisvredebreuk";"2014";"Achtkarspelen";2;2
"2.4.2 Huisvredebreuk";"2015";"Achtkarspelen";;
"2.4.2 Huisvredebreuk";"2016";"Achtkarspelen";;
"2.4.2 Huisvredebreuk";"2017";"Achtkarspelen";;
"2.4.2 Huisvredebreuk";"2018";"Achtkarspelen";4;4
"2.4.2 Huisvredebreuk";"2019";"Achtkarspelen";;
"2.4.2 Huisvredebreuk";"2020";"Achtkarspelen";;
"2.4.2 Huisvredebreuk";"2021";"Achtkarspelen";2;2
"2.4.2 Huisvredebreuk";"2022";"Achtkarspelen";1;1
"2.4.2 Huisvredebreuk";"2023";"Achtkarspelen";6;6
"2.4.2 Huisvredebreuk";"2012";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2013";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2014";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2015";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2016";"Alblasserdam";1;1
"2.4.2 Huisvredebreuk";"2017";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2018";"Alblasserdam";1;1
"2.4.2 Huisvredebreuk";"2019";"Alblasserdam";2;1
"2.4.2 Huisvredebreuk";"2020";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2021";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2022";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2023";"Alblasserdam";;
"2.4.2 Huisvredebreuk";"2012";"Albrandswaard";3;1
"2.4.2 Huisvredebreuk";"2013";"Albrandswaard";2;2
"2.4.2 Huisvredebreuk";"2014";"Albrandswaard";3;3
"2.4.2 Huisvredebreuk";"2015";"Albrandswaard";;
"2.4.2 Huisvredebreuk";"2016";"Albrandswaard";;
