"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"3.2.1 Kinderporno";"2012";"Nederland";481;65
"3.2.1 Kinderporno";"2013";"Nederland";559;81
"3.2.1 Kinderporno";"2014";"Nederland";500;81
"3.2.1 Kinderporno";"2015";"Nederland";558;76
"3.2.1 Kinderporno";"2016";"Nederland";377;86
"3.2.1 Kinderporno";"2017";"Nederland";354;77
"3.2.1 Kinderporno";"2018";"Nederland";328;78
"3.2.1 Kinderporno";"2019";"Nederland";442;104
"3.2.1 Kinderporno";"2020";"Nederland";325;68
"3.2.1 Kinderporno";"2021";"Nederland";386;90
"3.2.1 Kinderporno";"2022";"Nederland";423;91
"3.2.1 Kinderporno";"2023";"Nederland";483;179
"3.2.1 Kinderporno";"2012";"Aa en Hunze";1;
"3.2.1 Kinderporno";"2013";"Aa en Hunze";;
"3.2.1 Kinderporno";"2014";"Aa en Hunze";;
"3.2.1 Kinderporno";"2015";"Aa en Hunze";;
"3.2.1 Kinderporno";"2016";"Aa en Hunze";;
"3.2.1 Kinderporno";"2017";"Aa en Hunze";2;
"3.2.1 Kinderporno";"2018";"Aa en Hunze";;
"3.2.1 Kinderporno";"2019";"Aa en Hunze";;
"3.2.1 Kinderporno";"2020";"Aa en Hunze";;
"3.2.1 Kinderporno";"2021";"Aa en Hunze";;
"3.2.1 Kinderporno";"2022";"Aa en Hunze";;
"3.2.1 Kinderporno";"2023";"Aa en Hunze";2;2
"3.2.1 Kinderporno";"2012";"Aalsmeer";1;
"3.2.1 Kinderporno";"2013";"Aalsmeer";2;2
"3.2.1 Kinderporno";"2014";"Aalsmeer";;
"3.2.1 Kinderporno";"2015";"Aalsmeer";2;
"3.2.1 Kinderporno";"2016";"Aalsmeer";1;
"3.2.1 Kinderporno";"2017";"Aalsmeer";1;
"3.2.1 Kinderporno";"2018";"Aalsmeer";;
"3.2.1 Kinderporno";"2019";"Aalsmeer";;
"3.2.1 Kinderporno";"2020";"Aalsmeer";1;
"3.2.1 Kinderporno";"2021";"Aalsmeer";;
"3.2.1 Kinderporno";"2022";"Aalsmeer";1;1
"3.2.1 Kinderporno";"2023";"Aalsmeer";;
"3.2.1 Kinderporno";"2012";"Aalten";1;
"3.2.1 Kinderporno";"2013";"Aalten";2;1
"3.2.1 Kinderporno";"2014";"Aalten";;
"3.2.1 Kinderporno";"2015";"Aalten";;
"3.2.1 Kinderporno";"2016";"Aalten";;
"3.2.1 Kinderporno";"2017";"Aalten";1;
"3.2.1 Kinderporno";"2018";"Aalten";2;
"3.2.1 Kinderporno";"2019";"Aalten";;
"3.2.1 Kinderporno";"2020";"Aalten";;
"3.2.1 Kinderporno";"2021";"Aalten";;
"3.2.1 Kinderporno";"2022";"Aalten";;
"3.2.1 Kinderporno";"2023";"Aalten";1;1
"3.2.1 Kinderporno";"2012";"Achtkarspelen";;
"3.2.1 Kinderporno";"2013";"Achtkarspelen";;
"3.2.1 Kinderporno";"2014";"Achtkarspelen";1;
"3.2.1 Kinderporno";"2015";"Achtkarspelen";2;
"3.2.1 Kinderporno";"2016";"Achtkarspelen";2;1
"3.2.1 Kinderporno";"2017";"Achtkarspelen";3;3
"3.2.1 Kinderporno";"2018";"Achtkarspelen";1;
"3.2.1 Kinderporno";"2019";"Achtkarspelen";;
"3.2.1 Kinderporno";"2020";"Achtkarspelen";1;1
"3.2.1 Kinderporno";"2021";"Achtkarspelen";2;2
"3.2.1 Kinderporno";"2022";"Achtkarspelen";;
"3.2.1 Kinderporno";"2023";"Achtkarspelen";;
"3.2.1 Kinderporno";"2012";"Alblasserdam";;
"3.2.1 Kinderporno";"2013";"Alblasserdam";;
"3.2.1 Kinderporno";"2014";"Alblasserdam";;
"3.2.1 Kinderporno";"2015";"Alblasserdam";3;
"3.2.1 Kinderporno";"2016";"Alblasserdam";2;
"3.2.1 Kinderporno";"2017";"Alblasserdam";1;1
"3.2.1 Kinderporno";"2018";"Alblasserdam";;
"3.2.1 Kinderporno";"2019";"Alblasserdam";;
"3.2.1 Kinderporno";"2020";"Alblasserdam";;
"3.2.1 Kinderporno";"2021";"Alblasserdam";1;
"3.2.1 Kinderporno";"2022";"Alblasserdam";;
"3.2.1 Kinderporno";"2023";"Alblasserdam";;
"3.2.1 Kinderporno";"2012";"Albrandswaard";;
"3.2.1 Kinderporno";"2013";"Albrandswaard";2;1
"3.2.1 Kinderporno";"2014";"Albrandswaard";;
"3.2.1 Kinderporno";"2015";"Albrandswaard";1;
"3.2.1 Kinderporno";"2016";"Albrandswaard";1;1
"3.2.1 Kinderporno";"2017";"Albrandswaard";2;
"3.2.1 Kinderporno";"2018";"Albrandswaard";;
"3.2.1 Kinderporno";"2019";"Albrandswaard";;
"3.2.1 Kinderporno";"2020";"Albrandswaard";2;1
"3.2.1 Kinderporno";"2021";"Albrandswaard";1;1
"3.2.1 Kinderporno";"2022";"Albrandswaard";;
"3.2.1 Kinderporno";"2023";"Albrandswaard";1;1
"3.2.1 Kinderporno";"2012";"Alkmaar";8;5
"3.2.1 Kinderporno";"2013";"Alkmaar";3;2
"3.2.1 Kinderporno";"2014";"Alkmaar";3;
"3.2.1 Kinderporno";"2015";"Alkmaar";5;
"3.2.1 Kinderporno";"2016";"Alkmaar";;
"3.2.1 Kinderporno";"2017";"Alkmaar";1;1
"3.2.1 Kinderporno";"2018";"Alkmaar";3;2
"3.2.1 Kinderporno";"2019";"Alkmaar";2;
"3.2.1 Kinderporno";"2020";"Alkmaar";4;1
"3.2.1 Kinderporno";"2021";"Alkmaar";2;1
"3.2.1 Kinderporno";"2022";"Alkmaar";3;
"3.2.1 Kinderporno";"2023";"Alkmaar";2;
"3.2.1 Kinderporno";"2012";"Almelo";2;
"3.2.1 Kinderporno";"2013";"Almelo";;
"3.2.1 Kinderporno";"2014";"Almelo";1;
"3.2.1 Kinderporno";"2015";"Almelo";6;
"3.2.1 Kinderporno";"2016";"Almelo";;
