"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.6.2 Overige vermogensdelicten";"2012";"Nederland";151663;140193
"1.6.2 Overige vermogensdelicten";"2013";"Nederland";146248;135332
"1.6.2 Overige vermogensdelicten";"2014";"Nederland";133381;122918
"1.6.2 Overige vermogensdelicten";"2015";"Nederland";118279;108526
"1.6.2 Overige vermogensdelicten";"2016";"Nederland";108948;100508
"1.6.2 Overige vermogensdelicten";"2017";"Nederland";93906;85848
"1.6.2 Overige vermogensdelicten";"2018";"Nederland";86966;78677
"1.6.2 Overige vermogensdelicten";"2019";"Nederland";88449;79420
"1.6.2 Overige vermogensdelicten";"2020";"Nederland";77472;68612
"1.6.2 Overige vermogensdelicten";"2021";"Nederland";68667;60948
"1.6.2 Overige vermogensdelicten";"2022";"Nederland";82918;74522
"1.6.2 Overige vermogensdelicten";"2023";"Nederland";83444;74782
"1.6.2 Overige vermogensdelicten";"2012";"Aa en Hunze";159;140
"1.6.2 Overige vermogensdelicten";"2013";"Aa en Hunze";156;137
"1.6.2 Overige vermogensdelicten";"2014";"Aa en Hunze";139;103
"1.6.2 Overige vermogensdelicten";"2015";"Aa en Hunze";110;106
"1.6.2 Overige vermogensdelicten";"2016";"Aa en Hunze";89;85
"1.6.2 Overige vermogensdelicten";"2017";"Aa en Hunze";80;73
"1.6.2 Overige vermogensdelicten";"2018";"Aa en Hunze";81;79
"1.6.2 Overige vermogensdelicten";"2019";"Aa en Hunze";107;96
"1.6.2 Overige vermogensdelicten";"2020";"Aa en Hunze";65;60
"1.6.2 Overige vermogensdelicten";"2021";"Aa en Hunze";84;80
"1.6.2 Overige vermogensdelicten";"2022";"Aa en Hunze";72;67
"1.6.2 Overige vermogensdelicten";"2023";"Aa en Hunze";72;69
"1.6.2 Overige vermogensdelicten";"2012";"Aalsmeer";171;173
"1.6.2 Overige vermogensdelicten";"2013";"Aalsmeer";113;104
"1.6.2 Overige vermogensdelicten";"2014";"Aalsmeer";114;104
"1.6.2 Overige vermogensdelicten";"2015";"Aalsmeer";111;101
"1.6.2 Overige vermogensdelicten";"2016";"Aalsmeer";100;94
"1.6.2 Overige vermogensdelicten";"2017";"Aalsmeer";76;74
"1.6.2 Overige vermogensdelicten";"2018";"Aalsmeer";112;108
"1.6.2 Overige vermogensdelicten";"2019";"Aalsmeer";80;74
"1.6.2 Overige vermogensdelicten";"2020";"Aalsmeer";87;73
"1.6.2 Overige vermogensdelicten";"2021";"Aalsmeer";68;52
"1.6.2 Overige vermogensdelicten";"2022";"Aalsmeer";65;56
"1.6.2 Overige vermogensdelicten";"2023";"Aalsmeer";86;69
"1.6.2 Overige vermogensdelicten";"2012";"Aalten";113;106
"1.6.2 Overige vermogensdelicten";"2013";"Aalten";102;96
"1.6.2 Overige vermogensdelicten";"2014";"Aalten";94;85
"1.6.2 Overige vermogensdelicten";"2015";"Aalten";83;79
"1.6.2 Overige vermogensdelicten";"2016";"Aalten";53;49
"1.6.2 Overige vermogensdelicten";"2017";"Aalten";57;51
"1.6.2 Overige vermogensdelicten";"2018";"Aalten";58;47
"1.6.2 Overige vermogensdelicten";"2019";"Aalten";41;36
"1.6.2 Overige vermogensdelicten";"2020";"Aalten";49;41
"1.6.2 Overige vermogensdelicten";"2021";"Aalten";47;43
"1.6.2 Overige vermogensdelicten";"2022";"Aalten";63;59
"1.6.2 Overige vermogensdelicten";"2023";"Aalten";40;36
"1.6.2 Overige vermogensdelicten";"2012";"Achtkarspelen";80;80
"1.6.2 Overige vermogensdelicten";"2013";"Achtkarspelen";83;77
"1.6.2 Overige vermogensdelicten";"2014";"Achtkarspelen";100;94
"1.6.2 Overige vermogensdelicten";"2015";"Achtkarspelen";89;83
"1.6.2 Overige vermogensdelicten";"2016";"Achtkarspelen";79;71
"1.6.2 Overige vermogensdelicten";"2017";"Achtkarspelen";58;54
"1.6.2 Overige vermogensdelicten";"2018";"Achtkarspelen";83;73
"1.6.2 Overige vermogensdelicten";"2019";"Achtkarspelen";73;69
"1.6.2 Overige vermogensdelicten";"2020";"Achtkarspelen";79;71
"1.6.2 Overige vermogensdelicten";"2021";"Achtkarspelen";46;41
"1.6.2 Overige vermogensdelicten";"2022";"Achtkarspelen";44;33
"1.6.2 Overige vermogensdelicten";"2023";"Achtkarspelen";45;42
"1.6.2 Overige vermogensdelicten";"2012";"Alblasserdam";91;78
"1.6.2 Overige vermogensdelicten";"2013";"Alblasserdam";64;51
"1.6.2 Overige vermogensdelicten";"2014";"Alblasserdam";60;54
"1.6.2 Overige vermogensdelicten";"2015";"Alblasserdam";72;67
"1.6.2 Overige vermogensdelicten";"2016";"Alblasserdam";79;70
"1.6.2 Overige vermogensdelicten";"2017";"Alblasserdam";62;57
"1.6.2 Overige vermogensdelicten";"2018";"Alblasserdam";76;70
"1.6.2 Overige vermogensdelicten";"2019";"Alblasserdam";69;65
"1.6.2 Overige vermogensdelicten";"2020";"Alblasserdam";70;71
"1.6.2 Overige vermogensdelicten";"2021";"Alblasserdam";69;65
"1.6.2 Overige vermogensdelicten";"2022";"Alblasserdam";65;62
"1.6.2 Overige vermogensdelicten";"2023";"Alblasserdam";81;80
"1.6.2 Overige vermogensdelicten";"2012";"Albrandswaard";163;160
"1.6.2 Overige vermogensdelicten";"2013";"Albrandswaard";125;120
"1.6.2 Overige vermogensdelicten";"2014";"Albrandswaard";125;107
"1.6.2 Overige vermogensdelicten";"2015";"Albrandswaard";141;135
"1.6.2 Overige vermogensdelicten";"2016";"Albrandswaard";86;81
"1.6.2 Overige vermogensdelicten";"2017";"Albrandswaard";98;94
"1.6.2 Overige vermogensdelicten";"2018";"Albrandswaard";85;82
"1.6.2 Overige vermogensdelicten";"2019";"Albrandswaard";188;181
"1.6.2 Overige vermogensdelicten";"2020";"Albrandswaard";154;143
"1.6.2 Overige vermogensdelicten";"2021";"Albrandswaard";95;92
"1.6.2 Overige vermogensdelicten";"2022";"Albrandswaard";114;112
"1.6.2 Overige vermogensdelicten";"2023";"Albrandswaard";144;134
"1.6.2 Overige vermogensdelicten";"2012";"Alkmaar";1397;1310
"1.6.2 Overige vermogensdelicten";"2013";"Alkmaar";1331;1253
"1.6.2 Overige vermogensdelicten";"2014";"Alkmaar";1273;1167
"1.6.2 Overige vermogensdelicten";"2015";"Alkmaar";1134;1012
"1.6.2 Overige vermogensdelicten";"2016";"Alkmaar";998;912
"1.6.2 Overige vermogensdelicten";"2017";"Alkmaar";917;822
"1.6.2 Overige vermogensdelicten";"2018";"Alkmaar";772;711
"1.6.2 Overige vermogensdelicten";"2019";"Alkmaar";886;831
"1.6.2 Overige vermogensdelicten";"2020";"Alkmaar";804;755
"1.6.2 Overige vermogensdelicten";"2021";"Alkmaar";434;388
"1.6.2 Overige vermogensdelicten";"2022";"Alkmaar";567;513
"1.6.2 Overige vermogensdelicten";"2023";"Alkmaar";557;518
"1.6.2 Overige vermogensdelicten";"2012";"Almelo";669;612
"1.6.2 Overige vermogensdelicten";"2013";"Almelo";710;646
"1.6.2 Overige vermogensdelicten";"2014";"Almelo";607;566
"1.6.2 Overige vermogensdelicten";"2015";"Almelo";591;532
"1.6.2 Overige vermogensdelicten";"2016";"Almelo";495;464
"1.6.2 Overige vermogensdelicten";"2017";"Almelo";522;467
"1.6.2 Overige vermogensdelicten";"2018";"Almelo";438;373
"1.6.2 Overige vermogensdelicten";"2019";"Almelo";427;356
"1.6.2 Overige vermogensdelicten";"2020";"Almelo";456;402
"1.6.2 Overige vermogensdelicten";"2021";"Almelo";409;359
"1.6.2 Overige vermogensdelicten";"2022";"Almelo";463;412
"1.6.2 Overige vermogensdelicten";"2023";"Almelo";508;452
"1.6.2 Overige vermogensdelicten";"2012";"Almere";1370;1211
"1.6.2 Overige vermogensdelicten";"2013";"Almere";1612;1436
"1.6.2 Overige vermogensdelicten";"2014";"Almere";1608;1419
"1.6.2 Overige vermogensdelicten";"2015";"Almere";1366;1199
"1.6.2 Overige vermogensdelicten";"2016";"Almere";1118;1052
"1.6.2 Overige vermogensdelicten";"2017";"Almere";876;775
"1.6.2 Overige vermogensdelicten";"2018";"Almere";877;765
"1.6.2 Overige vermogensdelicten";"2019";"Almere";964;770
"1.6.2 Overige vermogensdelicten";"2020";"Almere";756;609
"1.6.2 Overige vermogensdelicten";"2021";"Almere";665;530
"1.6.2 Overige vermogensdelicten";"2022";"Almere";773;650
"1.6.2 Overige vermogensdelicten";"2023";"Almere";832;739
"1.6.2 Overige vermogensdelicten";"2012";"Alphen aan den Rijn";775;719
