"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"2.7.2 Bijzondere wetten";"2012";"Nederland";1410;503
"2.7.2 Bijzondere wetten";"2013";"Nederland";1511;526
"2.7.2 Bijzondere wetten";"2014";"Nederland";1500;564
"2.7.2 Bijzondere wetten";"2015";"Nederland";1476;635
"2.7.2 Bijzondere wetten";"2016";"Nederland";1471;579
"2.7.2 Bijzondere wetten";"2017";"Nederland";1498;542
"2.7.2 Bijzondere wetten";"2018";"Nederland";1650;477
"2.7.2 Bijzondere wetten";"2019";"Nederland";2110;465
"2.7.2 Bijzondere wetten";"2020";"Nederland";2602;491
"2.7.2 Bijzondere wetten";"2021";"Nederland";2985;562
"2.7.2 Bijzondere wetten";"2022";"Nederland";2344;712
"2.7.2 Bijzondere wetten";"2023";"Nederland";2400;792
"2.7.2 Bijzondere wetten";"2012";"Aa en Hunze";3;1
"2.7.2 Bijzondere wetten";"2013";"Aa en Hunze";1;1
"2.7.2 Bijzondere wetten";"2014";"Aa en Hunze";1;1
"2.7.2 Bijzondere wetten";"2015";"Aa en Hunze";;
"2.7.2 Bijzondere wetten";"2016";"Aa en Hunze";1;1
"2.7.2 Bijzondere wetten";"2017";"Aa en Hunze";1;1
"2.7.2 Bijzondere wetten";"2018";"Aa en Hunze";1;1
"2.7.2 Bijzondere wetten";"2019";"Aa en Hunze";2;2
"2.7.2 Bijzondere wetten";"2020";"Aa en Hunze";1;1
"2.7.2 Bijzondere wetten";"2021";"Aa en Hunze";1;
"2.7.2 Bijzondere wetten";"2022";"Aa en Hunze";1;
"2.7.2 Bijzondere wetten";"2023";"Aa en Hunze";;
"2.7.2 Bijzondere wetten";"2012";"Aalsmeer";;
"2.7.2 Bijzondere wetten";"2013";"Aalsmeer";1;
"2.7.2 Bijzondere wetten";"2014";"Aalsmeer";2;2
"2.7.2 Bijzondere wetten";"2015";"Aalsmeer";4;2
"2.7.2 Bijzondere wetten";"2016";"Aalsmeer";1;1
"2.7.2 Bijzondere wetten";"2017";"Aalsmeer";;
"2.7.2 Bijzondere wetten";"2018";"Aalsmeer";1;1
"2.7.2 Bijzondere wetten";"2019";"Aalsmeer";3;1
"2.7.2 Bijzondere wetten";"2020";"Aalsmeer";1;
"2.7.2 Bijzondere wetten";"2021";"Aalsmeer";2;1
"2.7.2 Bijzondere wetten";"2022";"Aalsmeer";;
"2.7.2 Bijzondere wetten";"2023";"Aalsmeer";5;3
"2.7.2 Bijzondere wetten";"2012";"Aalten";;
"2.7.2 Bijzondere wetten";"2013";"Aalten";;
"2.7.2 Bijzondere wetten";"2014";"Aalten";1;
"2.7.2 Bijzondere wetten";"2015";"Aalten";1;1
"2.7.2 Bijzondere wetten";"2016";"Aalten";5;3
"2.7.2 Bijzondere wetten";"2017";"Aalten";1;1
"2.7.2 Bijzondere wetten";"2018";"Aalten";;
"2.7.2 Bijzondere wetten";"2019";"Aalten";;
"2.7.2 Bijzondere wetten";"2020";"Aalten";2;1
"2.7.2 Bijzondere wetten";"2021";"Aalten";2;1
"2.7.2 Bijzondere wetten";"2022";"Aalten";1;1
"2.7.2 Bijzondere wetten";"2023";"Aalten";1;
"2.7.2 Bijzondere wetten";"2012";"Achtkarspelen";;
"2.7.2 Bijzondere wetten";"2013";"Achtkarspelen";1;
"2.7.2 Bijzondere wetten";"2014";"Achtkarspelen";;
"2.7.2 Bijzondere wetten";"2015";"Achtkarspelen";;
"2.7.2 Bijzondere wetten";"2016";"Achtkarspelen";;
"2.7.2 Bijzondere wetten";"2017";"Achtkarspelen";1;
"2.7.2 Bijzondere wetten";"2018";"Achtkarspelen";1;
"2.7.2 Bijzondere wetten";"2019";"Achtkarspelen";1;
"2.7.2 Bijzondere wetten";"2020";"Achtkarspelen";2;1
"2.7.2 Bijzondere wetten";"2021";"Achtkarspelen";3;1
"2.7.2 Bijzondere wetten";"2022";"Achtkarspelen";2;1
"2.7.2 Bijzondere wetten";"2023";"Achtkarspelen";3;1
"2.7.2 Bijzondere wetten";"2012";"Alblasserdam";;
