"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Nederland";134126;129555
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Nederland";118127;114195
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Nederland";110272;106679
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Nederland";102048;98685
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Nederland";94731;91301
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Nederland";81682;78423
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Nederland";72120;69023
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Nederland";76909;73055
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Nederland";78420;74233
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Nederland";72041;68110
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Nederland";71057;67355
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Nederland";70042;66224
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Aa en Hunze";117;113
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Aa en Hunze";93;91
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Aa en Hunze";124;121
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Aa en Hunze";77;74
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Aa en Hunze";107;100
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Aa en Hunze";72;70
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Aa en Hunze";59;57
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Aa en Hunze";58;52
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Aa en Hunze";46;40
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Aa en Hunze";41;41
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Aa en Hunze";55;52
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Aa en Hunze";68;66
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Aalsmeer";195;204
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Aalsmeer";172;170
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Aalsmeer";179;171
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Aalsmeer";113;113
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Aalsmeer";116;111
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Aalsmeer";111;106
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Aalsmeer";113;103
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Aalsmeer";101;100
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Aalsmeer";122;114
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Aalsmeer";92;87
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Aalsmeer";92;87
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Aalsmeer";78;74
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Aalten";113;109
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Aalten";108;107
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Aalten";100;98
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Aalten";87;82
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Aalten";59;56
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Aalten";53;51
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Aalten";53;51
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Aalten";52;49
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Aalten";54;51
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Aalten";52;49
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Aalten";67;64
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Aalten";36;36
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Achtkarspelen";176;174
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Achtkarspelen";149;144
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Achtkarspelen";145;144
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Achtkarspelen";130;127
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Achtkarspelen";114;111
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Achtkarspelen";93;91
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Achtkarspelen";123;124
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Achtkarspelen";101;98
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Achtkarspelen";78;73
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Achtkarspelen";86;81
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Achtkarspelen";63;57
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Achtkarspelen";50;48
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Alblasserdam";120;114
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Alblasserdam";144;135
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Alblasserdam";148;143
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Alblasserdam";151;148
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Alblasserdam";107;105
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Alblasserdam";117;110
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Alblasserdam";65;64
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Alblasserdam";110;106
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Alblasserdam";117;110
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Alblasserdam";80;77
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Alblasserdam";50;49
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Alblasserdam";71;71
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Albrandswaard";226;222
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Albrandswaard";171;168
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Albrandswaard";127;123
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Albrandswaard";172;167
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Albrandswaard";129;124
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Albrandswaard";109;105
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Albrandswaard";95;91
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Albrandswaard";97;94
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Albrandswaard";136;126
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Albrandswaard";119;120
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Albrandswaard";134;128
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Albrandswaard";124;120
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Alkmaar";1099;1077
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Alkmaar";1044;1030
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Alkmaar";943;920
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Alkmaar";864;849
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Alkmaar";884;853
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Alkmaar";635;624
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Alkmaar";555;546
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Alkmaar";569;549
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Alkmaar";662;635
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Alkmaar";579;571
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Alkmaar";603;583
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Alkmaar";588;570
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Almelo";594;549
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Almelo";605;568
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Almelo";583;553
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Almelo";513;481
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Almelo";517;499
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Almelo";484;463
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Almelo";335;316
"2.2.1 Vernieling cq. zaakbeschadiging";"2019";"Almelo";412;378
"2.2.1 Vernieling cq. zaakbeschadiging";"2020";"Almelo";406;378
"2.2.1 Vernieling cq. zaakbeschadiging";"2021";"Almelo";359;343
"2.2.1 Vernieling cq. zaakbeschadiging";"2022";"Almelo";460;435
"2.2.1 Vernieling cq. zaakbeschadiging";"2023";"Almelo";503;485
"2.2.1 Vernieling cq. zaakbeschadiging";"2012";"Almere";1742;1705
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Almere";1560;1512
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Almere";1575;1543
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Almere";1256;1234
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Almere";1211;1184
