"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Nederland";37521;35982
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Nederland";36276;34836
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Nederland";31848;30689
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Nederland";29390;28176
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Nederland";26752;25435
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Nederland";22820;21738
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Nederland";19829;19015
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Nederland";19472;18700
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Nederland";16705;15874
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Nederland";11228;10756
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Nederland";12835;12219
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Nederland";12948;12323
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Aa en Hunze";36;36
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Aa en Hunze";37;36
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Aa en Hunze";24;22
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Aa en Hunze";20;18
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Aa en Hunze";16;16
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Aa en Hunze";11;11
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Aa en Hunze";24;24
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Aa en Hunze";15;13
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Aa en Hunze";11;11
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Aa en Hunze";6;6
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Aa en Hunze";16;14
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Aa en Hunze";16;15
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Aalsmeer";35;33
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Aalsmeer";65;63
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Aalsmeer";68;67
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Aalsmeer";52;50
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Aalsmeer";47;46
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Aalsmeer";58;51
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Aalsmeer";48;47
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Aalsmeer";68;69
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Aalsmeer";54;51
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Aalsmeer";25;23
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Aalsmeer";28;27
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Aalsmeer";22;19
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Aalten";27;27
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Aalten";45;44
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Aalten";38;37
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Aalten";28;27
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Aalten";21;21
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Aalten";14;13
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Aalten";9;9
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Aalten";27;27
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Aalten";14;14
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Aalten";9;9
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Aalten";13;12
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Aalten";10;10
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Achtkarspelen";19;17
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Achtkarspelen";18;18
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Achtkarspelen";17;17
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Achtkarspelen";22;20
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Achtkarspelen";48;48
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Achtkarspelen";23;21
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Achtkarspelen";22;22
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Achtkarspelen";15;15
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Achtkarspelen";19;18
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Achtkarspelen";9;9
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Achtkarspelen";23;22
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Achtkarspelen";12;11
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Alblasserdam";20;21
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Alblasserdam";23;25
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Alblasserdam";19;16
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Alblasserdam";21;20
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Alblasserdam";11;11
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Alblasserdam";16;16
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Alblasserdam";13;11
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Alblasserdam";14;13
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Alblasserdam";7;7
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Alblasserdam";7;7
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Alblasserdam";7;5
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Alblasserdam";5;4
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Albrandswaard";30;24
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Albrandswaard";40;35
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Albrandswaard";25;17
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Albrandswaard";26;21
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Albrandswaard";21;19
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Albrandswaard";17;15
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Albrandswaard";14;13
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Albrandswaard";22;20
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Albrandswaard";34;22
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Albrandswaard";12;11
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Albrandswaard";7;6
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Albrandswaard";19;17
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Alkmaar";246;243
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Alkmaar";186;177
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Alkmaar";176;169
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Alkmaar";194;189
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Alkmaar";173;167
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Alkmaar";146;143
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Alkmaar";119;119
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Alkmaar";131;125
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Alkmaar";68;69
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Alkmaar";60;59
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Alkmaar";68;64
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Alkmaar";65;65
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Almelo";150;135
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Almelo";156;146
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Almelo";148;140
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Almelo";97;91
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Almelo";79;75
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Almelo";106;97
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Almelo";97;91
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Almelo";78;74
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Almelo";52;49
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Almelo";68;68
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Almelo";53;50
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Almelo";87;84
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Almere";607;585
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Almere";676;646
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Almere";460;453
"2.5.1 Diefstal/inbraak bedrijven enz.";"2015";"Almere";355;345
"2.5.1 Diefstal/inbraak bedrijven enz.";"2016";"Almere";306;295
"2.5.1 Diefstal/inbraak bedrijven enz.";"2017";"Almere";254;240
"2.5.1 Diefstal/inbraak bedrijven enz.";"2018";"Almere";215;207
"2.5.1 Diefstal/inbraak bedrijven enz.";"2019";"Almere";256;245
"2.5.1 Diefstal/inbraak bedrijven enz.";"2020";"Almere";174;165
"2.5.1 Diefstal/inbraak bedrijven enz.";"2021";"Almere";102;100
"2.5.1 Diefstal/inbraak bedrijven enz.";"2022";"Almere";124;113
"2.5.1 Diefstal/inbraak bedrijven enz.";"2023";"Almere";131;122
"2.5.1 Diefstal/inbraak bedrijven enz.";"2012";"Alphen aan den Rijn";233;232
"2.5.1 Diefstal/inbraak bedrijven enz.";"2013";"Alphen aan den Rijn";196;192
"2.5.1 Diefstal/inbraak bedrijven enz.";"2014";"Alphen aan den Rijn";166;161
