"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"2.7.3 Leefbaarheid (overig)";"2012";"Nederland";427;218
"2.7.3 Leefbaarheid (overig)";"2013";"Nederland";405;221
"2.7.3 Leefbaarheid (overig)";"2014";"Nederland";427;231
"2.7.3 Leefbaarheid (overig)";"2015";"Nederland";424;256
"2.7.3 Leefbaarheid (overig)";"2016";"Nederland";422;255
"2.7.3 Leefbaarheid (overig)";"2017";"Nederland";362;247
"2.7.3 Leefbaarheid (overig)";"2018";"Nederland";326;211
"2.7.3 Leefbaarheid (overig)";"2019";"Nederland";490;347
"2.7.3 Leefbaarheid (overig)";"2020";"Nederland";603;496
"2.7.3 Leefbaarheid (overig)";"2021";"Nederland";731;636
"2.7.3 Leefbaarheid (overig)";"2022";"Nederland";927;763
"2.7.3 Leefbaarheid (overig)";"2023";"Nederland";1076;918
"2.7.3 Leefbaarheid (overig)";"2012";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2013";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2014";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2015";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2016";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2017";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2018";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2019";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2020";"Aa en Hunze";1;1
"2.7.3 Leefbaarheid (overig)";"2021";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2022";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2023";"Aa en Hunze";;
"2.7.3 Leefbaarheid (overig)";"2012";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2013";"Aalsmeer";1;
"2.7.3 Leefbaarheid (overig)";"2014";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2015";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2016";"Aalsmeer";1;1
"2.7.3 Leefbaarheid (overig)";"2017";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2018";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2019";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2020";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2021";"Aalsmeer";5;5
"2.7.3 Leefbaarheid (overig)";"2022";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2023";"Aalsmeer";;
"2.7.3 Leefbaarheid (overig)";"2012";"Aalten";;
"2.7.3 Leefbaarheid (overig)";"2013";"Aalten";;
"2.7.3 Leefbaarheid (overig)";"2014";"Aalten";;
"2.7.3 Leefbaarheid (overig)";"2015";"Aalten";;
"2.7.3 Leefbaarheid (overig)";"2016";"Aalten";;
"2.7.3 Leefbaarheid (overig)";"2017";"Aalten";;
"2.7.3 Leefbaarheid (overig)";"2018";"Aalten";;
