"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"3.9.1 Horizontale fraude";"2023 maart";"Nederland";7576;7179
"3.9.1 Horizontale fraude";"2023 april";"Nederland";6827;6530
"3.9.1 Horizontale fraude";"2023 mei";"Nederland";6690;6396
"3.9.1 Horizontale fraude";"2023 juni";"Nederland";7253;7000
"3.9.1 Horizontale fraude";"2023 juli";"Nederland";7321;7010
"3.9.1 Horizontale fraude";"2023 augustus";"Nederland";8239;8019
"3.9.1 Horizontale fraude";"2023 september";"Nederland";6255;6058
"3.9.1 Horizontale fraude";"2023 oktober";"Nederland";8060;7832
"3.9.1 Horizontale fraude";"2023 november";"Nederland";8046;7776
"3.9.1 Horizontale fraude";"2023 december";"Nederland";7272;7030
"3.9.1 Horizontale fraude";"2024 januari";"Nederland";9268;
"3.9.1 Horizontale fraude";"2024 februari";"Nederland";8205;
"3.9.1 Horizontale fraude";"2023 maart";"Aa en Hunze";13;10
"3.9.1 Horizontale fraude";"2023 april";"Aa en Hunze";3;4
"3.9.1 Horizontale fraude";"2023 mei";"Aa en Hunze";12;10
"3.9.1 Horizontale fraude";"2023 juni";"Aa en Hunze";14;15
"3.9.1 Horizontale fraude";"2023 juli";"Aa en Hunze";10;10
"3.9.1 Horizontale fraude";"2023 augustus";"Aa en Hunze";15;15
"3.9.1 Horizontale fraude";"2023 september";"Aa en Hunze";7;6
"3.9.1 Horizontale fraude";"2023 oktober";"Aa en Hunze";8;7
"3.9.1 Horizontale fraude";"2023 november";"Aa en Hunze";9;10
"3.9.1 Horizontale fraude";"2023 december";"Aa en Hunze";9;9
"3.9.1 Horizontale fraude";"2024 januari";"Aa en Hunze";11;
"3.9.1 Horizontale fraude";"2024 februari";"Aa en Hunze";6;
"3.9.1 Horizontale fraude";"2023 maart";"Aalsmeer";11;11
"3.9.1 Horizontale fraude";"2023 april";"Aalsmeer";20;20
"3.9.1 Horizontale fraude";"2023 mei";"Aalsmeer";8;8
"3.9.1 Horizontale fraude";"2023 juni";"Aalsmeer";11;11
"3.9.1 Horizontale fraude";"2023 juli";"Aalsmeer";24;24
"3.9.1 Horizontale fraude";"2023 augustus";"Aalsmeer";16;17
"3.9.1 Horizontale fraude";"2023 september";"Aalsmeer";13;12
"3.9.1 Horizontale fraude";"2023 oktober";"Aalsmeer";21;17
"3.9.1 Horizontale fraude";"2023 november";"Aalsmeer";23;24
"3.9.1 Horizontale fraude";"2023 december";"Aalsmeer";15;15
