"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"3.9.3 Fraude (overig)";"2023 maart";"Nederland";74;53
"3.9.3 Fraude (overig)";"2023 april";"Nederland";39;15
"3.9.3 Fraude (overig)";"2023 mei";"Nederland";38;18
"3.9.3 Fraude (overig)";"2023 juni";"Nederland";48;23
"3.9.3 Fraude (overig)";"2023 juli";"Nederland";37;17
"3.9.3 Fraude (overig)";"2023 augustus";"Nederland";27;15
"3.9.3 Fraude (overig)";"2023 september";"Nederland";31;16
"3.9.3 Fraude (overig)";"2023 oktober";"Nederland";33;13
"3.9.3 Fraude (overig)";"2023 november";"Nederland";31;14
"3.9.3 Fraude (overig)";"2023 december";"Nederland";37;18
"3.9.3 Fraude (overig)";"2024 januari";"Nederland";33;
"3.9.3 Fraude (overig)";"2024 februari";"Nederland";41;
"3.9.3 Fraude (overig)";"2023 maart";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 april";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 mei";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 juni";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 juli";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 augustus";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 september";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 oktober";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 november";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 december";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2024 januari";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2024 februari";"Aa en Hunze";;
"3.9.3 Fraude (overig)";"2023 maart";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 april";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 mei";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 juni";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 juli";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 augustus";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 september";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 oktober";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 november";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2023 december";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2024 januari";"Aalsmeer";;
"3.9.3 Fraude (overig)";"2024 februari";"Aalsmeer";1;
"3.9.3 Fraude (overig)";"2023 maart";"Aalten";;
"3.9.3 Fraude (overig)";"2023 april";"Aalten";;
"3.9.3 Fraude (overig)";"2023 mei";"Aalten";;
"3.9.3 Fraude (overig)";"2023 juni";"Aalten";;
"3.9.3 Fraude (overig)";"2023 juli";"Aalten";;
"3.9.3 Fraude (overig)";"2023 augustus";"Aalten";;
"3.9.3 Fraude (overig)";"2023 september";"Aalten";;
"3.9.3 Fraude (overig)";"2023 oktober";"Aalten";;
"3.9.3 Fraude (overig)";"2023 november";"Aalten";;
"3.9.3 Fraude (overig)";"2023 december";"Aalten";;
"3.9.3 Fraude (overig)";"2024 januari";"Aalten";;
"3.9.3 Fraude (overig)";"2024 februari";"Aalten";;
"3.9.3 Fraude (overig)";"2023 maart";"Achtkarspelen";;
