"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2012";"Nederland";18676;18233
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2013";"Nederland";19118;18675
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2014";"Nederland";19284;18847
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2015";"Nederland";17334;17005
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2016";"Nederland";15060;14721
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2017";"Nederland";14221;13827
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2018";"Nederland";13687;13369
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2019";"Nederland";16979;16671
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020";"Nederland";17550;17145
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021";"Nederland";16692;16399
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2022";"Nederland";24431;24145
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2023";"Nederland";28404;28157
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2012";"Aa en Hunze";20;18
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2013";"Aa en Hunze";13;13
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2014";"Aa en Hunze";9;9
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2015";"Aa en Hunze";9;8
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2016";"Aa en Hunze";7;7
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2017";"Aa en Hunze";10;9
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2018";"Aa en Hunze";4;4
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2019";"Aa en Hunze";9;8
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020";"Aa en Hunze";7;7
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021";"Aa en Hunze";5;5
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2022";"Aa en Hunze";14;14
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2023";"Aa en Hunze";11;11
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2012";"Aalsmeer";24;24
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2013";"Aalsmeer";27;27
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2014";"Aalsmeer";28;26
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2015";"Aalsmeer";21;21
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2016";"Aalsmeer";24;23
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2017";"Aalsmeer";15;15
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2018";"Aalsmeer";16;16
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2019";"Aalsmeer";28;27
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020";"Aalsmeer";28;28
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021";"Aalsmeer";9;9
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2022";"Aalsmeer";19;19
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2023";"Aalsmeer";31;31
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2012";"Aalten";7;7
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2013";"Aalten";10;10
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2014";"Aalten";7;7
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2015";"Aalten";9;9
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2016";"Aalten";15;15
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2017";"Aalten";11;10
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2018";"Aalten";5;4
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2019";"Aalten";9;8
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020";"Aalten";4;3
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021";"Aalten";12;9
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2022";"Aalten";10;10
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2023";"Aalten";12;12
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2012";"Achtkarspelen";13;13
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2013";"Achtkarspelen";17;17
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2014";"Achtkarspelen";25;24
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2015";"Achtkarspelen";11;11
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2016";"Achtkarspelen";10;10
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2017";"Achtkarspelen";4;4
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2018";"Achtkarspelen";2;1
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2019";"Achtkarspelen";6;6
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020";"Achtkarspelen";3;3
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021";"Achtkarspelen";6;5
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2022";"Achtkarspelen";2;2
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2023";"Achtkarspelen";7;7
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2012";"Alblasserdam";6;5
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2013";"Alblasserdam";11;11
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2014";"Alblasserdam";18;17
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2015";"Alblasserdam";8;8
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2016";"Alblasserdam";11;11
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2017";"Alblasserdam";10;10
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2018";"Alblasserdam";9;8
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2019";"Alblasserdam";17;17
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020";"Alblasserdam";25;24
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021";"Alblasserdam";15;15
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2022";"Alblasserdam";19;19
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2023";"Alblasserdam";11;11
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2012";"Albrandswaard";17;16
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2013";"Albrandswaard";14;14
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2014";"Albrandswaard";13;13
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2015";"Albrandswaard";14;14
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2016";"Albrandswaard";5;5
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2017";"Albrandswaard";10;9
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2018";"Albrandswaard";20;20
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2019";"Albrandswaard";20;19
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020";"Albrandswaard";24;24
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021";"Albrandswaard";15;14
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2022";"Albrandswaard";27;27
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2023";"Albrandswaard";23;23
