"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Nederland";20050;19733
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Nederland";23044;22718
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Nederland";21862;21574
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Nederland";21224;20912
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Nederland";18493;18182
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Nederland";15235;14976
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Nederland";12526;12310
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Nederland";12250;12040
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Nederland";13804;13555
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Nederland";12285;12156
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Nederland";10677;10540
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Nederland";11004;10846
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Aa en Hunze";45;44
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Aa en Hunze";26;25
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Aa en Hunze";26;26
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Aa en Hunze";14;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Aa en Hunze";12;12
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Aa en Hunze";13;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Aa en Hunze";4;4
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Aa en Hunze";7;7
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Aa en Hunze";14;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Aa en Hunze";8;7
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Aa en Hunze";15;15
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Aa en Hunze";10;10
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Aalsmeer";25;23
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Aalsmeer";27;26
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Aalsmeer";34;35
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Aalsmeer";33;33
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Aalsmeer";17;17
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Aalsmeer";28;28
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Aalsmeer";20;20
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Aalsmeer";19;20
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Aalsmeer";12;12
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Aalsmeer";10;8
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Aalsmeer";3;2
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Aalsmeer";17;17
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Aalten";11;11
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Aalten";18;17
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Aalten";16;16
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Aalten";17;17
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Aalten";15;14
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Aalten";17;16
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Aalten";4;4
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Aalten";13;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Aalten";5;5
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Aalten";5;5
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Aalten";6;6
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Aalten";1;1
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Achtkarspelen";17;17
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Achtkarspelen";9;10
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Achtkarspelen";18;17
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Achtkarspelen";14;14
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Achtkarspelen";5;4
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Achtkarspelen";4;4
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Achtkarspelen";7;7
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Achtkarspelen";6;5
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Achtkarspelen";6;6
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Achtkarspelen";4;4
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Achtkarspelen";9;9
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Achtkarspelen";15;14
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Alblasserdam";9;8
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Alblasserdam";6;6
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Alblasserdam";10;10
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Alblasserdam";12;12
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Alblasserdam";12;12
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Alblasserdam";6;6
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Alblasserdam";10;10
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Alblasserdam";6;6
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Alblasserdam";7;7
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Alblasserdam";2;2
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Alblasserdam";6;6
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Alblasserdam";4;4
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Albrandswaard";13;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Albrandswaard";9;8
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Albrandswaard";18;17
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Albrandswaard";27;25
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Albrandswaard";13;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Albrandswaard";11;11
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Albrandswaard";21;20
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Albrandswaard";13;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Albrandswaard";9;13
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Albrandswaard";15;15
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Albrandswaard";5;5
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Albrandswaard";19;19
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012";"Alkmaar";93;91
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013";"Alkmaar";115;113
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014";"Alkmaar";131;131
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015";"Alkmaar";120;120
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016";"Alkmaar";122;119
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017";"Alkmaar";88;85
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018";"Alkmaar";55;54
"1.1.2 Diefstal/inbraak box/garage/schuur";"2019";"Alkmaar";52;51
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020";"Alkmaar";77;76
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021";"Alkmaar";58;58
"1.1.2 Diefstal/inbraak box/garage/schuur";"2022";"Alkmaar";56;56
"1.1.2 Diefstal/inbraak box/garage/schuur";"2023";"Alkmaar";67;65
