"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.4.2 Moord, doodslag";"2012";"Nederland";3792;3340
"1.4.2 Moord, doodslag";"2013";"Nederland";3431;3031
"1.4.2 Moord, doodslag";"2014";"Nederland";3277;2877
"1.4.2 Moord, doodslag";"2015";"Nederland";3159;2760
"1.4.2 Moord, doodslag";"2016";"Nederland";3061;2614
"1.4.2 Moord, doodslag";"2017";"Nederland";2946;2482
"1.4.2 Moord, doodslag";"2018";"Nederland";2719;2196
"1.4.2 Moord, doodslag";"2019";"Nederland";2604;1979
"1.4.2 Moord, doodslag";"2020";"Nederland";2687;2088
"1.4.2 Moord, doodslag";"2021";"Nederland";2681;2165
"1.4.2 Moord, doodslag";"2022";"Nederland";2799;2180
"1.4.2 Moord, doodslag";"2023";"Nederland";2543;1981
"1.4.2 Moord, doodslag";"2012";"Aa en Hunze";5;5
"1.4.2 Moord, doodslag";"2013";"Aa en Hunze";2;1
"1.4.2 Moord, doodslag";"2014";"Aa en Hunze";7;5
"1.4.2 Moord, doodslag";"2015";"Aa en Hunze";2;2
"1.4.2 Moord, doodslag";"2016";"Aa en Hunze";5;4
"1.4.2 Moord, doodslag";"2017";"Aa en Hunze";5;2
"1.4.2 Moord, doodslag";"2018";"Aa en Hunze";1;
"1.4.2 Moord, doodslag";"2019";"Aa en Hunze";1;1
"1.4.2 Moord, doodslag";"2020";"Aa en Hunze";1;2
"1.4.2 Moord, doodslag";"2021";"Aa en Hunze";4;3
"1.4.2 Moord, doodslag";"2022";"Aa en Hunze";1;1
"1.4.2 Moord, doodslag";"2023";"Aa en Hunze";;
"1.4.2 Moord, doodslag";"2012";"Aalsmeer";2;3
"1.4.2 Moord, doodslag";"2013";"Aalsmeer";6;7
"1.4.2 Moord, doodslag";"2014";"Aalsmeer";3;3
"1.4.2 Moord, doodslag";"2015";"Aalsmeer";4;3
"1.4.2 Moord, doodslag";"2016";"Aalsmeer";4;3
"1.4.2 Moord, doodslag";"2017";"Aalsmeer";4;1
"1.4.2 Moord, doodslag";"2018";"Aalsmeer";4;3
"1.4.2 Moord, doodslag";"2019";"Aalsmeer";5;4
"1.4.2 Moord, doodslag";"2020";"Aalsmeer";8;8
"1.4.2 Moord, doodslag";"2021";"Aalsmeer";2;1
"1.4.2 Moord, doodslag";"2022";"Aalsmeer";4;3
"1.4.2 Moord, doodslag";"2023";"Aalsmeer";2;2
"1.4.2 Moord, doodslag";"2012";"Aalten";;
"1.4.2 Moord, doodslag";"2013";"Aalten";;
"1.4.2 Moord, doodslag";"2014";"Aalten";;
"1.4.2 Moord, doodslag";"2015";"Aalten";2;2
"1.4.2 Moord, doodslag";"2016";"Aalten";4;5
"1.4.2 Moord, doodslag";"2017";"Aalten";;
"1.4.2 Moord, doodslag";"2018";"Aalten";;
"1.4.2 Moord, doodslag";"2019";"Aalten";;
"1.4.2 Moord, doodslag";"2020";"Aalten";1;1
"1.4.2 Moord, doodslag";"2021";"Aalten";4;3
"1.4.2 Moord, doodslag";"2022";"Aalten";;
"1.4.2 Moord, doodslag";"2023";"Aalten";1;1
"1.4.2 Moord, doodslag";"2012";"Achtkarspelen";4;2
"1.4.2 Moord, doodslag";"2013";"Achtkarspelen";6;8
"1.4.2 Moord, doodslag";"2014";"Achtkarspelen";2;3
"1.4.2 Moord, doodslag";"2015";"Achtkarspelen";3;3
"1.4.2 Moord, doodslag";"2016";"Achtkarspelen";6;6
"1.4.2 Moord, doodslag";"2017";"Achtkarspelen";3;4
"1.4.2 Moord, doodslag";"2018";"Achtkarspelen";1;1
"1.4.2 Moord, doodslag";"2019";"Achtkarspelen";1;
"1.4.2 Moord, doodslag";"2020";"Achtkarspelen";;
